Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,121.80854598436777,490,4.022706256282575,1.9487843608654006e-167,4.891448745772155e-165
intrinsic component of membrane GO:0031224,214.60279419374166,546,2.5442352791878173,2.7239554148613495e-102,3.418564045650994e-100
single-multicellular organism process GO:0044707,117.23750646804106,378,3.2242241530703555,1.3628861264955393e-95,1.140281392501268e-93
reproduction GO:0000003,68.05054603883548,237,3.482705338833688,3.190643326904378e-64,2.002128687632497e-62
maintenance of location GO:0051235,16.07374928511125,105,6.5323900564542905,1.7407924185459503e-53,8.738777941100671e-52
cell periphery GO:0071944,45.38849097197636,171,3.7674748892969006,1.0008961455267401e-50,4.187082208786863e-49
cytoplasm GO:0005737,172.49772597292954,377,2.185536057786428,7.068766069395406e-50,2.5346575477403523e-48
protein serine/threonine kinase activity GO:0004674,19.48593371279174,101,5.18322608958161,3.288159081019324e-42,1.0316599116698129e-40
embryo development GO:0009790,70.47555761322477,192,2.724348788465224,1.3653841941218406e-36,3.807904808050911e-35
multi-organism reproductive process GO:0044703,15.730384814401265,81,5.149270088157284,5.4081766017261805e-34,1.3574523270332714e-32
dephosphorylation GO:0016311,36.65415724829108,120,3.273844196911518,4.1316669900412176e-30,9.42771285909405e-29
phosphoric ester hydrolase activity GO:0042578,41.80462430894087,126,3.014020627690512,3.4317702545092414e-28,7.178119449015164e-27
phosphorus metabolic process GO:0006793,169.1284621040878,304,1.7974502707469036,1.189904971733013e-24,2.2149939029328147e-23
cell proliferation GO:0008283,4.571039516326698,38,8.313207502204428,1.147207997534924e-24,2.2149939029328147e-23
cellular component organization or biogenesis GO:0071840,115.88550886462049,232,2.0019759353261892,1.5589909726854045e-24,2.6087115609602438e-23
macromolecule modification GO:0043412,176.27473515073942,307,1.7415995533192679,9.26260142531588e-23,1.4530705985964288e-21
immune system process GO:0002376,7.31795528200659,44,6.012608482069757,3.7942367965643745e-22,5.6020790349274e-21
extrinsic component of membrane GO:0019898,4.871483428197935,32,6.568840984816298,6.500394540984517e-18,9.064439054372854e-17
enzyme linked receptor protein signaling pathway GO:0007167,6.416623546392875,36,5.6104273127005415,1.5671066454441848e-17,2.070230357928897e-16
growth GO:0040007,14.399847490400065,54,3.7500397164622847,5.02167154996733e-17,6.302197795208999e-16
cytoskeleton GO:0005856,25.945477818023367,76,2.9292195169057784,5.937503625096402e-17,7.096730523329509e-16
membrane-bounded organelle GO:0043227,214.60279419374166,329,1.533064847715736,4.953566002294063e-16,5.651568484435499e-15
nervous system development GO:0007399,9.721506576976497,40,4.114588585963851,1.771712986446291e-14,1.9334780852087783e-13
receptor binding GO:0005102,11.910455077752662,43,3.6102734714409843,2.0927909708773196e-13,2.1887105570425303e-12
contractile fiber GO:0043292,4.5281189574879495,25,5.521056366829455,1.034866087077815e-12,1.0390055514261261e-11
oviposition GO:0018991,8.648492606007789,34,3.931320930584071,4.615725603881517e-12,4.4559504868240796e-11
localization of cell GO:0051674,7.918843105749066,31,3.914713246117233,3.88841664575858e-11,3.614787326242235e-10
single-organism localization GO:1902578,71.78463465780658,129,1.797041952152239,8.021159902640928e-11,7.190396912724545e-10
female gamete generation GO:0007292,6.352242708134753,27,4.250467313760461,8.576743854191691e-11,7.423319680696946e-10
"phosphotransferase activity, alcohol group as acceptor GO:0016773",94.01748413627821,158,1.6805384812358861,9.09774143245771e-11,7.611776998489618e-10
peptidyl-tyrosine modification GO:0018212,11.84607423949454,37,3.1233976127418526,5.24282512391762e-10,4.244997116462332e-09
phosphorylation GO:0016310,106.09962144938588,170,1.6022677336421731,6.2326830016359e-10,4.888760729408159e-09
sex differentiation GO:0007548,23.198562052343473,55,2.3708366008161272,2.4485498097452465e-09,1.8623818249880513e-08
small molecule catabolic process GO:0044282,6.996051090715977,25,3.5734444582853233,1.4440398233035789e-08,1.0660411636741126e-07
endoplasmic reticulum GO:0005783,19.378632315694873,47,2.4253517603476284,1.5145627229650804e-08,1.0861578384692435e-07
cell death GO:0008219,16.352732917563113,42,2.568378032695152,1.5651452964246353e-08,1.091254081673843e-07
reproductive system development GO:0061458,21.567580816471036,50,2.3182943152259012,2.4078829680928392e-08,1.633455743219737e-07
regulatory region nucleic acid binding GO:0001067,4.506658678068575,17,3.7721960357747157,8.149186312448341e-07,5.38275201164351e-06
ion homeostasis GO:0050801,4.978784825294807,18,3.6153400140031504,8.158352283206788e-07,5.38275201164351e-06
small molecule biosynthetic process GO:0044283,10.987663062719573,29,2.639323742861675,1.0315952793760825e-06,6.473260378084918e-06
receptor-mediated endocytosis GO:0006898,16.65317682943435,38,2.2818469045999272,1.297984075346909e-06,7.946195192977419e-06
extracellular region GO:0005576,35.774285792096734,64,1.788994485366886,4.184709546212662e-06,2.500862133569948e-05
extracellular space GO:0005615,16.99654130014434,37,2.1769134876685636,5.146117833486812e-06,3.0038966888492786e-05
non-membrane-bounded organelle GO:0043228,86.61368773659413,127,1.4662809461043502,8.347661037139969e-06,4.7619611825503e-05
nucleus GO:0005634,145.22171083090498,193,1.3290023846691057,2.2565641666304697e-05,0.00012586613462761063
transporter complex GO:1990351,8.305128135297803,21,2.5285582182347617,4.2368424747414234e-05,0.00022993893885178476
lipid catabolic process GO:0016042,5.450910972521038,16,2.9352891802230303,4.214020393299641e-05,0.00022993893885178476
fatty acid metabolic process GO:0006631,6.008878237424767,17,2.829147026831037,4.306962363032272e-05,0.00022993893885178476
lipid transport GO:0006869,7.167733326070971,19,2.650768260433448,4.5379070415205676e-05,0.00023245197294319641
Golgi apparatus GO:0005794,11.009123342138947,25,2.270843846785605,6.211097568944505e-05,0.00031179709796101413
catabolic process GO:0009056,48.19978757591438,75,1.5560234551215697,8.398169229394516e-05,0.0004133216620741223
organelle fission GO:0048285,14.528609166916311,30,2.0648913915527594,8.569698528665419e-05,0.00041365275590288844
synaptic signaling GO:0099536,5.279228737166045,15,2.8413241302463783,9.783341429840538e-05,0.00046332428280942923
mitochondrion GO:0005739,25.64503390615213,45,1.7547256971730774,0.00013499075185729057,0.0006274570132625913
taxis GO:0042330,5.515291810779161,15,2.7197110351774674,0.0001618964811586668,0.0007388366685604612
cell morphogenesis involved in differentiation GO:0000904,4.420817560391079,13,2.940632546449164,0.00016538706552279202,0.0007412884543967999
synapse GO:0045202,8.75579400310466,20,2.2842017517666964,0.00024581904106582336,0.0010793765036001429
cell part morphogenesis GO:0032990,4.592499795746072,13,2.8307023577968593,0.0002451173733275225,0.0010793765036001429
cellular homeostasis GO:0019725,12.76886625452763,26,2.0362027044320263,0.00027304011522249425,0.001161577439336374
organic acid metabolic process GO:0006082,40.40970614668156,62,1.534284851638087,0.0004381141625241084,0.0018327775798925203
