Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,11.232781393828807,88,7.834212820018597,2.947770879126311e-60,7.398904906607042e-58
developmental process GO:0032502,11.670742667283967,83,7.111801053815531,8.493953360293477e-53,1.0659911467168313e-50
cell periphery GO:0071944,4.348770391350527,50,11.49750285723232,5.404673808806147e-40,4.5219104200344764e-38
embryo development GO:0009790,6.752417004820393,55,8.145231546087391,3.010097546517183e-36,1.8888362104395323e-34
reproduction GO:0000003,6.520071352705684,48,7.3618826241956805,1.8052163846140254e-29,9.062186250762408e-28
synapse GO:0045202,0.8389117350690378,20,23.84041033631996,3.510648026881068e-23,1.4686210912452468e-21
cell junction GO:0030054,0.9787303575805442,20,20.434637431131392,8.591648129497127e-22,3.080719543576827e-20
sex differentiation GO:0007548,2.222704866690269,23,10.347752571509089,6.556993557724783e-18,1.840005168749513e-16
synaptic signaling GO:0099536,0.5058144284975081,14,27.678134927044635,5.864558306771356e-18,1.840005168749513e-16
cellular component organization or biogenesis GO:0071840,11.103243552384324,45,4.052869757174393,3.702452622175446e-17,9.29315608166037e-16
reproductive system development GO:0061458,2.066436994471527,20,9.678494942506013,2.8946639934204564e-15,6.605096930441222e-14
establishment of localization GO:0051234,20.561562134045044,57,2.7721629139072848,2.843724244457555e-14,5.94812321132372e-13
cytoplasm GO:0005737,16.527383643345406,49,2.9647765827550923,2.764093552057532e-13,5.336826781280311e-12
multi-organism reproductive process GO:0044703,1.507162504425502,16,10.615975353035244,2.839062508647906e-13,5.336826781280311e-12
single-organism localization GO:1902578,6.877842533838067,29,4.2164384917688755,9.158201591933308e-12,1.5324723997168403e-10
growth GO:0040007,1.3796808191944225,14,10.14727450380474,1.2709146886054807e-11,1.993747417749848e-10
nervous system development GO:0007399,0.9314387646722405,12,12.883294592342441,1.4617645788409453e-11,2.1582524075828077e-10
female gamete generation GO:0007292,0.6086222391677333,10,16.43055306962592,3.688280893249134e-11,5.143102801141848e-10
membrane-bounded organelle GO:0043227,20.561562134045044,50,2.431721854304636,2.44191735449868e-10,3.225901347258783e-09
regulation of ion transport GO:0043269,0.7402162368256215,10,13.509565857247978,2.9375651706257787e-10,3.6866442891353525e-09
localization of cell GO:0051674,0.7587216427462621,10,13.180064250973636,3.8085828065664224e-10,4.55216325927701e-09
transporter complex GO:1990351,0.7957324545875433,10,12.567038006742303,6.276080955399397e-10,7.160437817296585e-09
neurotransmitter transport GO:0006836,0.4975898036438901,8,16.077499863171145,2.3185811870086434e-09,2.530277730170302e-08
secretion GO:0046903,0.9108772025381955,10,10.97842823613831,2.562764356715733e-09,2.680224389731871e-08
passive transmembrane transporter activity GO:0022803,4.712710041123124,20,4.243842677669521,1.181830083529709e-08,1.1865574038638278e-07
actin filament-based process GO:0030029,1.0650889185435333,10,9.388887468357668,1.2789492918860374e-08,1.2346779702438283e-07
oviposition GO:0018991,0.8286309540020153,9,10.861288679276289,1.396217080911564e-08,1.2979647678103798e-07
nucleus GO:0005634,13.914009096108282,36,2.5873204301748745,2.6770742903059286e-08,2.3998058816671e-07
transporter activity GO:0005215,12.760505460388355,34,2.664471255119485,3.284229202589112e-08,2.8425569994823003e-07
organelle localization GO:0051640,0.5263759906315532,7,13.298478890728477,7.059432817202211e-08,5.906392123725851e-07
biological adhesion GO:0022610,0.9191018273918135,8,8.704149814065811,4.355734185759784e-07,3.526739614921632e-06
positive regulation of cellular component organization GO:0051130,0.4667474604428225,6,12.854917291478252,5.195376323490302e-07,4.075123303737705e-06
receptor-mediated endocytosis GO:0006898,1.5955772216018955,10,6.267324366764525,7.199618958969964e-07,5.476073814246852e-06
inorganic anion transport GO:0015698,0.7278792995451946,7,9.616979084820594,8.21756545541604e-07,6.066496850910077e-06
regulation of cytoskeleton organization GO:0051493,0.5489937089790027,6,10.929086985638813,1.5325882325643442e-06,1.0990847039247155e-05
intrinsic component of membrane GO:0031224,20.561562134045044,41,1.9940119205298015,3.4298182409217297e-06,2.3913454957537616e-05
Ras protein signal transduction GO:0007265,0.6682507693564639,6,8.978665308201734,5.573989375611509e-06,3.7812738737256456e-05
transmembrane transport GO:0055085,13.184073640349682,30,2.2754727270473825,6.082447012221997e-06,4.017616315967687e-05
signaling GO:0023052,18.293621830659877,37,2.0225628551033275,7.98684853481769e-06,5.140253800613436e-05
cation transport GO:0006812,5.950516081592636,18,3.024947710952553,8.605974709991125e-06,5.400249130519431e-05
cell communication GO:0007154,18.4869005147199,37,2.0014171640367375,1.0182633114762961e-05,6.233758321476837e-05
protein complex binding GO:0032403,0.7628339551730712,6,7.8654076150015175,1.312235913928107e-05,7.842171771332258e-05
catabolic process GO:0009056,4.618126855306517,15,3.2480701526776077,1.747442490188074e-05,0.00010200187559004803
"hydrolase activity, acting on acid anhydrides GO:0016817",7.593384896102835,20,2.6338714912587444,2.4130247528608688e-05,0.00013765209385638137
cell morphogenesis involved in differentiation GO:0000904,0.42356817996132795,4,9.443580016717032,7.26090871498842e-05,0.0004049973527693541
system process GO:0003008,3.606497998311501,12,3.3273275087406646,7.494912297364332e-05,0.00040896151883444503
cell part morphogenesis GO:0032990,0.440017429668564,4,9.090548988054712,8.685733337511758e-05,0.0004638551207905215
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds GO:0016810",0.7278792995451946,5,6.869270774871852,9.954796373807865e-05,0.000520552893713703
protein serine/threonine kinase activity GO:0004674,1.86698984177129,8,4.284972430492751,0.00012020858071446526,0.0006157623216189955
ion homeostasis GO:0050801,0.477028241509845,4,8.385247773464261,0.00012674110937934246,0.0006362403690842991
actin filament organization GO:0007015,0.5119828971377216,4,7.812760977685577,0.00017604967755449892,0.000866440569925083
regulation of anatomical structure size GO:0090066,0.5181513657779352,4,7.719751918427415,0.00018608486802927825,0.0008982173437567084
cell death GO:0008219,1.5667910346142324,7,4.467730440979646,0.00019584402804689852,0.0009251478508211463
exopeptidase activity GO:0008238,0.8245186415752063,5,6.064144275073905,0.00019534994459570023,0.0009251478508211463
taxis GO:0042330,0.5284321468449577,4,7.569562192387972,0.00020377301960478346,0.0009299459621963754
cytoskeleton GO:0005856,2.485892862006046,9,3.620429559758763,0.00021840196518177192,0.000978908808225442
