Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,28.056156213404506,168,5.987990611477061,1.1271741336509334e-88,2.8292070754638428e-86
single-multicellular organism process GO:0044707,27.00330891364144,165,6.110362271812025,3.859227599345322e-88,4.843330637178379e-86
reproduction GO:0000003,15.674078814782538,125,7.974950328953941,1.225646061887817e-77,1.0254572051128069e-75
embryo development GO:0009790,16.232631607614586,126,7.7621425192015385,6.3586648573618405e-77,3.990062197994555e-75
cytoplasm GO:0005737,39.731392467115114,141,3.5488310689514067,2.292698691813159e-44,1.1509347432902058e-42
cell death GO:0008219,3.7665241428143466,47,12.478348264318202,1.5021903650026126e-37,6.284163026927597e-36
sex differentiation GO:0007548,5.3433236199242895,46,8.608874040208663,1.257000313237057e-29,4.507243980321447e-28
reproductive system development GO:0061458,4.967659794656718,44,8.857289311020654,6.368480626256878e-29,1.9981107964880956e-27
receptor-mediated endocytosis GO:0006898,3.835725373784689,34,8.864033966658146,8.794309870202784e-23,2.452635308245443e-21
ribonucleoprotein complex GO:1990904,9.78703123723413,50,5.108801513760191,8.244650324582738e-22,2.0694072314702672e-20
growth GO:0040007,3.3167161415071216,30,9.045091204690175,1.3415126834300111e-20,3.0610880321902977e-19
catabolic process GO:0009056,11.101854625670633,50,4.503752002335343,1.7676439816875658e-19,3.6973219950298254e-18
organelle part GO:0044422,29.707099866554103,85,2.8612688677731786,1.8469261975082628e-19,3.6973219950298254e-18
non-membrane-bounded organelle GO:0043228,19.949726299735833,66,3.3083160645103162,2.7821758454465955e-18,4.988043837193539e-17
multi-organism reproductive process GO:0044703,3.6231787358043523,28,7.728020625453342,1.4973224854331396e-17,2.505519625624787e-16
organic acid metabolic process GO:0006082,9.307565565511043,43,4.6198976195596675,2.3654444274895798e-17,3.7107909456242785e-16
cellular component organization or biogenesis GO:0071840,26.691903374274897,76,2.8473053770023466,2.7876867004538264e-17,4.1159374224347675e-16
cellular amide metabolic process GO:0043603,12.718197663335058,50,3.9313746588593776,4.7849905461998826e-17,6.672403483867614e-16
ribonucleoprotein complex subunit organization GO:0071826,1.102276750456167,15,13.608197754141498,3.725056031057053e-14,4.92099507260695e-13
structural constituent of cuticle GO:0042302,5.600356763528419,27,4.8211214285193265,5.3743042051323365e-12,6.744751777441082e-11
ribosome GO:0005840,6.574116942182521,29,4.411238840903913,8.688199204975012e-12,1.0384466668803467e-10
structural constituent of ribosome GO:0003735,6.312140853509082,28,4.435895942409789,1.6690329588932497e-11,1.9042148758282074e-10
membrane-enclosed lumen GO:0031974,6.564231052043901,27,4.113200736831624,2.0231236649519863e-10,2.2078436517519504e-09
female gamete generation GO:0007292,1.4631117405158092,13,8.88517236244509,3.839457269502397e-10,4.01543239435459e-09
nucleolus GO:0005730,1.0973338053868569,11,10.024297024297026,1.5495490623346511e-09,1.5557472585839895e-08
organonitrogen compound catabolic process GO:1901565,2.580217326179907,16,6.201028044288233,1.5506508861940405e-09,1.5557472585839895e-08
rRNA metabolic process GO:0016072,1.448282905307879,12,8.285673990917552,3.52359810272325e-09,3.2756411991982805e-08
small molecule catabolic process GO:0044282,1.6114000925951142,12,7.4469401206712975,1.2537688816059235e-08,1.1239142474395955e-07
oviposition GO:0018991,1.992006862931997,13,6.526081933706568,1.95383611787916e-08,1.6910788468540316e-07
localization of cell GO:0051674,1.8239467305754513,12,6.579139510403369,5.3412408381563904e-08,4.46883816792418e-07
membrane-bounded organelle GO:0043227,49.429450693101664,86,1.7398534435261708,7.606407999322201e-08,6.158736799451202e-07
mitochondrial matrix GO:0005759,0.9984749040006535,9,9.013746829228378,8.259151667383047e-08,6.478272089103577e-07
generation of precursor metabolites and energy GO:0006091,2.3627277431302596,13,5.502115103104072,1.5852410181080007e-07,1.2057439258942673e-06
mitochondrion GO:0005739,5.90681935782565,21,3.5552128358518615,1.9117677185000673e-07,1.4113344039515203e-06
maintenance of location GO:0051235,3.7022658569133147,16,4.321677755832386,2.8337521824460385e-07,2.0322051365541592e-06
monooxygenase activity GO:0004497,1.275279827882023,9,7.0572746492408225,7.858381307638007e-07,5.479038078380944e-06
extracellular region GO:0005576,8.239889430540046,24,2.9126604431179883,1.219866959998277e-06,8.275313701609934e-06
immune system process GO:0002376,1.6855442686347666,10,5.932801757915062,1.3398299103138168e-06,8.849929144441263e-06
fatty acid metabolic process GO:0006631,1.3840246194068466,9,6.502774498229043,1.6415789449484884e-06,1.0565033722617195e-05
cellular amino acid metabolic process GO:0006520,4.74028432146845,17,3.5862827727459443,1.9109031394461524e-06,1.1990917200024607e-05
