Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
pleiotropic defects severe early emb WBPhenotype:0000270,5.541984732824428,30,5.413223140495867,3.1001813070398168e-15,7.750453267599542e-13
pachytene progression during oogenesis variant WBPhenotype:0001946,12.503816793893128,44,3.5189255189255193,1.0410648689676102e-13,1.3013310862095128e-11
germ cell compartment expansion variant WBPhenotype:0001980,20.015267175572518,56,2.7978642257818462,1.7124585494700013e-12,1.427048791225001e-10
rachis absent WBPhenotype:0001942,3.9389312977099236,22,5.5852713178294575,4.2068492079255466e-12,2.622633105487627e-10
rachis narrow WBPhenotype:0001941,12.82442748091603,42,3.275,4.1962129687802024e-12,2.622633105487627e-10
gonad vesiculated WBPhenotype:0001979,9.297709923664122,34,3.6568144499178983,1.4688301910285534e-11,6.120125795952305e-10
nuclei small WBPhenotype:0001792,7.511450381679389,28,3.727642276422764,4.246868602955489e-10,1.5167387867698176e-08
diplotene absent during oogenesis WBPhenotype:0001954,4.900763358778626,20,4.080996884735202,1.562887470126771e-08,4.884023344146159e-07
oocyte number decreased WBPhenotype:0001944,15.022900763358779,38,2.529471544715447,6.55764790890763e-08,1.8215688635854527e-06
hermaphrodite fertility reduced WBPhenotype:0001259,47.3587786259542,85,1.794809800128949,1.0466340335814829e-07,2.6165850839537073e-06
cell membrane organization biogenesis variant WBPhenotype:0001982,14.839694656488549,35,2.358539094650206,1.0603937106865658e-06,2.4099857061058314e-05
oocytes small WBPhenotype:0001945,5.816793893129772,19,3.2664041994750654,1.406694347020233e-06,2.9306132229588187e-05
diplotene region organization variant WBPhenotype:0001950,9.114503816793892,25,2.742881072026801,1.6553231906207035e-06,3.183313828116737e-05
avoids bacterial lawn WBPhenotype:0000402,20.427480916030532,43,2.105007473841555,1.9199666724007974e-06,3.26489193429817e-05
apoptosis reduced WBPhenotype:0000182,11.49618320610687,29,2.5225763612217795,1.8283394832069754e-06,3.26489193429817e-05
gonad small WBPhenotype:0001957,3.618320610687023,14,3.869198312236287,2.6522772558589378e-06,4.1441832122795906e-05
diakinesis progression during oogenesis variant WBPhenotype:0001948,5.129770992366413,17,3.313988095238095,3.453336177899031e-06,5.0784355557338685e-05
germ cell compartment multinucleate WBPhenotype:0001972,7.877862595419847,22,2.7926356589147288,4.327241246221115e-06,6.0100572864182154e-05
oocytes lack nucleus WBPhenotype:0001956,5.404580152671756,17,3.1454802259887003,7.353366353944836e-06,9.675482044664257e-05
germ cell compartment anucleate WBPhenotype:0001971,5.541984732824428,17,3.067493112947658,1.0510470964137881e-05,0.00013138088705172353
multiple nuclei oocyte WBPhenotype:0001955,3.16030534351145,11,3.480676328502416,6.455947342679395e-05,0.0007685651598427851
no oocytes WBPhenotype:0000291,9.389312977099236,22,2.343089430894309,7.463258362594179e-05,0.0008480975412038839
germline nuclear positioning variant WBPhenotype:0001952,12.595419847328245,26,2.064242424242424,0.00018336688807478845,0.001993118348639005
mitosis variant WBPhenotype:0001743,12.091603053435113,25,2.067550505050505,0.00022741793895794278,0.002368936864145237
molt variant WBPhenotype:0002041,12.916030534351146,24,1.8581560283687943,0.001365262318449205,0.013652623184492051
nuclei enlarged WBPhenotype:0001567,4.580152671755725,11,2.401666666666667,0.002088785675044249,0.020084477644656238
lysosome-related organelle morphology variant WBPhenotype:0002095,14.106870229007633,25,1.7721861471861473,0.002206633629077173,0.020431792861825677
cell death variant WBPhenotype:0000729,35.770992366412216,52,1.4536918480580452,0.0032030983800769132,0.028599092679258156
pathogen resistance increased WBPhenotype:0001014,4.854961832061069,11,2.2657232704402515,0.0034068824969094584,0.02870708776105673
cell component localization variant WBPhenotype:0002098,10.900763358778626,20,1.834733893557423,0.0033300221802825803,0.02870708776105673
endosome morphology variant WBPhenotype:0002090,15.389312977099236,26,1.6894841269841272,0.0036389545082960596,0.02934640732496822
meiosis defective early emb WBPhenotype:0001041,3.801526717557252,9,2.3674698795180724,0.004620866024906091,0.036100515819578835
protein interaction variant WBPhenotype:0001369,26.33587786259542,39,1.4808695652173913,0.006346998673299614,0.04808332328257284
transgene subcellular localization variant WBPhenotype:0000679,55.05343511450381,73,1.3259844703272325,0.006760875692198946,0.049712321266168716
