Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,13.623430962343095,70,5.138206388206389,9.04313540286113e-42,2.4687759649810886e-39
PVD WBbt:0006831,3.988152884208547,28,7.020794039984911,1.0432137808680068e-17,1.4239868108848293e-15
labial sensillum WBbt:0005107,4.130192907401313,28,6.779344361815147,2.6273483486850147e-17,2.3908869973033632e-15
coelomic system WBbt:0005749,1.2383683575447009,16,12.920226766551934,6.920564385264682e-15,4.723285192943146e-13
pharynx WBbt:0003681,6.969614341905254,29,4.160918894125265,2.5602207421342004e-12,1.3978805252052734e-10
hermaphrodite WBbt:0007849,3.1028160406186824,20,6.445757575757576,2.9274110192802433e-12,1.3978805252052734e-10
sex organ WBbt:0008422,2.207825991569116,16,7.246947930270854,6.495945568110256e-11,2.5334187715629998e-09
tail WBbt:0005741,2.547067212010092,16,6.281734508047448,5.732318826944766e-10,1.9561537996949015e-08
reproductive tract WBbt:0005744,2.37882563114099,12,5.044505928853755,7.189751922216392e-07,2.180891416405639e-05
spermatheca WBbt:0005319,0.7584661432623447,7,9.229152892561983,1.016731757939817e-06,2.7756776991757003e-05
lateral nerve cord WBbt:0006769,0.5709181514738376,6,10.509387351778656,1.8578818855006336e-06,4.610925043106118e-05
cephalic sheath cell WBbt:0008406,0.41784589346998263,5,11.966134113411341,4.262489008049662e-06,9.69716249331298e-05
striated muscle WBbt:0005779,1.9926974127528874,10,5.018323372129601,5.026353352190188e-06,0.00010555342039599395
dorsal nerve cord WBbt:0006750,0.8246595521288766,6,7.275729705077531,2.0191352612825623e-05,0.00039373137595009964
male WBbt:0007850,0.9294657828342187,6,6.455321014297276,4.305696412457941e-05,0.0007836367470673453
midbody WBbt:0005740,1.002554338457681,6,5.984713017381519,6.913053858233697e-05,0.0011795398145611246
ventral nerve cord WBbt:0005829,1.936157209346058,8,4.131895881895882,0.00014183364667094448,0.002277681502421638
excretory cell WBbt:0005812,1.1859652421920297,6,5.059170190274842,0.00019429109861253754,0.002946748328956819
excretory secretory system WBbt:0006850,1.3004246783570745,6,4.613877373951605,0.0003385553091034643,0.0048645052308024074
anal depressor muscle WBbt:0004292,0.6398696190431417,4,6.251273510971787,0.00047476313611898236,0.006480516808024109
pharyngeal interneuron WBbt:0003668,1.4162631438735054,6,4.236500840931221,0.0005617324826306233,0.007302522274198103
retrovesicular ganglion WBbt:0005656,1.478319464685879,6,4.058662652645862,0.0007222607653372413,0.008962599497139404
Z4.a WBbt:0007025,0.8536191685079844,4,4.685930386253488,0.001707935211817941,0.011459761720051332
male distal tip cell WBbt:0006864,0.8577562565621425,4,4.663329435837475,0.0017442498365727954,0.011459761720051332
gonadal primordium WBbt:0008366,0.8287966401830349,4,4.826274391166238,0.0015015980758171653,0.011459761720051332
Z1.p WBbt:0007023,0.8549981978593704,4,4.678372434017596,0.0017199777435304882,0.011459761720051332
nerve ring WBbt:0006749,1.2121667998683654,5,4.124844865032578,0.0013971964104195413,0.011459761720051332
AVA WBbt:0005842,0.7956999357497688,4,5.027020639672286,0.001255826352859662,0.011459761720051332
somatic gonad WBbt:0005785,0.7060630279096736,3,4.248912464488637,0.005617855551084565,0.02130103563119564
