Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,3.8702928870292883,18,4.650810810810811,2.721554126471796e-11,7.4298427652680035e-09
Z1.p WBbt:0007023,0.24289721530095748,5,20.58483870967742,1.242896328204221e-07,1.566623522237724e-05
Z4.a WBbt:0007025,0.24250544559885917,5,20.61809369951535,1.2311841402614558e-07,1.566623522237724e-05
cephalic sheath cell WBbt:0008406,0.11870621973579051,4,33.696633663366335,1.1477095401008968e-07,1.566623522237724e-05
male distal tip cell WBbt:0006864,0.24368075470515413,5,20.51864951768489,1.2665962788730203e-07,1.566623522237724e-05
head muscle WBbt:0006761,0.0697350069735007,3,43.019999999999996,7.071911364833384e-07,2.461778651119851e-05
thermosensory neuron WBbt:0005838,0.32791124065629257,5,15.248028673835128,7.161018355602695e-07,2.461778651119851e-05
posterior lateral ganglion WBbt:0005465,0.0677761584630091,3,44.26335260115607,6.312252951589362e-07,2.461778651119851e-05
pharynx WBbt:0003681,1.980004074404902,10,5.0504946576968734,1.1888253670673336e-06,2.704577710078184e-05
reproductive tract WBbt:0005744,0.6758027361195995,6,8.878330434782608,3.2667140992040426e-06,6.860099608328489e-05
tail WBbt:0005741,0.7235986397755944,6,8.291889550622631,5.115574761664575e-06,9.975370785245922e-05
amphid sensillum WBbt:0005391,0.5324150251516149,5,9.391169977924944,1.15491262716385e-05,0.00021019409814382068
labial sensillum WBbt:0005107,1.1733502577844641,7,5.965823038397328,1.2293812818663695e-05,0.00021019409814382068
AWB WBbt:0005671,0.3333960164856691,4,11.997743830787309,1.7749290086410424e-05,0.0002850327172700027
nerve ring WBbt:0006749,0.344365568144422,4,11.61556313993174,2.072279802553979e-05,0.00031429577005402014
retrovesicular ganglion WBbt:0005656,0.41997712064939746,4,9.524328358208955,5.32541027045663e-05,0.0007269185019173301
coelomic system WBbt:0005749,0.35180919248429005,3,8.527349665924277,0.00038938278860643744,0.0010038814096901133
sex organ WBbt:0008422,0.6272232930594079,4,6.377314178638351,0.00034531547216137153,0.0010038814096901133
PVD WBbt:0006831,1.1329979784683373,6,5.295684647302904,9.102141109381584e-05,0.0010038814096901133
dorsal nerve cord WBbt:0006750,0.2342782818547945,3,12.805284280936455,8.259742261077932e-05,0.0010038814096901133
hermaphrodite WBbt:0007849,0.8814818297212167,4,4.537813333333333,0.001597954482275351,0.00296762975279708
striated muscle WBbt:0005779,0.5661072195320703,3,5.299349480968858,0.002265598564681223,0.004123389387719826
corpus WBbt:0003733,0.8317270775547302,3,3.6069524258125294,0.008838937143881098,0.015272340761262911
