Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental timing variant WBPhenotype:0000033,35.80785039974705,438,12.2319545884579,0.0,0.0
embryonic development variant WBPhenotype:0000749,58.62392158634084,553,9.433009342193971,0.0,0.0
organ system physiology variant WBPhenotype:0000575,63.553006007498084,544,8.55978393745558,0.0,0.0
fertility reduced WBPhenotype:0001384,54.897466010208234,470,8.561415201069629,4.79035973e-315,2.9939748328e-313
developmental growth variant WBPhenotype:0001015,31.590180224942408,358,11.332635567470957,1.0696047791283231e-276,5.3480238956416157e-275
behavior variant WBPhenotype:0000517,50.07001219567279,405,8.088673883626523,4.7786838745033206e-256,1.9911182810430503e-254
transgene subcellular localization variant WBPhenotype:0000679,20.359998193233658,254,12.475443150305049,5.866515671533229e-203,2.095184168404725e-201
endocytic transport variant WBPhenotype:0001421,14.245223361488776,206,14.460987713040032,1.6340693916289615e-177,5.1064668488405044e-176
brood size variant WBPhenotype:0000673,20.105921676679163,213,10.593893850042123,3.570626479567209e-153,9.918406887686691e-152
transgene expression increased WBPhenotype:0001236,16.59966574822711,197,11.867708843537415,2.070044970630286e-151,5.175112426575715e-150
movement variant WBPhenotype:0001206,33.385654275260855,238,7.128810417723659,2.976705075819689e-131,6.7652388086811115e-130
oocyte physiology variant WBPhenotype:0001424,12.669948958850895,160,12.62830659536542,5.1937219050565635e-127,1.082025396886784e-125
hermaphrodite fertility reduced WBPhenotype:0001259,17.5143412078233,169,9.649235332043842,8.299557017084339e-114,1.5960686571316036e-112
avoids bacterial lawn WBPhenotype:0000402,7.554541758887032,121,16.016855007473843,1.4395634935082058e-109,2.5706490955503675e-108
sick WBPhenotype:0000032,11.213243597271783,126,11.236712990936557,3.5343800481466703e-93,5.890633413577784e-92
body morphology variant WBPhenotype:0000072,22.900763358778626,167,7.292333333333334,1.7023834189688307e-92,2.659974092138798e-91
progeny variant WBPhenotype:0000069,13.31360946745562,133,9.989777777777778,2.2258729797145224e-91,3.2733426172272385e-90
pigmentation variant WBPhenotype:0000521,7.9441257509372605,105,13.21731343283582,1.408779206232622e-85,1.9566377864341972e-84
protein interaction variant WBPhenotype:0001369,9.739599801255702,113,11.602119420289856,2.990882705319003e-85,3.9353719806828985e-84
germ cell compartment expansion variant WBPhenotype:0001980,7.402095848954334,102,13.77988100686499,3.707436707336514e-85,4.634295884170643e-84
cell death variant WBPhenotype:0000729,13.22891729527079,127,9.60018096457533,4.861358697316927e-85,5.787331782520152e-84
cytoplasmic processing body variant WBPhenotype:0001794,4.6241926012918375,83,17.949079365079367,3.0416966977080745e-80,3.456473520122812e-79
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,15.109083517774064,129,8.537910313901346,7.709483705777225e-80,8.379873593236114e-79
protruding vulva WBPhenotype:0000697,13.449116942951353,122,9.071227539882452,1.0726033231636448e-78,1.1172951282954633e-77
extended life span WBPhenotype:0000061,8.045756357559059,98,12.18033403508772,3.00592314925645e-76,3.00592314925645e-75
transgene expression reduced WBPhenotype:0001278,12.924025475405392,117,9.052906946264745,2.180349375528418e-75,2.0964897841619405e-74
lipid metabolism variant WBPhenotype:0000725,12.974840778716294,116,8.940379460400347,4.017867989958345e-74,3.7202481388503196e-73
epithelial cell physiology variant WBPhenotype:0000986,0.8977370251592213,44,49.01212578616352,6.460882022671675e-72,5.76864466309971e-71
endosome morphology variant WBPhenotype:0002090,5.691313970820723,80,14.056507936507938,6.939203606729956e-68,5.982072074767203e-67
oocyte number decreased WBPhenotype:0001944,5.555806495324992,77,13.859373983739838,6.7398090841907245e-65,5.6165075701589373e-64
rachis narrow WBPhenotype:0001941,4.742761642350603,70,14.759333333333334,2.7788446197455725e-61,2.241003725601268e-60
pachytene progression during oogenesis variant WBPhenotype:0001946,4.6241926012918375,69,14.92152380952381,8.43467831460989e-61,6.589592433288977e-60
