Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
reversal variant WBPhenotype:0002320,27.191187697676956,108,3.971875050137175,6.343684953536539e-40,1.5795775534305981e-37
sinusoidal movement variant WBPhenotype:0004018,30.3086487076017,112,3.695314861460957,6.241664689903752e-38,7.770872538930171e-36
turning variant WBPhenotype:0002311,23.987130548587633,92,3.835389973537997,1.0429546320653114e-32,8.656523446142085e-31
velocity of movement variant WBPhenotype:0004025,25.372668775220856,94,3.704773858546608,5.085685845337991e-32,3.165839438722899e-30
body posture amplitude decreased WBPhenotype:0002292,11.344094230559493,52,4.583882938835157,2.511630924590688e-23,1.2507922004461624e-21
backing decreased WBPhenotype:0002344,10.997709673901188,50,4.546401158293501,2.6066723254405687e-22,1.081769015057836e-20
behavior variant WBPhenotype:0000517,255.9781873704875,377,1.4727817392282445,2.9056386398966846e-21,1.0335771733346778e-19
movement variant WBPhenotype:0001206,170.68099029337986,277,1.6229106681644552,2.6584785974129276e-20,8.2745146344477375e-19
body posture wavelength decreased WBPhenotype:0002295,13.24920929218017,52,3.924762516257553,1.144587428859088e-19,3.166691886510144e-18
chemosensory behavior variant WBPhenotype:0001049,17.232631693750683,59,3.423737073275698,1.0452294517518092e-18,2.6026213348620048e-17
short WBPhenotype:0000324,16.020285745446614,56,3.4955681121927973,2.580976898583721e-18,5.842393161339514e-17
coiling frequency increased WBPhenotype:0002300,10.04515214309085,43,4.280671849213932,2.8919489825775728e-18,6.000794138848463e-17
synapse morphology variant WBPhenotype:0000616,4.67619151488712,27,5.773929471032745,2.39682916385061e-16,4.59084970614463e-15
acetylcholinesterase inhibitor response variant WBPhenotype:0001290,25.632457192714583,69,2.691899550684185,2.1379340980632992e-15,3.8024685029840103e-14
touch resistant WBPhenotype:0000456,4.329806958228814,24,5.542972292191436,2.968409028860884e-14,4.927558987909068e-13
body morphology variant WBPhenotype:0000072,117.07798015050714,192,1.6399326308258686,6.150175577288657e-14,9.571210742155473e-13
fat WBPhenotype:0000542,10.911113534736613,39,3.5743372915916996,1.0911028141361711e-13,1.5981447101170976e-12
