Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
behavior variant WBPhenotype:0000517,417.49591013196635,553,1.324563873751966,5.542220784172513e-18,1.0209375097229051e-15
movement variant WBPhenotype:0001206,278.3776856800087,400,1.436896779362533,4.100150641457451e-18,1.0209375097229051e-15
acetylcholinesterase inhibitor response variant WBPhenotype:0001290,41.806085723633984,96,2.296316393613691,8.908621800149066e-17,7.394156094123725e-15
transgene expression reduced WBPhenotype:0001278,107.76366015923219,187,1.7352788474675762,4.05492700370565e-16,2.5241920598067672e-14
body morphology variant WBPhenotype:0000072,190.9521212782201,283,1.4820469032007493,3.801881436017048e-14,1.89333695513649e-12
gene expression level reduced WBPhenotype:0000134,10.310284654815138,36,3.4916591738509544,1.1065744527866562e-13,4.592283979064623e-12
small WBPhenotype:0000229,61.72047115279747,118,1.911845418481574,1.3863831922267956e-13,4.931563069492459e-12
sinusoidal movement variant WBPhenotype:0004018,49.43287163267532,95,1.9217981246552673,2.3652499654771072e-11,7.361840517547496e-10
egg laying defective WBPhenotype:0000006,39.405060530046896,80,2.030196094712224,4.33649838658256e-11,1.199764553621175e-09
sluggish WBPhenotype:0000646,31.072090740538773,67,2.1562758862758864,8.161946549474646e-11,2.0323246908191866e-09
transgene expression increased WBPhenotype:0001236,138.41204057149088,207,1.4955346308407536,8.963640943516313e-11,2.0323246908191866e-09
VPC competence variant WBPhenotype:0002017,41.947322499727335,82,1.954832754832755,2.060897344618689e-10,4.27636199008378e-09
organ system physiology variant WBPhenotype:0000575,529.9203839022794,629,1.186970758452635,7.867842582821234e-10,1.506994463940375e-08
short WBPhenotype:0000324,26.12880357727124,57,2.1815005739330067,1.1198453409024453e-09,1.9917249277479204e-08
mRNA levels reduced WBPhenotype:0000137,17.654597011669757,43,2.435626254826255,2.201468170728435e-09,3.654437163409202e-08
reversal variant WBPhenotype:0002320,44.34834769331443,82,1.8489978604628285,3.88364035923889e-09,6.043915309065523e-08
forward locomotion decreased WBPhenotype:0002347,15.112335041989311,38,2.5145022191751165,5.822326733008044e-09,8.527996214817665e-08
protein degradation variant WBPhenotype:0001645,23.30406805540408,51,2.1884591084591083,6.694857928001346e-09,9.261220133735195e-08
path curvature increased WBPhenotype:0002336,13.558730504962375,35,2.581362612612612,9.356046510899194e-09,1.226134516428368e-07
body posture amplitude decreased WBPhenotype:0002292,18.502017668229904,43,2.3240708538418464,1.1487121267756546e-08,1.4301465978356897e-07
vulval cell induction reduced WBPhenotype:0000219,11.722652415748719,31,2.6444527143322323,2.864580596366661e-08,3.3965741356918983e-07
sexually dimorphic morphology variant WBPhenotype:0001023,27.258697786018104,55,2.0177046031968313,4.693976337441478e-08,5.312727763740581e-07
backward point velocity decreased WBPhenotype:0002324,12.005125967935435,31,2.5822302975244154,5.571987889272628e-08,6.032282540995148e-07
mitochondria morphology variant WBPhenotype:0001401,15.677282146362744,37,2.36010296010296,6.426189781041506e-08,6.619728935393786e-07
synapse morphology variant WBPhenotype:0000616,7.6267859090413355,23,3.0156871156871157,6.380461624475939e-08,6.619728935393786e-07
dumpy WBPhenotype:0000583,54.65863234812957,92,1.6831742041044364,7.33602328141353e-08,7.025653065661419e-07
turning variant WBPhenotype:0002311,39.12258697786018,71,1.81480841336437,8.94961979924002e-08,8.253538259299129e-07
neuronal outgrowth variant WBPhenotype:0000572,31.91951139709892,60,1.8797280213209417,2.1166693501056747e-07,1.8823238149154035e-06
vulval cell induction increased WBPhenotype:0000218,32.343221725378996,60,1.8551027633997066,3.4959920916280306e-07,3.0017311407426885e-06
forward point velocity decreased WBPhenotype:0002321,12.287599520122152,30,2.4414858207961654,3.793396659052797e-07,3.148519227013822e-06
eating variant WBPhenotype:0002056,20.620569309630277,43,2.0852964510498757,4.0361500249311504e-07,3.241939858735021e-06
body posture wavelength decreased WBPhenotype:0002295,21.60922674228378,44,2.0361672596966716,6.423822250019713e-07,4.998536688296589e-06
fertility reduced WBPhenotype:0001384,457.74839131857345,535,1.1687643477214598,6.702239317005319e-07,5.057144211922195e-06
velocity of movement variant WBPhenotype:0004025,41.38237539535391,71,1.7157062474468618,9.343154264842655e-07,6.842486505723003e-06
brood size variant WBPhenotype:0000673,167.648053222816,222,1.3242026718016608,1.059720500082373e-06,7.539154414871738e-06
male tail morphology variant WBPhenotype:0000070,14.971098265895954,33,2.2042471042471043,1.7538796086949717e-06,1.2131000626806888e-05
developmental timing variant WBPhenotype:0000033,298.5745446613589,364,1.2191260323710655,2.0386798142939915e-06,1.371976415565416e-05
male nervous system development variant WBPhenotype:0001008,11.440178863562004,27,2.3601029601029597,2.759233453941698e-06,1.808024026398639e-05
muscle system morphology variant WBPhenotype:0000603,36.0153779038063,62,1.721486865016277,3.7041006270431653e-06,2.364925784958329e-05
exploded through vulva WBPhenotype:0000038,57.20089431781002,89,1.5559197292530624,4.424836431011162e-06,2.7544606783044484e-05
pore forming toxin response variant WBPhenotype:0002058,20.47933253353692,40,1.9531886566369323,5.988836329142929e-06,3.637122551113633e-05
Pausing increased WBPhenotype:0002310,9.46286399825499,23,2.4305537947328992,6.979473976819639e-06,4.137831000543072e-05
neurite morphology variant WBPhenotype:0001398,26.55251390555131,48,1.8077384375256718,9.484683874651577e-06,5.4922936855540527e-05
Bacillus thuringiensis toxin hypersensitive WBPhenotype:0002057,17.513360235576396,35,1.9984742807323455,1.149831902260542e-05,6.50700326506534e-05
backing decreased WBPhenotype:0002344,17.937070563856473,35,1.951266226856778,2.054054974614837e-05,0.00011365770859535431
ectopic expression transgene WBPhenotype:0001276,17.372123459483042,34,1.9571585522805033,2.4366579670804006e-05,0.0001318973551745695
transgene subcellular localization variant WBPhenotype:0000679,169.76660486421636,216,1.272335040055506,2.6774643834552886e-05,0.00014184864499582273
coiling frequency decreased WBPhenotype:0002299,11.016468535281927,24,2.178556578556579,4.081778777519967e-05,0.00021174227408384832
progeny variant WBPhenotype:0000069,111.01210600937944,148,1.333187931661214,5.2992875647102e-05,0.0002692903272679265
male nervous system morphology variant WBPhenotype:0001358,13.84120405714909,28,2.0229453943739655,5.439457099307145e-05,0.00026979834523649295
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,125.98320427527538,165,1.3096983915369567,5.417637454548051e-05,0.00026979834523649295
molt variant WBPhenotype:0002041,39.82877085832697,63,1.5817711328349626,5.534801427707745e-05,0.00026979834523649295
pericellular component morphology variant WBPhenotype:0000912,25.422619696804453,44,1.7307421707421704,6.5494701880293e-05,0.000307701523928169
mRNA levels increased WBPhenotype:0000136,20.620569309630277,37,1.7943248532289628,9.571768319943915e-05,0.00044136487253074717
dauer development variant WBPhenotype:0000308,31.91951139709892,52,1.6290976184781496,9.714025819705711e-05,0.00044136487253074717
protruding vulva WBPhenotype:0000697,112.14200021812628,147,1.3108380420722991,0.0001319524754811768,0.0005867172570502325
dendrite development variant WBPhenotype:0000882,9.180390446068273,20,2.1785565785565786,0.00014568640838599133,0.0006364195734756462
copulation variant WBPhenotype:0000647,24.15148871196423,41,1.69761791867055,0.00017291292268076168,0.0007423330646122356
thin WBPhenotype:0000164,51.41018649798233,75,1.4588548517119946,0.0002136604208132508,0.0009017194030932111
protein phosphorylation reduced WBPhenotype:0001351,8.897916893881558,19,2.135331249616964,0.00027153072132343016,0.0011268524934922352
male mating defective WBPhenotype:0001414,11.58141563965536,23,1.9859402956963934,0.000280347924372242,0.0011268524934922352
cell death variant WBPhenotype:0000729,110.30592212891263,143,1.2963945837185276,0.00027388041877107034,0.0011268524934922352
organism osmotic stress response variant WBPhenotype:0000876,12.287599520122152,24,1.9531886566369323,0.0002890279034493248,0.0011423483802997124
neuropil development variant WBPhenotype:0000945,14.406151161522523,27,1.874199409493527,0.00029900847743653857,0.001163329857526533
Q neuroblast lineage migration variant WBPhenotype:0000469,7.061838804667903,16,2.2656988416988417,0.0003103459951385719,0.0011888638890692987
endomitotic oocytes WBPhenotype:0000668,7.061838804667903,16,2.2656988416988417,0.0003103459951385719,0.0011888638890692987
chemosensory behavior variant WBPhenotype:0001049,28.106118442578254,45,1.6010748724316564,0.00038736799376830767,0.0014396213499747552
sexually dimorphic behavior variant WBPhenotype:0000821,24.292725488057584,40,1.646583460536949,0.0004038360038904912,0.0014787524260107693
somatic gonad morphology variant WBPhenotype:0000977,9.886574326535063,20,2.022945394373966,0.0004584850043667907,0.001654532841845375
sick WBPhenotype:0000032,93.49874577380302,122,1.3048303374587364,0.0005700816590559477,0.0020278619014990136
pericellular component development variant WBPhenotype:0000200,14.264914385429163,26,1.8226537711686226,0.0006008021644065577,0.002107038576580745
pathogen susceptibility increased WBPhenotype:0001013,22.456647398843927,37,1.647619047619048,0.0006137737933086381,0.002122634368525707
bag of worms WBPhenotype:0000007,8.756680117788198,18,2.055573545896127,0.0006295568542724105,0.0021473925577237016
inhibitor of serotonin uptake variant WBPhenotype:0001598,8.191733013414767,17,2.0752629476767406,0.0007343255065304495,0.0024709060962984043
cell differentiation variant WBPhenotype:0000354,11.722652415748719,22,1.876708377913197,0.0008711022646033314,0.0028609357005296102
fat content increased WBPhenotype:0001184,37.145272112553165,55,1.4806729597604122,0.0008617276206414489,0.0028609357005296102
gonad development variant WBPhenotype:0000691,71.0420983749591,95,1.337235275605057,0.0009433679895546464,0.0030506315506377527
