Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
organ system physiology variant WBPhenotype:0000575,16.213077977023953,158,9.745219274458965,2.710472424249696e-119,6.77618106062424e-117
embryonic development variant WBPhenotype:0000749,14.955613773582064,152,10.163407687653466,1.3094322492981604e-116,1.6367903116227004e-114
fertility reduced WBPhenotype:0001384,14.004953551048677,145,10.353479536470333,1.8788812267829462e-111,1.5657343556524551e-109
behavior variant WBPhenotype:0000517,12.77341644458497,120,9.394510898520933,6.810479726707415e-85,4.256549829192134e-83
developmental timing variant WBPhenotype:0000033,9.134980501979914,94,10.290115012246217,1.4008616214862451e-68,7.004308107431225e-67
movement variant WBPhenotype:0001206,8.517051357333212,89,10.449625846552008,2.7258666110388627e-65,1.1357777545995261e-63
developmental growth variant WBPhenotype:0001015,8.059005977385308,87,10.795376035721292,6.155076018264608e-65,2.198241435094503e-63
progeny variant WBPhenotype:0000069,3.396449704142012,56,16.48780487804878,1.2312715632464677e-51,3.847723635145211e-50
protruding vulva WBPhenotype:0000697,3.4310191667795893,53,15.447305136959251,2.130498839156436e-47,5.9180523309901e-46
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,3.854495084089917,55,14.26905438977516,2.874287977168555e-47,7.185719942921387e-46
hermaphrodite fertility reduced WBPhenotype:0001259,4.468103045906921,51,11.414239885698112,5.1191915779514915e-39,1.1634526313526117e-37
oocyte physiology variant WBPhenotype:0001424,3.2322447566135173,45,13.922213009372264,2.2042947683242754e-38,4.59228076734224e-37
endocytic transport variant WBPhenotype:0001421,3.634114759775359,46,12.657828120662725,2.5275348130322545e-37,4.860643871215874e-36
body morphology variant WBPhenotype:0000072,5.842239185750636,54,9.243031358885016,1.6786973957138828e-36,2.997673920917648e-35
sick WBPhenotype:0000032,2.8606230332595572,38,13.283819489036494,6.840473970487429e-32,1.1400789950812383e-30
brood size variant WBPhenotype:0000673,5.129244018850595,47,9.163143696667442,1.015405078529393e-31,1.5865704352021768e-30
exploded through vulva WBPhenotype:0000038,1.7500790460273725,30,17.142082849399923,5.915945850080382e-29,8.699920367765268e-28
transgene subcellular localization variant WBPhenotype:0000679,5.194061761296053,44,8.47121232324755,2.361021663959123e-28,3.279196755498782e-27
transgene expression increased WBPhenotype:0001236,4.234759173103272,38,8.973355614022612,1.3602906386499697e-25,1.7898561034868023e-24
pigmentation variant WBPhenotype:0000521,2.026634747127994,28,13.816007072650685,1.6299599954229685e-24,2.0374499942787107e-23
cell proliferation variant WBPhenotype:0000171,0.4839724769260882,17,35.1259644101543,3.171047006988574e-23,3.7750559607006833e-22
tumorous germline WBPhenotype:0001038,0.39322763750244666,16,40.68889995022399,3.4116532131719407e-23,3.8768786513317507e-22
excess intestinal cells WBPhenotype:0001636,0.4494030142885105,16,35.602787456445995,3.8795901334969857e-22,4.216945797279332e-21
cell death variant WBPhenotype:0000729,3.374843789993526,30,8.889300325232995,1.7696367645091712e-20,1.8433716296970532e-19
thin WBPhenotype:0000164,1.5729105500097866,22,13.986809357889497,7.009400347381152e-20,7.009400347381153e-19
oocytes disorganized WBPhenotype:0001925,0.3068039809085023,13,42.37233155027728,1.11036696732537e-19,1.0676605455051635e-18
gonad development variant WBPhenotype:0000691,2.1735549633376996,24,11.041818773768538,5.235479383168471e-19,4.847666095526362e-18
RNAi resistant WBPhenotype:0001208,0.5487902193715465,14,25.510658728634528,1.790375236255804e-17,1.5985493180855395e-16
somatic transgene silencing variant WBPhenotype:0001595,0.44508183145881325,13,29.20811203951152,2.8067232193538365e-17,2.4195889822015836e-16
foraging behavior variant WBPhenotype:0000662,2.0439194784467833,21,10.274377352653019,2.861468693806579e-16,2.384557244838816e-15
patchy coloration WBPhenotype:0001029,0.43643946579941884,12,27.4952219960672,8.102643693814622e-16,6.534390075656953e-15
slow development WBPhenotype:0000674,0.5920020476685186,13,21.959383504158296,1.6944420501114246e-15,1.3237828516495505e-14
