Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
chemosensory behavior variant WBPhenotype:0001049,4.492638237539535,32,7.122763576335786,7.451443029430618e-20,1.855409314328224e-17
odorant positive chemotaxis defective WBPhenotype:0001438,1.3094121496346385,18,13.746626686656672,9.994145249230246e-18,1.2442710835291655e-15
amphid phasmid sensillum morphology variant WBPhenotype:0001527,2.167302868360781,21,9.689462560386474,1.21776035402647e-16,1.0107410938419701e-14
dauer defective WBPhenotype:0000013,1.1965317919075145,12,10.028985507246377,1.0325662123879034e-10,6.427724672114699e-09
male mating efficiency reduced WBPhenotype:0000843,1.5577489366343114,13,8.34537562136806,2.9827464410760665e-10,1.485407727655881e-08
sexually dimorphic behavior variant WBPhenotype:0000821,3.8830843058130657,19,4.893017638467588,1.5580649724168746e-09,5.828462044667197e-08
copulation variant WBPhenotype:0000647,3.860508234267641,19,4.92163177670424,1.4044486854619753e-09,5.828462044667197e-08
dauer development variant WBPhenotype:0000308,5.102192169266005,19,3.723889530161173,1.666712552650959e-07,5.18764282012611e-06
male mating defective WBPhenotype:0001414,1.8512378667248337,9,4.861611876988335,1.4363954186933064e-05,0.0003974027325051481
sinusoidal movement variant WBPhenotype:0004018,7.90162504089868,20,2.5311249137336094,4.042726110811354e-05,0.0010066388015920272
nose movement increased WBPhenotype:0002303,1.6480532228160105,7,4.247435642909139,0.00022495391936818235,0.0050921387202434
reversal variant WBPhenotype:0002320,7.088886465263387,17,2.3981199421520665,0.0002582608657681467,0.0053589129646890435
male nervous system morphology variant WBPhenotype:0001358,2.2124550114516306,8,3.6158927339051563,0.00035453176013659245,0.006390411380483852
velocity of movement variant WBPhenotype:0004025,6.614788962809467,16,2.418822443158398,0.0003336359355272694,0.006390411380483852
body posture amplitude increased WBPhenotype:0002293,1.7609335805431343,7,3.975164127338041,0.0003563584614357561,0.006390411380483852
turning variant WBPhenotype:0002311,6.25357181808267,15,2.398629205252969,0.0005246634686306776,0.00816507523056492
body posture wavelength decreased WBPhenotype:0002295,3.4541389464499943,10,2.895077515708377,0.000675242451199147,0.009890315902858094
touch resistant WBPhenotype:0000456,1.12880357727124,5,4.429468599033817,0.0008547788659242076,0.011824440978618206
coiling frequency increased WBPhenotype:0002300,2.618824299269277,8,3.054805930368149,0.0012117750166060184,0.015880630480784134
tail bend angle decreased WBPhenotype:0002290,1.2191078634529393,5,4.1013598139202,0.001289231513358034,0.016050932341307524
backing decreased WBPhenotype:0002344,2.8671610862689496,8,2.7902164403362626,0.0022775581291338124,0.027005332102586634
backward point velocity decreased WBPhenotype:0002324,1.918966081361108,6,3.1266837169650468,0.0030080153456374234,0.032144753834065745
backward point velocity increased WBPhenotype:0002325,2.9800414439960736,8,2.6845264236568585,0.0029606492378756403,0.032144753834065745
forward locomotion decreased WBPhenotype:0002347,2.4156396553604536,7,2.8977831956295996,0.002840098732327094,0.032144753834065745
hermaphrodite sexual development variant WBPhenotype:0001022,1.467444650452612,5,3.4072835377183206,0.003359237870693199,0.03345800919210427
sexually dimorphic development variant WBPhenotype:0000930,2.054422510633657,6,2.920528746615703,0.004404597326114745,0.04218248977702198
