Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
behavior variant WBPhenotype:0000517,7.966695273800382,96,12.05016593463914,1.1749958115509135e-81,2.937489528877284e-79
movement variant WBPhenotype:0001206,5.312028546908171,77,14.495404028808789,9.163078261997064e-70,1.145384782749633e-67
organ system physiology variant WBPhenotype:0000575,10.11198940030414,84,8.30697073292754,6.201897388512849e-57,5.168247823760707e-55
embryonic development variant WBPhenotype:0000749,9.327717301293344,72,7.7189303314345485,9.513587501686116e-46,5.945992188553822e-44
reversal variant WBPhenotype:0002320,0.8462592408570095,32,37.813471871330464,1.9398929692898088e-42,9.699464846449044e-41
fertility reduced WBPhenotype:0001384,8.734796814068687,67,7.670470352794761,3.962127856084175e-42,1.6508866067017394e-40
body morphology variant WBPhenotype:0000072,3.643765903307888,48,13.1731843575419,1.2795957590335839e-40,4.569984853691371e-39
sinusoidal movement variant WBPhenotype:0004018,0.9432825933119533,29,30.74370311252993,6.940080637552326e-36,2.1687751992351016e-34
foraging behavior variant WBPhenotype:0000662,1.2747790475330112,30,23.53349002562982,2.020874746695272e-33,5.613540963042422e-32
velocity of movement variant WBPhenotype:0004025,0.7896622852582922,24,30.39273933685435,5.833367748003769e-30,1.4583419370009424e-28
acetylcholinesterase inhibitor response variant WBPhenotype:0001290,0.7977475646295376,23,28.831175449192212,2.959990807557427e-28,6.727251835357788e-27
turning variant WBPhenotype:0002311,0.7465407952783172,22,29.46925357481395,2.3508545616846717e-27,4.897613670176399e-26
developmental growth variant WBPhenotype:0001015,5.026348675790836,38,7.560159959261313,1.8839424067078868e-23,3.622966166745936e-22
coiling frequency increased WBPhenotype:0002300,0.3126308023548188,15,47.97991716432286,5.364387792883212e-23,9.57926391586288e-22
forward locomotion decreased WBPhenotype:0002347,0.2883749642410829,14,48.54790372265441,9.597015089748545e-22,1.599502514958091e-20
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,2.4040230663836066,27,11.23117343487737,1.5901275342212488e-21,2.4845742722207013e-20
developmental timing variant WBPhenotype:0000033,5.697426863604197,37,6.494159712055306,1.328960547177403e-20,1.954353745849122e-19
body posture amplitude increased WBPhenotype:0002293,0.21021726365237814,12,57.08379888268157,4.807836355518415e-20,6.677550493775576e-19
sluggish WBPhenotype:0000646,0.5929204872246564,16,26.98506856272219,5.904601279182567e-20,7.769212209450746e-19
neuronal outgrowth variant WBPhenotype:0000572,0.609091045967147,16,26.26865081326939,9.361138963911212e-20,1.1701423704889016e-18
protruding vulva WBPhenotype:0000697,2.13990394025626,24,11.215456707428618,2.4713325115509296e-19,2.942062513751107e-18
body posture wavelength decreased WBPhenotype:0002295,0.412349247933511,14,33.95180194983021,2.5370444569415365e-19,2.942062513751107e-18
backing decreased WBPhenotype:0002344,0.34227682671605164,13,37.980952799894425,7.552786848798062e-19,8.209550922606589e-18
path curvature increased WBPhenotype:0002336,0.25872893987985,12,46.38058659217877,8.440444016347394e-19,8.7921291836952e-18
brood size variant WBPhenotype:0000673,3.1990755378893954,27,8.439938250977772,2.73767212020025e-18,2.7376721202002503e-17
short WBPhenotype:0000324,0.49859222789346097,14,28.079057828778502,4.613491918621405e-18,4.436049921751351e-17
synapse morphology variant WBPhenotype:0000616,0.14553502868241566,9,61.84078212290502,3.385070248406359e-16,3.1343243040799622e-15
transgene expression increased WBPhenotype:0001236,2.641191261273469,23,8.708191768327442,3.7293379711012713e-16,3.329766045626135e-15
protein degradation variant WBPhenotype:0001645,0.4446903654184923,12,26.985068562722194,1.183153590819459e-15,1.0199599920857408e-14
endocytic transport variant WBPhenotype:0001421,2.2665733170724365,21,9.265087452420966,1.801028303557399e-15,1.5008569196311658e-14
egg laying defective WBPhenotype:0000006,0.7519309815258142,14,18.618730101519795,2.150941667791283e-15,1.7346303772510346e-14
body posture amplitude decreased WBPhenotype:0002292,0.3530571992110454,11,31.156424581005584,2.4263015858866963e-15,1.8955481139739816e-14
pattern protein expression variant WBPhenotype:0001408,0.8031377508770345,14,17.431629860147726,5.668143929620302e-15,4.278249307207765e-14
thin WBPhenotype:0000164,0.9810138970444314,15,15.290303272146847,5.6472890855142494e-15,4.278249307207765e-14
small WBPhenotype:0000229,1.1777556950780674,16,13.585160374825819,5.739570814707687e-15,4.278249307207765e-14
dumpy WBPhenotype:0000583,1.0430010388906454,15,14.38157723788489,1.456101305957677e-14,1.011181462470609e-13
forward point velocity increased WBPhenotype:0002322,0.32880136109730945,10,30.413499404707387,4.322893666632222e-14,2.920874099075826e-13
progeny variant WBPhenotype:0000069,2.1183431952662723,19,8.969273743016759,6.142208592650392e-14,4.040926705691047e-13
cholinergic agonist resistant WBPhenotype:0001578,0.18326633241489376,8,43.65231679263885,2.6316271143007294e-13,1.686940457885083e-12
