Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
behavior variant WBPhenotype:0000517,14.865230287426412,182,12.243335386061435,9.979944521738389e-155,2.4949861304345973e-152
sinusoidal movement variant WBPhenotype:0004018,1.7600915428278905,79,44.88402908468777,4.2291160682282154e-109,5.286395085285269e-107
foraging behavior variant WBPhenotype:0000662,2.378637999307406,84,35.314326948639724,2.2318843318236315e-106,1.859903609853026e-104
movement variant WBPhenotype:0001206,9.911829802610777,126,12.712082683947175,5.26665262420243e-104,3.291657890126519e-102
velocity of movement variant WBPhenotype:0004025,1.4734480629959197,71,48.186292943123995,1.7532955171985693e-100,8.766477585992847e-99
turning variant WBPhenotype:0002311,1.3929867353237875,69,49.533852871873584,1.3362961589269997e-98,5.567900662195832e-97
reversal variant WBPhenotype:0002320,1.5790535555655933,71,44.96364277813799,4.726529511196539e-98,1.688046253998764e-96
body morphology variant WBPhenotype:0000072,6.798982188295166,88,12.943113772455089,9.345280250786798e-72,2.920400078370874e-70
body posture wavelength decreased WBPhenotype:0002295,0.7694114458647636,39,50.688094399436416,6.864294911710554e-57,1.9067485865862653e-55
backward point velocity increased WBPhenotype:0002325,0.6638059532950901,36,54.232716385411,5.95297376472065e-54,1.4882434411801625e-52
forward point velocity increased WBPhenotype:0002322,0.6135176235000076,34,55.41813095121232,1.754096099408981e-51,3.9865820441113205e-50
body posture amplitude decreased WBPhenotype:0002292,0.6587771203155819,34,51.61077844311377,3.074377195950083e-50,6.4049524915626726e-49
backing decreased WBPhenotype:0002344,0.6386617883975488,33,51.670540808147486,7.34765662236044e-49,1.4130108889154693e-47
chemosensory behavior variant WBPhenotype:0001049,1.0007377629221434,37,36.97272289591671,2.5251500844801404e-48,4.509196579428822e-47
coiling frequency increased WBPhenotype:0002300,0.583344625622958,31,53.14182841214124,1.6317411471166603e-46,2.7195685785277675e-45
short WBPhenotype:0000324,0.9303341012090277,35,37.620893348438265,3.867317063495306e-46,6.042682911711416e-45
