Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
organ system physiology variant WBPhenotype:0000575,12.315160275230738,92,7.470467127012383,5.654322388118307e-57,1.4135805970295768e-54
fertility reduced WBPhenotype:0001384,10.63790896908924,78,7.3322680450308395,6.559091264412827e-47,8.198864080516034e-45
embryonic development variant WBPhenotype:0000749,11.360013249619826,77,6.778161108445616,8.131836604030398e-44,6.776530503358664e-42
behavior variant WBPhenotype:0000517,9.702455696583705,68,7.008534965425632,2.7110616002994654e-39,1.6944135001871658e-37
movement variant WBPhenotype:0001206,6.469397895117214,51,7.883268400988647,1.0430948774201357e-31,5.215474387100678e-30
developmental timing variant WBPhenotype:0000033,6.938765677462095,51,7.350010415491307,2.9058248421090354e-30,1.2107603508787647e-28
body morphology variant WBPhenotype:0000072,4.437659033078881,41,9.239105504587155,2.7215724674699792e-28,9.71990166953564e-27
transgene expression increased WBPhenotype:0001236,3.216646340545342,34,10.570014978468452,1.320104551210406e-25,4.1253267225325186e-24
endocytic transport variant WBPhenotype:0001421,2.7604077269373803,31,11.23022504881694,2.721433557159082e-24,7.559537658775228e-23
brood size variant WBPhenotype:0000673,3.89608082268094,35,8.983386534552453,6.151380268967404e-24,1.537845067241851e-22
lipid metabolism variant WBPhenotype:0000725,2.514235813120135,29,11.534319831365128,3.564446599074582e-23,8.101014997896777e-22
developmental growth variant WBPhenotype:0001015,6.12147492358884,35,5.71757630912266,1.3707661793042354e-17,2.85576287355049e-16
transgene subcellular localization variant WBPhenotype:0000679,3.945315205444389,28,7.0970248362820385,8.60644715719268e-17,1.6550859917678229e-15
fat content reduced WBPhenotype:0001183,1.5197012812984627,19,12.502457051142331,1.3522721258528456e-16,2.4147716533086527e-15
acetylcholinesterase inhibitor response variant WBPhenotype:0001290,0.9715584865320626,15,15.439111703446565,5.089195630005754e-15,8.481992716676258e-14
cell death variant WBPhenotype:0000729,2.563470195883584,21,8.192020345593159,2.5352803630686267e-14,3.961375567294729e-13
pigmentation variant WBPhenotype:0000521,1.5393950344038423,17,11.043299231235697,3.545773887263472e-14,5.214373363622753e-13
muscle system morphology variant WBPhenotype:0000603,0.836984506978635,13,15.531948192120884,2.1612919074823327e-13,3.0017943159476843e-12
progeny variant WBPhenotype:0000069,2.5798816568047336,20,7.752293577981652,2.768394897476518e-13,3.642624865100681e-12
oocyte physiology variant WBPhenotype:0001424,2.455154553803996,19,7.738820340479812,1.031387177567148e-12,1.2892339719589351e-11
oxygen response variant WBPhenotype:0000464,0.23632503726455575,8,33.85168195718654,2.6643167167447107e-12,3.1718056151722745e-11
accumulated germline cell corpses WBPhenotype:0001180,0.8238553382417152,12,14.565663949705765,3.310537094519811e-12,3.76197397104524e-11
hermaphrodite fertility reduced WBPhenotype:0001259,3.393890118493759,21,6.187589835501216,6.369075585821903e-12,6.922908245458591e-11
transgene expression reduced WBPhenotype:0001278,2.504388936567445,18,7.187382014500944,1.3149909593350977e-11,1.323319638136062e-10
protein expression reduced WBPhenotype:0000120,0.5514250869506301,10,18.134829619921366,1.2703868526106194e-11,1.323319638136062e-10
thin WBPhenotype:0000164,1.1947543550596986,13,10.880897771952817,2.573182967328613e-11,2.316688460169667e-10
small WBPhenotype:0000229,1.4343616845084843,14,9.760439191316944,2.445028210682212e-11,2.316688460169667e-10
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,2.9278046283331074,19,6.489504052330605,2.4093559985764536e-11,2.316688460169667e-10
dauer development variant WBPhenotype:0000308,0.7417980336359667,10,13.480758301534463,3.0662813386739305e-10,2.6433459816154575e-09
foraging behavior variant WBPhenotype:0000662,1.5525242031407622,13,8.373460441841068,7.811681846669898e-10,6.509734872224915e-09
extended life span WBPhenotype:0000061,1.5590887875092219,13,8.338203766296475,8.246382595980122e-10,6.6503085451452595e-09
dauer metabolism variant WBPhenotype:0001547,2.1860065946971408,15,6.861827423754029,9.559987978420492e-10,7.46874060814101e-09
pore forming toxin response variant WBPhenotype:0002058,0.4759323667133415,8,16.80911104080987,1.5429660140604225e-09,1.1689136470154716e-08
eating variant WBPhenotype:0002056,0.47921465889757137,8,16.69398014327008,1.6396813131612778e-09,1.2056480243832924e-08
mRNA levels increased WBPhenotype:0000136,0.47921465889757137,8,16.69398014327008,1.6396813131612778e-09,1.2056480243832924e-08
pericellular component development variant WBPhenotype:0000200,0.33151151060722406,7,21.115405577254972,1.8414218084119512e-09,1.2787651447305217e-08
body wall muscle thick filament variant WBPhenotype:0000782,0.4956261198187211,8,16.14119934382405,2.207587361615009e-09,1.4916130821723035e-08
molt variant WBPhenotype:0002041,0.9256063959528434,10,10.803728284208471,3.135314622048075e-09,2.062706988189523e-08
clear WBPhenotype:0001010,0.7582094945571164,9,11.870070296675802,6.141822807492344e-09,3.9370659022386825e-08
reversal variant WBPhenotype:0002320,1.0306397458482015,10,9.702711389002513,9.526323312561647e-09,5.953952070351029e-08
dauer constitutive WBPhenotype:0000012,0.42669798394989233,7,16.405045871559633,1.3641591542773228e-08,8.318043623642212e-08
chemosensory behavior variant WBPhenotype:0001049,0.6531761446617582,8,12.247844728228298,2.4528004281341915e-08,1.4600002548417806e-07
sinusoidal movement variant WBPhenotype:0004018,1.1488022644804794,10,8.704718217562254,2.889429738435806e-08,1.6799010107184918e-07
egg laying defective WBPhenotype:0000006,0.9157595194001535,9,9.827907664989642,3.663302215619269e-08,2.0814217134200392e-07
sick WBPhenotype:0000032,2.172877425960221,13,5.982850134427229,5.312227226112222e-08,2.951237347840123e-07
velocity of movement variant WBPhenotype:0004025,0.9617116099793727,9,9.358314807276827,5.789588436529098e-08,3.1465154546353795e-07
sluggish WBPhenotype:0000646,0.7221042805305871,8,11.078732276897414,5.803815051106421e-08,3.1465154546353795e-07
