Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental timing variant WBPhenotype:0000033,2.164385624162488,26,12.012646780566532,6.186123078010665e-23,1.5465307695026663e-20
embryonic development variant WBPhenotype:0000749,3.5434903714410466,25,7.055190611350001,2.0482290025461606e-16,2.5602862531827008e-14
behavior variant WBPhenotype:0000517,3.0264540704939997,22,7.269233065350633,8.673452627184496e-15,7.227877189320413e-13
fertility reduced WBPhenotype:0001384,3.3182468343948086,20,6.027279162204839,5.4655693192120635e-12,3.41598082450754e-10
organ system physiology variant WBPhenotype:0000575,3.8414261408976618,21,5.4667197102721685,1.0485941936360085e-11,5.242970968180043e-10
shortened life span WBPhenotype:0001171,0.43820106298086337,9,20.538517042330948,2.3176640989864602e-11,9.656933745776917e-10
developmental growth variant WBPhenotype:0001015,1.9094508935965189,15,7.855661567576092,5.1986028496420574e-11,1.8566438748721635e-09
movement variant WBPhenotype:0001206,2.0179773250824335,14,6.937639896141105,1.168958429771218e-09,3.652995093035056e-08
body morphology variant WBPhenotype:0000072,1.3842239185750638,11,7.946691176470587,1.229770349492184e-08,3.4160287485894004e-07
transgene expression increased WBPhenotype:0001236,1.0033575741150609,9,8.969882953181273,6.273981376301677e-08,1.5684953440754193e-06
cadmium response variant WBPhenotype:0001653,0.10340726018940934,4,38.6820034944671,7.107339531986178e-08,1.6153044390877676e-06
lipid metabolism variant WBPhenotype:0000725,0.7842570426246293,8,10.20073721394563,9.25670182749221e-08,1.9284795473942103e-06
endocytic transport variant WBPhenotype:0001421,0.8610446120722104,8,9.291040078338114,2.0287745433627555e-07,3.901489506466838e-06
extended life span WBPhenotype:0000061,0.4863212731680142,6,12.337523219814242,6.093138713081571e-07,1.088060484478852e-05
transgene expression reduced WBPhenotype:0001278,0.781185539846726,7,8.960739341608203,1.1780822618125108e-06,1.9634704363541846e-05
progeny variant WBPhenotype:0000069,0.8047337278106509,7,8.698529411764707,1.4682040704127167e-06,2.29406886001987e-05
dumpy WBPhenotype:0000583,0.39622385834951895,5,12.619129046967624,3.038379740033627e-06,4.468205500049451e-05
spindle orientation variant WBPhenotype:0001681,0.09931192315220501,3,30.207853244390538,3.239852778723805e-06,4.4997955260052846e-05
dauer development variant WBPhenotype:0000308,0.23138654260204466,4,17.287090057261842,3.820201354634924e-06,5.0265807297827946e-05
dauer metabolism variant WBPhenotype:0001547,0.681873616694521,6,8.799284578696344,5.638485118320923e-06,7.048106397901153e-05
avoids bacterial lawn WBPhenotype:0000402,0.4566300796482828,5,10.949782379319442,6.825825370211115e-06,8.125982583584661e-05
fat content reduced WBPhenotype:0001183,0.4740352620564012,5,10.54773853385847,8.438662504871466e-06,9.589389210081211e-05
pathogen susceptibility increased WBPhenotype:0001013,0.16278964722887213,3,18.428690344062154,2.285569262521698e-05,0.00023808013151267686
paralyzed WBPhenotype:0000644,0.16790881852537753,3,17.866840028694405,2.5799949964383193e-05,0.000248076441965223
protein interaction variant WBPhenotype:0001369,0.5887046990981225,5,8.493222506393861,2.8490761039807084e-05,0.0002543817949982775
transgene subcellular localization variant WBPhenotype:0000679,1.230648779679901,7,5.688056670255458,3.18052822653024e-05,0.000274183467804331
no oocytes WBPhenotype:0000291,0.20988602315672192,3,14.293472022955523,6.148871585782872e-05,0.0005124059654819061
small WBPhenotype:0000229,0.4474155713145731,4,8.940234217256696,8.9351958687284e-05,0.0007205803119942258
spindle defective early emb WBPhenotype:0000759,0.2406010509357544,3,12.468773466833541,0.00010415676949494968,0.0007749514289098943
fat content increased WBPhenotype:0001184,0.2692684101961847,3,11.141299485573699,0.00016036123156454898,0.0011136196636427013
protruding vulva WBPhenotype:0000697,0.8129244018850595,5,6.150633427174396,0.00016705735055009462,0.001128765882095234
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,0.9132601592965656,5,5.474891189659721,0.0003112487529143085,0.0018978582494774908
hermaphrodite fertility reduced WBPhenotype:0001259,1.0586446241173193,5,4.723020252588463,0.0006759673112274556,0.003642080408251216
early larval lethal WBPhenotype:0000057,0.4105575379797341,3,7.307136570338859,0.000785926320382433,0.003936459745218702
exploded through vulva WBPhenotype:0000038,0.4146528750169384,3,7.234967320261438,0.0008153807622009641,0.003936459745218702
embryonic cell physiology variant WBPhenotype:0000763,0.40646220094252977,3,7.380760112609275,0.0007572323526475633,0.003936459745218702
oocyte physiology variant WBPhenotype:0001424,0.7658280259572097,4,5.22310474992136,0.001038119146687063,0.004896788427769166
cell death variant WBPhenotype:0000729,0.7996145565141455,4,5.002410183023273,0.0012560488929533123,0.005674429998413681
brood size variant WBPhenotype:0000673,1.215291265790385,4,3.2913920412309827,0.00744972358481762,0.015650679800037016
