Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
behavior variant WBPhenotype:0000517,8.767815468931147,104,11.861563506728121,2.7565183175865727e-87,6.891295793966432e-85
movement variant WBPhenotype:0001206,5.846199015312345,70,11.973591698923734,1.3491060313311408e-56,1.686382539163926e-54
copulation variant WBPhenotype:0000647,0.507204480780523,29,57.17615103749221,2.5123467910328173e-44,2.093622325860681e-42
sexually dimorphic behavior variant WBPhenotype:0000821,0.510170588855263,29,56.843731554716086,3.035703507590995e-44,2.093622325860681e-42
chemosensory behavior variant WBPhenotype:0001049,0.5902555068732402,30,50.825447032114894,4.5662354509406e-44,2.2831177254703e-42
body morphology variant WBPhenotype:0000072,4.010178117048346,50,12.468274111675127,7.001555690069788e-41,2.9173148708624118e-39
foraging behavior variant WBPhenotype:0000662,1.402969119351973,34,24.234318154988678,5.33751833127609e-38,1.906256546884318e-36
turning variant WBPhenotype:0002311,0.8216119367029525,29,35.29646869101505,1.09383955691202e-37,3.4182486153500624e-36
amphid phasmid sensillum morphology variant WBPhenotype:0001527,0.2847463751750305,22,77.26173857868021,1.3660749174558553e-37,3.794652548488487e-36
sinusoidal movement variant WBPhenotype:0004018,1.0381378261589653,30,28.897897026831036,3.786269229805718e-36,9.465673074514295e-35
organ system physiology variant WBPhenotype:0000575,11.128837496424108,67,6.020395213923133,4.3710477619743244e-35,9.934199459032556e-34
male mating efficiency reduced WBPhenotype:0000843,0.20466145715705317,18,87.9501213860075,1.5597709968237757e-32,3.2495229100495326e-31
reversal variant WBPhenotype:0002320,0.9313579354683289,26,27.91622748876459,3.251268732417376e-31,6.252439870033415e-30
fertility reduced WBPhenotype:0001384,9.61315627023202,57,5.9293741199761305,2.7904805315996175e-29,4.983000949285031e-28
velocity of movement variant WBPhenotype:0004025,0.8690696658987909,24,27.61573777308086,7.05889777259704e-29,1.1764829620995067e-27
embryonic development variant WBPhenotype:0000749,10.265700046674796,52,5.065411980047433,1.6756020990746114e-23,2.61812827980408e-22
short WBPhenotype:0000324,0.5487299938268816,16,29.15823844148718,1.5632294603931675e-20,2.298866853519364e-19
body posture wavelength decreased WBPhenotype:0002295,0.4538145354352049,15,33.053150194087785,2.5870851514903e-20,3.5931738215143055e-19
dauer defective WBPhenotype:0000013,0.15720372796121476,11,69.97289531654056,7.917150960009023e-20,1.0417303894748714e-18
forward locomotion decreased WBPhenotype:0002347,0.31737356399716943,13,40.96119360500972,2.4368991639786756e-19,3.0461239549733446e-18
