Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
behavior variant WBPhenotype:0000517,13.708056672237529,125,9.118725067219655,2.0575670935550444e-86,5.143917733887611e-84
movement variant WBPhenotype:0001206,9.140250237138082,108,11.815869062444406,2.325591354165709e-85,2.9069891927071362e-83
embryonic development variant WBPhenotype:0000749,16.049926976527093,119,7.414363951564183,1.1987889699605296e-71,9.989908083004413e-70
body morphology variant WBPhenotype:0000072,6.269720101781171,82,13.078733766233766,2.0840193226459858e-67,1.302512076653741e-65
organ system physiology variant WBPhenotype:0000575,17.399400755830584,111,6.379530051504998,1.324064594018329e-59,6.620322970091644e-58
developmental growth variant WBPhenotype:0001015,8.648689341584232,74,8.556209742000627,1.7086886852872812e-47,7.119536188697005e-46
dumpy WBPhenotype:0000583,1.7946610054654684,41,22.84554011879593,4.581242475563276e-44,1.6361580269868844e-42
developmental timing variant WBPhenotype:0000033,9.80339370944186,73,7.446400926415118,1.0243872518655346e-42,3.2012101620797957e-41
molt variant WBPhenotype:0002041,1.3077374768508063,35,26.76378143133462,1.8307635133587785e-40,5.085454203774385e-39
fertility reduced WBPhenotype:0001384,15.029706249905898,84,5.58893158677176,7.810933858241158e-40,1.9527334645602896e-38
pericellular component morphology variant WBPhenotype:0000912,0.8347260490537062,27,32.34594155844156,3.467550622559444e-34,7.880796869453282e-33
brood size variant WBPhenotype:0000673,5.504554556815273,49,8.90171938423834,2.3907368016112473e-32,4.9807016700234315e-31
paralyzed WBPhenotype:0000644,0.76052817802671,25,32.871891827684514,4.777187539085132e-32,9.186899113625253e-31
alae morphology variant WBPhenotype:0001412,0.41272565758766583,21,50.881256384065374,6.467263401509083e-32,1.1548684645551933e-30
intestinal vacuole WBPhenotype:0001428,0.31534095186473343,17,53.9099025974026,6.150990468600178e-27,1.0251650781000297e-25
small WBPhenotype:0000229,2.026529352424831,29,14.310180094505036,9.687042991637368e-26,1.5136004674433388e-24
sick WBPhenotype:0000032,3.0699369137419636,33,10.749406560207165,6.316510934392545e-25,9.28898666822433e-24
transgene expression increased WBPhenotype:0001236,4.544619600403511,37,8.141495494301617,1.9385811699538005e-23,2.6924738471580562e-22
pigmentation variant WBPhenotype:0000521,2.174925094478823,27,12.414220640766484,1.8921057403649387e-22,2.489612816269656e-21
transgene expression reduced WBPhenotype:0001278,3.5383109745998764,32,9.043863083181563,6.5400125121948e-22,8.1750156402435e-21
lipid metabolism variant WBPhenotype:0000725,3.5522230754174386,31,8.726929402190498,7.881160485082666e-21,9.382333910812698e-20
transgene subcellular localization variant WBPhenotype:0000679,5.574115060903082,37,6.637824945437258,2.1306222158985973e-20,2.4211616089756787e-19
pericellular component development variant WBPhenotype:0000200,0.4683740608579129,15,32.025684711328275,3.4658750696702626e-20,3.7672555105111553e-19
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,4.136531309755032,32,7.735950148506204,7.435216451856665e-20,7.745017137350693e-19
dauer metabolism variant WBPhenotype:0001547,3.0884863814987127,27,8.742146367146367,1.9844555980229504e-18,1.9844555980229503e-17
protruding vulva WBPhenotype:0000697,3.6820693497146815,28,7.604419509961072,1.9930506258708253e-17,1.9163948325681012e-16
developmental pigmentation variant WBPhenotype:0001009,0.4869235286146619,12,24.644526901669757,3.3913313513353873e-15,3.14012162160684e-14
embryonic cell physiology variant WBPhenotype:0000763,1.8410346748573407,19,10.320283620661455,5.661544395679674e-15,5.0549503532854234e-14
L1 larval development variant WBPhenotype:0000751,0.5611213996416581,12,21.385746484920038,2.231152163279606e-14,1.9234070373100054e-13
hermaphrodite fertility reduced WBPhenotype:0001259,4.795037415119623,27,5.6308215478911805,1.2013857423151333e-13,1.0011547852626111e-12
nuclear division variant WBPhenotype:0000504,0.9367481217158258,13,13.877796708242252,9.87603456736357e-13,7.964544005938364e-12
exploded through vulva WBPhenotype:0000038,1.8781336103708388,17,9.051539201539201,1.0918400203888182e-12,8.530000159287642e-12
organism segment development variant WBPhenotype:0000579,0.23186834695936281,8,34.50233766233766,1.8709654774286466e-12,1.4173980889610959e-11
germline nuclear positioning variant WBPhenotype:0001952,1.2752759082764955,14,10.97801652892562,4.7984034235950796e-12,3.52823781146697e-11
protein interaction variant WBPhenotype:0001369,2.6664859900326725,19,7.125482778091474,5.200652209833189e-12,3.714751578452278e-11
embryonic cell morphology variant WBPhenotype:0000770,0.7095171416956503,11,15.503501400560223,9.837948744368658e-12,6.831908850256013e-11
fat content reduced WBPhenotype:0001183,2.1471008928436994,17,7.917653081259994,1.0023946730182182e-11,6.831908850256013e-11
alae variant WBPhenotype:0000202,0.2782420163512354,8,28.751948051948048,1.0600780330150811e-11,6.974197585625533e-11
cell cycle defective early emb WBPhenotype:0001114,0.4451872261619766,9,20.216213474025974,3.1525172330246933e-11,2.0208443801440344e-10
clear WBPhenotype:0001010,1.071231762952256,12,11.202057682577164,8.766500286530719e-11,5.4790626790817e-10
pronuclear nuclear appearance variant emb WBPhenotype:0001374,1.1361549001008777,12,10.561940100715612,1.8139688781364094e-10,1.106078584229518e-09
organism osmotic stress response variant WBPhenotype:0000876,0.4034509237092913,8,19.828929690998656,3.296793377541428e-10,1.9623770104413262e-09
germ cell compartment expansion variant WBPhenotype:0001980,2.026529352424831,15,7.401817290261226,3.4457643650833376e-10,2.003351375048452e-09
fat content increased WBPhenotype:0001184,1.2196275050062484,12,9.839069675571578,4.3294634659118633e-10,2.4599224238135586e-09
late embryonic arrest WBPhenotype:0000779,0.6028577020943433,9,14.928896103896104,6.481254155545665e-10,3.6006967530809247e-09
late larval lethal WBPhenotype:0000058,0.6121324359727178,9,14.702700708382526,7.530393796412563e-10,4.092605324137262e-09
epithelial development variant WBPhenotype:0000701,0.30142885104717165,7,23.222727272727273,7.836399675651502e-10,4.168297699814628e-09
cytoplasmic appearance variant WBPhenotype:0001427,0.6306819037294669,9,14.27026833460657,1.009153339910648e-09,5.256006978701291e-09
shortened life span WBPhenotype:0001171,1.9847930499721458,14,7.053632115548003,2.232017638645518e-09,1.1387845095130194e-08
protein degradation variant WBPhenotype:0001645,0.7651655449658974,9,11.762160566706019,6.5836100554343245e-09,3.291805027717162e-08
cell death variant WBPhenotype:0000729,3.6217835795052475,18,4.969927000016628,6.621476430124553e-09,3.291805027717162e-08
ectopic cleavage furrows early emb WBPhenotype:0001132,0.26432991553367363,6,22.698906356801093,9.338387402091078e-09,4.489609327928403e-08
germ cell compartment multinucleate WBPhenotype:0001972,0.7976271135402081,9,11.283467985502869,9.806971070439494e-09,4.6259297502073085e-08
dauer constitutive WBPhenotype:0000012,0.6028577020943433,8,13.270129870129871,1.1890082171914739e-08,5.5046676721827494e-08
spindle defective early emb WBPhenotype:0000759,1.0897812307090051,10,9.176153633600443,1.6957633503459765e-08,7.708015228845348e-08
pattern protein expression variant WBPhenotype:0001408,1.3819353478778025,11,7.959851390220517,2.0091441407461754e-08,8.969393485473998e-08
long WBPhenotype:0000022,0.8903744523239532,9,10.108106737012987,2.7935570905382067e-08,1.2252443379553538e-07
sexually dimorphic morphology variant WBPhenotype:0001023,0.8950118192631404,9,10.05573312697665,2.9342402983947728e-08,1.2647587493080918e-07
eggshell formation variant WBPhenotype:0002075,0.6956050408780884,8,11.500779220779222,4.131440434780464e-08,1.7506103537205356e-07
cell membrane organization biogenesis variant WBPhenotype:0001982,1.502506888296671,11,7.321097883597884,5.0175645837815735e-08,2.090651909908989e-07
early larval lethal WBPhenotype:0000057,1.8595841426140898,12,6.453055672507044,6.552279525884471e-08,2.685360461428062e-07
endosome morphology variant WBPhenotype:0002090,1.5581552915669181,11,7.059630102040816,7.444924462016375e-08,3.0019856701678935e-07
ectopic expression transgene WBPhenotype:0001276,0.5703961335200326,7,12.272172949002215,1.2671187089658745e-07,5.028248845102677e-07
dauer development variant WBPhenotype:0000308,1.04804492825632,9,8.58741811286059,1.2880603452319376e-07,5.031485723562256e-07
progeny variant WBPhenotype:0000069,3.6449704142011834,16,4.3896103896103895,2.2008307582522392e-07,8.464733685585536e-07
P granule defective WBPhenotype:0001301,0.25969254859448637,5,19.253536641929497,2.530753293318831e-07,9.586186717116784e-07
embryo osmotic integrity defective early emb WBPhenotype:0000365,0.6260445367902796,7,11.18131313131313,2.5972940203582305e-07,9.691395598351607e-07
meiotic chromosome segregation variant WBPhenotype:0001499,0.8625502506888296,8,9.274821952241307,2.597777253257875e-07,9.691395598351607e-07
accumulated germline cell corpses WBPhenotype:0001180,1.1639791017360013,9,7.73209758369121,3.390685661547821e-07,1.2285092976622541e-06
spindle orientation variant WBPhenotype:0001681,0.44982459310116385,6,13.3385326014192,3.8728067638922236e-07,1.3721286607332063e-06
stress induced lethality variant WBPhenotype:0000139,0.2782420163512354,5,17.969967532467532,3.8419602500529776e-07,1.3721286607332063e-06
endocytic transport variant WBPhenotype:0001421,3.9000255958564827,16,4.1025371774479975,5.596889451039523e-07,1.9433643927220565e-06
oocyte physiology variant WBPhenotype:0001424,3.4687504705120675,15,4.324323737759567,5.796409781650551e-07,1.9850718430310106e-06
pathogen resistance increased WBPhenotype:0001014,0.4915608955538492,6,12.206015682430776,7.090071005714725e-07,2.3952942586874074e-06
rachis wide WBPhenotype:0001943,0.32461568574310795,5,15.402829313543599,9.678163968928202e-07,3.226054656309401e-06
avoids bacterial lawn WBPhenotype:0000402,2.068265654877516,11,5.3184657270980145,1.4904511173890263e-06,4.902799728253376e-06
aneuploidy WBPhenotype:0001882,0.7929897466010208,7,8.827352472089315,1.5591523588545347e-06,5.055336812198514e-06
cytokinesis variant WBPhenotype:0002408,1.377297980938615,9,6.5345336481700125,1.5570437381571423e-06,5.055336812198514e-06
polar body defective early emb WBPhenotype:0001147,0.39881355677010405,5,12.537186650558743,3.2612058982348172e-06,1.0320271829857017e-05
oocyte number decreased WBPhenotype:0001944,1.52105635605342,9,5.916940528983212,3.7599734963330546e-06,1.1749917176040796e-05
slow development WBPhenotype:0000674,0.6353192706686541,6,9.444070528012134,3.958951104790037e-06,1.2218984891327275e-05
adult lethal WBPhenotype:0000060,0.41272565758766583,5,12.114584853348898,3.984136334032585e-06,1.2218984891327275e-05
sexually dimorphic development variant WBPhenotype:0000930,0.42200039146604035,5,11.848330241187384,4.534692516809759e-06,1.3658712400029395e-05
large cytoplasmic granules early emb WBPhenotype:0001082,0.2457804477769246,4,16.27468757657437,4.964335218888802e-06,1.4774807199073817e-05
germ cell partition morphology variant WBPhenotype:0001977,0.4312751253444148,5,11.593527440301635,5.1455213198537356e-06,1.513388623486393e-05
pore forming toxin response variant WBPhenotype:0002058,0.6724182061821522,6,8.923018360949396,5.756967007936242e-06,1.6735369209116982e-05
no oocytes WBPhenotype:0000291,0.9506602225333874,7,7.363303769401331,5.971561296493427e-06,1.715965889796962e-05
male nervous system morphology variant WBPhenotype:0001358,0.4544619600403511,5,11.002020938245428,6.969134487493692e-06,1.9798677521288895e-05
mitotic chromosome segregation variant WBPhenotype:0001378,0.2689672824728609,4,14.87169726824899,7.777893547346647e-06,2.1848015582434406e-05
sluggish WBPhenotype:0000646,1.0202207266211964,7,6.861260330578512,9.990499839549986e-06,2.7751388443194405e-05
male tail morphology variant WBPhenotype:0000070,0.4915608955538492,5,10.17167973535898,1.0949307239243503e-05,3.008051439352611e-05
VPC competence variant WBPhenotype:0002017,1.377297980938615,8,5.8084743539289,1.2069036266748745e-05,3.279629420312159e-05
mitochondria morphology variant WBPhenotype:0001401,0.5147477302497855,5,9.713495963495962,1.425399326238192e-05,3.831718618919871e-05
protein expression reduced WBPhenotype:0000120,0.7790776457834591,6,7.701414656771799,1.5040589692046151e-05,4.0001568329909974e-05
lysosome-related organelle morphology variant WBPhenotype:0002095,1.4283090172696749,8,5.601028841288582,1.6088666594869387e-05,4.233859630228786e-05
Bacillus thuringiensis toxin hypersensitive WBPhenotype:0002057,0.5750335004592197,5,8.695145580226226,2.6730582340518895e-05,6.961089151176795e-05
gonad development variant WBPhenotype:0000691,2.33259557041119,10,4.287069789057861,2.7876384039177933e-05,7.184635061643797e-05
mRNA levels reduced WBPhenotype:0000137,0.579670867398407,5,8.625584415584417,2.796983177289654e-05,7.184635061643797e-05
sister cell division timing asynchrony reduced WBPhenotype:0002369,0.36635198819579323,4,10.918461285549894,3.533278078137462e-05,8.922419389236015e-05
gonad small WBPhenotype:0001957,0.36635198819579323,4,10.918461285549894,3.533278078137462e-05,8.922419389236015e-05
male nervous system development variant WBPhenotype:0001008,0.37562672207416775,4,10.648869648869649,3.9865191725141045e-05,9.867621714143823e-05
cytoplasmic processing body variant WBPhenotype:0001794,1.2660011743981208,7,5.52922077922078,4.664049109709842e-05,0.00011431492915955496
pronuclear migration defective early emb WBPhenotype:0001152,0.4034509237092913,4,9.914464845499328,5.620205685143903e-05,0.00013641275934815297
thin WBPhenotype:0000164,1.6880015658641614,8,4.7393320964749535,5.8845309065073294e-05,0.00014145506986796465
RNA processing variant WBPhenotype:0000028,0.6770555731213393,5,7.384918164027754,6.664531280242957e-05,0.00015867931619626088
sister chromatid segregation defective early emb WBPhenotype:0000772,0.42200039146604035,4,9.478664192949907,6.967419862599546e-05,0.0001643259401556497
