Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
molt variant WBPhenotype:0002041,15.798997244681333,36,2.2786256268333265,1.5147755182994425e-06,0.00037869387957486063
intestinal vacuole WBPhenotype:0001428,3.809687278859328,13,3.4123535735175556,2.0510161024962822e-05,0.002563770128120353
pigmentation variant WBPhenotype:0000521,26.275637261544485,46,1.7506711461313618,9.709045436748311e-05,0.008090871197290258
pericellular component morphology variant WBPhenotype:0000912,10.08446632639234,22,2.181573053838574,0.00019909470020943162,0.012443418763089477
diplotene absent during oogenesis WBPhenotype:0001954,5.994654982911002,15,2.5022290761954755,0.00030707752422231204,0.013073489110510693
clear WBPhenotype:0001010,12.941731785536835,26,2.009004701291721,0.0002614697822102139,0.013073489110510693
alae morphology variant WBPhenotype:0001412,4.986208350271768,13,2.6071914943729637,0.0004217937731099596,0.0150640633253557
dumpy WBPhenotype:0000583,21.68160260174353,37,1.706515919493176,0.0006276464071072803,0.01961395022210251
eggshell formation variant WBPhenotype:0002075,8.403721938660283,18,2.141908089223327,0.0007615202027761394,0.021153338966003875
apoptosis reduced WBPhenotype:0000182,14.062228044024874,26,1.8489246454119024,0.0009539870644653711,0.022754707993233876
paralyzed WBPhenotype:0000644,9.18806931960191,19,2.0678990698802444,0.0009101883197293551,0.022754707993233876
