Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental timing variant WBPhenotype:0000033,12.349729737868316,127,10.283625852197916,6.048445105949792e-92,1.5121112764874478e-89
organ system physiology variant WBPhenotype:0000575,21.918725627474892,137,6.250363380080453,9.55997297510114e-72,1.1949966218876426e-69
embryonic development variant WBPhenotype:0000749,20.218739178222442,127,6.281301661816351,3.0446479532981087e-66,2.537206627748424e-64
lipid metabolism variant WBPhenotype:0000725,4.474878419681708,70,15.642883098705282,2.742935236349353e-62,1.7143345227183455e-60
behavior variant WBPhenotype:0000517,17.268590872818706,113,6.54367231421676,3.2542108582575924e-60,1.627105429128796e-58
developmental growth variant WBPhenotype:0001015,10.895102157580137,92,8.444161300129903,5.676136623744796e-58,2.3650569265603316e-56
brood size variant WBPhenotype:0000673,6.934308987156902,70,10.09473332233214,3.944030461196587e-49,1.4085823075702097e-47
fertility reduced WBPhenotype:0001384,18.93352605507626,103,5.440085470629213,3.874557303887801e-47,1.2107991574649379e-45
transgene expression increased WBPhenotype:0001236,5.725040275832995,56,9.78159057437408,1.0298389038568215e-38,2.8606636218245044e-37
endocytic transport variant WBPhenotype:0001421,4.913019257117907,48,9.769959670005026,2.3478871760026792e-33,5.869717940006698e-32
body morphology variant WBPhenotype:0000072,7.89821882951654,56,7.09020618556701,2.3668820873251922e-31,5.379277471193619e-30
fat content increased WBPhenotype:0001184,1.5364138699429364,30,19.52598878914978,1.020605102424796e-30,2.1262606300516584e-29
fat content reduced WBPhenotype:0001183,2.704789436439466,33,12.200580036071342,1.1749816504716969e-26,2.2595800970609554e-25
movement variant WBPhenotype:0001206,11.514341207823298,60,5.210893000047075,2.4348688155623573e-26,4.347980027789924e-25
transgene expression reduced WBPhenotype:0001278,4.45735278618426,39,8.74958789909608,1.2120576982926913e-25,2.0200961638211525e-24
sick WBPhenotype:0000032,3.8673231251035127,35,9.050187653782665,1.0489093788721819e-23,1.638920904487784e-22
pigmentation variant WBPhenotype:0000521,2.7398407034343615,30,10.949541687732179,4.864129785366493e-23,7.153132037303666e-22
small WBPhenotype:0000229,2.5529006127949168,29,11.359627497699876,8.34765606164743e-23,1.1593966752288097e-21
transgene subcellular localization variant WBPhenotype:0000679,7.021937154644142,44,6.266077156628986,8.693485177033561e-23,1.1593966752288097e-21
epithelial cell physiology variant WBPhenotype:0000986,0.3096195251215803,14,45.216786617389616,1.226675120903972e-21,1.533343901129965e-20
dauer metabolism variant WBPhenotype:0001547,3.890690636433443,32,8.224760843317545,1.3877812404260003e-20,1.652120524316667e-19
oocyte physiology variant WBPhenotype:0001424,4.3697246186970204,33,7.5519633110976345,5.1889479780936275e-20,5.896531793288213e-19
clear WBPhenotype:0001010,1.3494737793034914,20,14.820591779354668,7.89782448571803e-19,8.584591832302207e-18
hermaphrodite fertility reduced WBPhenotype:0001259,6.040501678787058,35,5.794220722247702,2.0090605834878745e-17,2.0927714411332024e-16
lysosome-related organelle morphology variant WBPhenotype:0002095,1.7992983724046554,19,10.5596716427902,3.672634659850027e-15,3.6726346598500274e-14
avoids bacterial lawn WBPhenotype:0000402,2.6054775132872607,22,8.443749711062827,4.403273019402166e-15,4.233916364809775e-14
extended life span WBPhenotype:0000061,2.7748919704292576,22,7.928236570808465,1.6669511631917346e-14,1.543473299251606e-13
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,5.2109550265745215,29,5.565198673200499,2.55141063890353e-14,2.2780452133067233e-13
protruding vulva WBPhenotype:0000697,4.638450998991222,27,5.820908748604222,6.062957214728864e-14,5.226687254076607e-13
cell component localization variant WBPhenotype:0002098,1.3903669241308703,16,11.50775361691068,9.264493461629543e-14,7.72041121802462e-13
cadmium response variant WBPhenotype:0001653,0.5900296610807474,11,18.64313055016842,9.96204867347029e-13,8.033910220540558e-12
foraging behavior variant WBPhenotype:0000662,2.7632082147642922,20,7.237963427126697,1.2265067826408611e-12,9.582084239381728e-12
L1 larval development variant WBPhenotype:0000751,0.7068672177304004,11,15.561621368322399,8.80920283279693e-12,6.673638509694644e-11
endosome morphology variant WBPhenotype:0002090,1.9628709517141696,16,8.151325478645067,2.307714516362178e-11,1.6968489090898365e-10
enzyme activity variant WBPhenotype:0000727,0.32714515861902826,8,24.4539764359352,4.295696628149864e-11,3.0683547343927604e-10
cell death variant WBPhenotype:0000729,4.562506587168948,23,5.041088612273453,6.627967940960939e-11,4.6027555145562076e-10
mRNA levels increased WBPhenotype:0000136,0.8529141635424665,11,12.89696017511651,8.129365207720588e-11,5.492814329540938e-10
gonad development variant WBPhenotype:0000691,2.9384645497387716,18,6.1256481728187575,2.257653128939999e-10,1.485298111144736e-09
early larval lethal WBPhenotype:0000057,2.3425930108255417,16,6.830038306296115,3.540770781977125e-10,2.269724860241747e-09
shortened life span WBPhenotype:0001171,2.500323712302573,16,6.399171403796126,9.501574622681065e-10,5.9384841391756655e-09
