Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
cadmium response variant WBPhenotype:0001653,2.3053736242227143,18,7.80784503252436,1.6011788162442474e-12,4.0029470406106185e-10
pathogen susceptibility increased WBPhenotype:0001013,3.629251547043679,20,5.510778115198884,1.2296517564579568e-10,1.537064695572446e-08
lipid metabolism variant WBPhenotype:0000725,17.48431877380791,46,2.6309289252326793,1.6316753522343642e-09,1.3597294601953034e-07
epithelial cell physiology variant WBPhenotype:0000986,1.2097505156812263,10,8.266167172798326,2.6758059086200296e-08,1.6723786928875184e-06
dauer metabolism variant WBPhenotype:0001547,15.201770631013144,35,2.302363379210345,2.477558661063106e-06,0.0001238779330531553
pore forming toxin response variant WBPhenotype:0002058,3.3096948070524115,12,3.625711946137749,3.101382249721841e-05,0.001292242604050767
fat content reduced WBPhenotype:0001183,10.568197901139769,24,2.2709642859178127,8.156882096657112e-05,0.00291317217737754
pale WBPhenotype:0001261,1.1412740713973832,6,5.257282321899736,0.00013492738447452008,0.004216480764828752
Bacillus thuringiensis toxin hypersensitive WBPhenotype:0002057,2.8303596970655103,10,3.533119839986382,0.00013611895211268696,0.004216480764828752
clear WBPhenotype:0001010,5.272686209855911,14,2.6551930918685533,0.0003108551474323385,0.007771378685808462
fat content increased WBPhenotype:0001184,6.003101615550236,15,2.4987083278991142,0.0004116061571350694,0.009354685389433395
developmental timing variant WBPhenotype:0000033,48.25306773868136,71,1.4714090383746503,0.0005928314149570195,0.01235065447827124
pigmentation variant WBPhenotype:0000521,10.705150789707455,21,1.9616725081715434,0.0013611037920873133,0.026175072924756022
