Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
behavior variant WBPhenotype:0000517,5.1182679133354405,53,10.355065599811732,1.1157972061451289e-41,2.7894930153628222e-39
movement variant WBPhenotype:0001206,3.412755770359998,39,11.427714909668452,8.923594596135719e-32,1.1154493245169649e-29
touch resistant WBPhenotype:0000456,0.08657422045560624,14,161.71095652173915,3.1152837300503683e-30,2.5960697750419733e-28
sluggish WBPhenotype:0000646,0.3809265700046675,14,36.75249011857707,6.991830886492466e-20,4.3698943040577916e-18
organ system physiology variant WBPhenotype:0000575,6.496529502988693,36,5.541420228052285,1.3421205596885129e-18,6.710602798442565e-17
reversal variant WBPhenotype:0002320,0.5436861044612072,14,25.75015231237884,1.4752527582894003e-17,6.146886492872502e-16
sinusoidal movement variant WBPhenotype:0004018,0.6060195431892438,13,21.451453416149064,2.1631188234842497e-15,7.725424369586607e-14
velocity of movement variant WBPhenotype:0004025,0.5073249318698525,12,23.653479744769257,5.998869465431756e-15,1.8746467079474237e-13
foraging behavior variant WBPhenotype:0000662,0.8189921255100351,14,17.094181450500965,6.166961007220778e-15,1.8746467079474237e-13
lipid metabolism variant WBPhenotype:0000725,1.3263170573798877,16,12.063480531274832,2.8951119856354645e-14,7.237779964088661e-13
turning variant WBPhenotype:0002311,0.47962118132405857,11,22.934766912572595,9.181725988504336e-14,2.086755906478258e-12
fertility reduced WBPhenotype:0001384,5.611740969932397,28,4.989538923842614,1.8260746142644343e-13,3.804322113050905e-12
body morphology variant WBPhenotype:0000072,2.340966921119593,19,8.116304347826087,2.4271903383266527e-13,4.667673727551255e-12
linker cell migration variant WBPhenotype:0001511,0.12120390863784873,7,57.75391304347826,5.442720847811197e-13,9.719144371091424e-12
embryonic development variant WBPhenotype:0000749,5.992667539937064,28,4.672376669221009,9.269845638752633e-13,1.544974273125439e-11
forward locomotion decreased WBPhenotype:0002347,0.18526883177499737,7,37.78293376676148,1.7822002355488683e-11,2.7846878680451067e-10
