Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
embryonic development variant WBPhenotype:0000749,478.62885810884507,681,1.422814334034856,5.1841918568377e-36,1.2908637723525873e-33
fertility reduced WBPhenotype:0001384,448.20460246482713,623,1.3899901887975146,5.939574638051816e-28,7.394770424374511e-26
meiotic chromosome segregation variant WBPhenotype:0001499,25.722325226306033,84,3.265645670092602,1.884884545972063e-26,1.5644541731568123e-24
embryonic cell physiology variant WBPhenotype:0000763,54.901952230341365,135,2.458928954540759,3.094090669021322e-26,1.926071441465773e-24
embryonic cell morphology variant WBPhenotype:0000770,21.158686879703346,71,3.3555957609121463,1.6474757193816648e-23,8.20442908252069e-22
pronuclear nuclear appearance variant emb WBPhenotype:0001374,33.88155742174719,94,2.7743706946501,6.37000295321794e-23,2.6435512255854453e-21
aneuploidy WBPhenotype:0001882,23.64794415966845,75,3.171523050528529,8.024023178113197e-23,2.8542596733574083e-21
organ system physiology variant WBPhenotype:0000575,518.8718508016141,674,1.2989719888614613,1.0733842545710801e-21,3.3409084923524867e-20
progeny variant WBPhenotype:0000069,108.69756789180937,203,1.8675670848684789,2.0361553167975817e-21,5.633363043139976e-20
nuclear division variant WBPhenotype:0000504,27.934998364052788,78,2.7921963331979884,1.7120330449764617e-19,4.0171078284769325e-18
cytoplasmic appearance variant WBPhenotype:0001427,18.80772167084742,61,3.2433487196140285,1.6132963166574026e-19,4.0171078284769325e-18
spindle defective early emb WBPhenotype:0000759,32.49863671065547,84,2.5847238069669105,2.341574198062325e-18,4.8587664609793244e-17
cytokinesis variant WBPhenotype:0002408,41.07274511942414,97,2.3616634271208405,8.34957839502105e-18,1.5992654002771086e-16
protruding vulva WBPhenotype:0000697,109.80390446068273,190,1.7303574124546084,3.3142943894594363e-16,5.89470930696714e-15
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,123.35652742938161,206,1.6699562179060983,9.689390555672187e-16,1.608438832241583e-14
ectopic cleavage furrows early emb WBPhenotype:0001132,7.882648053222816,31,3.9326885826553766,6.742322419439038e-14,1.0492739265252002e-12
cell cycle defective early emb WBPhenotype:0001114,13.276038826480534,42,3.163594242902208,1.3495990512575962e-13,1.9767656691949497e-12
large cytoplasmic granules early emb WBPhenotype:0001082,7.329479768786126,27,3.683753943217666,1.834529561054492e-11,2.537765892792047e-10
polar body defective early emb WBPhenotype:0001147,11.89311811538881,36,3.0269606045044384,3.0129360731173206e-11,3.9485320116116463e-10
spindle orientation variant WBPhenotype:0001681,13.414330897589704,38,2.8327913102865137,1.0680835254477578e-10,1.3297639891824585e-09
spindle position variant WBPhenotype:0002416,9.127276693205365,28,3.0677277506930505,2.2882605024038074e-09,2.713223167135943e-08
pattern protein expression variant WBPhenotype:0001408,41.21103719053332,77,1.8684314991637203,7.162846661717304e-09,8.107040085307312e-08
germ cell mitosis variant WBPhenotype:0001215,8.574108408768677,26,3.032385265085988,1.0365274265546073e-08,1.1221536052699878e-07
oocyte physiology variant WBPhenotype:0001424,103.44246918966081,156,1.5080846505507852,1.3417393244461221e-08,1.3920545491128517e-07
