Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
cell fate transformation WBPhenotype:0000414,1.1778819936743374,8,6.791851851851852,2.4319878553413897e-06,0.0006055649759800061
ectopic expression transgene WBPhenotype:0001276,1.4487948522194352,8,5.521830773863294,1.3439988864182109e-05,0.0016732786135906727
sister cell division timing asynchrony reduced WBPhenotype:0002369,0.9305267750027265,6,6.447960618846695,3.7355331543221205e-05,0.00310049251808736
transgene expression reduced WBPhenotype:0001278,8.987239611735195,21,2.3366462793068297,6.450979823690384e-05,0.004015734940247264
sexually dimorphic morphology variant WBPhenotype:0001023,2.273312247791471,9,3.958981001727116,8.749715351876016e-05,0.004357358245234255
body morphology variant WBPhenotype:0000072,15.924964554477043,30,1.883834648257725,0.00013225788268036702,0.005488702131235232
small WBPhenotype:0000229,5.1473443123568545,14,2.719849139757607,0.0001732791772054495,0.006163787874879561
brood size variant WBPhenotype:0000673,13.981459264914385,27,1.9311288963774222,0.000193158541438238,0.006163787874879561
male tail morphology variant WBPhenotype:0000070,1.2485549132947977,6,4.805555555555555,0.0002421269971851679,0.006698846922122978
organism segment development variant WBPhenotype:0000579,0.5889409968371687,4,6.791851851851852,0.0002871611543824672,0.007150312744123432
P granule defective WBPhenotype:0001301,0.6596139164576289,4,6.06415343915344,0.0004895411826406592,0.01108143222522947
distal tip cell migration variant WBPhenotype:0000195,1.8963900098156832,7,3.6912238325281805,0.0006041843820613223,0.012536825927772437
movement variant WBPhenotype:0001206,23.21605409532119,37,1.593724749610087,0.0007023651738350094,0.01345299448345518
muscle system morphology variant WBPhenotype:0000603,3.0035990838695605,9,2.99640522875817,0.0008202260816857303,0.014588306738553346
exploded through vulva WBPhenotype:0000038,4.770422074381067,12,2.5155006858710562,0.0009079069743292225,0.015071255773865096
male nervous system morphology variant WBPhenotype:0001358,1.1543243538008507,5,4.331538170823885,0.001016835391229839,0.01582450077601437
rachis wide WBPhenotype:0001943,0.8245173955720362,4,4.851322751322751,0.0013616596708688118,0.019944309296843182
cytoplasmic processing body variant WBPhenotype:0001794,3.2156178427309414,9,2.7988400488400487,0.0013771508071235693,0.019944309296843182
variable cell division timing WBPhenotype:0002390,0.8598538553822663,4,4.6519533231862,0.0016434436361157365,0.021537761336464126
body posture amplitude increased WBPhenotype:0002293,0.9187479550659832,4,4.35375118708452,0.0022051480581546036,0.027454093324024813
male nervous system development variant WBPhenotype:0001008,0.9540844148762134,4,4.1925011431184265,0.002602887919649669,0.030862813904417502
pathogen susceptibility increased WBPhenotype:0001013,1.8728323699421963,6,3.203703703703704,0.002663890371216711,0.030862813904417502
antibody staining reduced WBPhenotype:0000425,1.0011996946231867,4,3.9952069716775602,0.0032110905475862313,0.034763545493433544
synapse morphology variant WBPhenotype:0000616,0.6360562765841422,3,4.716563786008231,0.003662643287638391,0.03799992410924831
adult lethal WBPhenotype:0000060,1.0483149743701603,4,3.815647107781939,0.0039157155894058914,0.039000527270482685
dead eggs laid WBPhenotype:0000274,1.071872614243647,4,3.731786731786732,0.004306709939463229,0.04124502980485938
germ cell partition morphology variant WBPhenotype:0001977,1.095430254117134,4,3.651533253683791,0.004724831051079638,0.04357344191551222
