Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
organ system physiology variant WBPhenotype:0000575,5.4231898459731696,48,8.850879530916844,2.3455698794120883e-35,5.863924698530221e-33
fertility reduced WBPhenotype:0001384,4.684583766204436,38,8.111713205800678,4.3634711055847185e-26,5.454338881980898e-24
developmental timing variant WBPhenotype:0000033,3.0556032341117483,29,9.490760998107852,8.93239683277982e-22,7.443664027316516e-20
embryonic development variant WBPhenotype:0000749,5.002574642034419,32,6.396706154290668,8.92321763283496e-19,5.57701102052185e-17
behavior variant WBPhenotype:0000517,4.272641040697412,30,7.021418301759134,9.344659763969546e-19,5.57701102052185e-17
transgene expression reduced WBPhenotype:0001278,1.1028501739012602,18,16.321346657929226,2.749865883664481e-18,1.145777451526867e-16
brood size variant WBPhenotype:0000673,1.7157053164099552,18,10.491312131423758,8.240051763268525e-15,2.942875629738759e-13
movement variant WBPhenotype:0001206,2.8489091648222593,21,7.371242389649924,7.171792533054196e-14,2.241185166579436e-12
developmental growth variant WBPhenotype:0001015,2.6956953791950857,20,7.419235924932975,2.44586318627879e-13,6.7940644063299725e-12
shortened life span WBPhenotype:0001171,0.618636794796513,11,17.781030957943923,1.6869253806742134e-12,4.2173134516855335e-11
hermaphrodite fertility reduced WBPhenotype:0001259,1.4945571164009215,15,10.036418036750483,2.201987354174803e-12,5.0045167140336425e-11
lipid metabolism variant WBPhenotype:0000725,1.1071864131171236,13,11.741473563968668,6.562209300238064e-12,1.3671269375495966e-10
body morphology variant WBPhenotype:0000072,1.954198473282443,16,8.1875,1.1016976844965356e-11,2.1186493932625686e-10
oocyte physiology variant WBPhenotype:0001424,1.081168977821943,11,10.174172794117649,1.006138735566351e-09,1.5720917743224234e-08
endocytic transport variant WBPhenotype:0001421,1.2155923935137087,11,9.049085909631392,3.7174029210363686e-09,5.163059612550512e-08
transgene subcellular localization variant WBPhenotype:0000679,1.7373865124892722,12,6.906925956738769,2.1130809152805274e-08,2.634955356477483e-07
