Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
ectopic expression transgene WBPhenotype:0001276,3.554913294797688,16,4.5008130081300814,7.838692881481154e-08,1.9518345274888072e-05
transgene expression increased WBPhenotype:0001236,28.323699421965316,53,1.8712244897959185,1.8409867019655703e-06,0.0002292028443947135
fertility reduced WBPhenotype:0001384,93.67052023121387,128,1.366491823511262,4.2006500443296795e-06,0.0003486539536793634
movement variant WBPhenotype:0001206,56.96531791907515,86,1.5096905124302384,9.522465630616368e-06,0.0005870637234267748
organ system physiology variant WBPhenotype:0000575,108.4393063583815,142,1.3094882729211088,9.430742545008431e-06,0.0005870637234267748
behavior variant WBPhenotype:0000517,85.43352601156069,117,1.3694857916102843,1.4803015983544177e-05,0.0006143251633170834
body morphology variant WBPhenotype:0000072,39.07514450867052,63,1.6122781065088758,2.8059592329016338e-05,0.0009981197842750097
transgene expression reduced WBPhenotype:0001278,22.052023121387283,40,1.8138925294888597,7.07936579277901e-05,0.002111043935111242
sinusoidal movement variant WBPhenotype:0004018,10.115606936416185,23,2.2737142857142856,7.324741676717702e-05,0.002111043935111242
fat WBPhenotype:0000542,3.641618497109827,12,3.295238095238095,6.782470474252986e-05,0.002111043935111242
velocity of movement variant WBPhenotype:0004025,8.468208092485549,20,2.361774744027304,0.0001126117700407271,0.002549120976376459
vulval cell induction increased WBPhenotype:0000218,6.618497109826589,16,2.417467248908297,0.0003378807228751602,0.007011024999659574
VPC competence variant WBPhenotype:0002017,8.583815028901734,19,2.2134680134680136,0.0003743623327068996,0.007170478526462924
body posture amplitude increased WBPhenotype:0002293,2.2543352601156066,8,3.5487179487179494,0.00039165515335115326,0.007170478526462924
coiling frequency decreased WBPhenotype:0002299,2.2543352601156066,8,3.5487179487179494,0.00039165515335115326,0.007170478526462924
backward point velocity increased WBPhenotype:0002325,3.815028901734104,11,2.8833333333333333,0.0004240140517327861,0.007170478526462924
serotonin resistant WBPhenotype:0000024,1.9364161849710981,7,3.6149253731343287,0.0006523920092601055,0.009320041077016028
exploded through vulva WBPhenotype:0000038,11.705202312138729,23,1.9649382716049382,0.0006511351215756346,0.009320041077016028
forward locomotion increased WBPhenotype:0002346,3.439306358381503,10,2.907563025210084,0.0006363080253384437,0.009320041077016028
serotonin response variant WBPhenotype:0001232,1.9653179190751446,7,3.5617647058823527,0.0007212315637405153,0.009320041077016028
oxygen response variant WBPhenotype:0000464,2.0809248554913293,7,3.363888888888889,0.0010574021236934028,0.01253776803807892
protein interaction variant WBPhenotype:0001369,16.618497109826592,29,1.7450434782608693,0.0011558295476788842,0.013081888971456462
protruding vulva WBPhenotype:0000697,22.947976878612717,37,1.6123425692695215,0.0012927336808471286,0.013995247240475435
organism heat response variant WBPhenotype:0001273,1.7341040462427746,6,3.46,0.0016235054539888208,0.016843869085134015
bag of worms WBPhenotype:0000007,1.791907514450867,6,3.3483870967741938,0.0019686592607042553,0.019607846236614383
male nervous system development variant WBPhenotype:0001008,2.341040462427746,7,2.990123456790123,0.0022736678478585868,0.021774742081414927
L1 larval development variant WBPhenotype:0000751,3.497109826589595,9,2.573553719008265,0.0025917594312177376,0.023901781421230246
