Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
organ system physiology variant WBPhenotype:0000575,5.366698285077616,44,8.198709460217708,9.209490421073625e-31,2.302372605268406e-28
fertility reduced WBPhenotype:0001384,4.6357860186398065,36,7.765673362672339,4.763927226453807e-24,5.954909033067259e-22
brood size variant WBPhenotype:0000673,1.697833386030685,24,14.135662661286746,2.660819242226669e-22,2.217349368522224e-20
transgene expression reduced WBPhenotype:0001278,1.0913621512564553,19,17.409436435124512,9.584589771666479e-20,5.99036860729155e-18
behavior variant WBPhenotype:0000517,4.228134363190147,30,7.09532796809344,6.608598761362968e-19,3.304299380681484e-17
embryonic development variant WBPhenotype:0000749,4.950464489513227,31,6.262038656305601,5.952904260337031e-18,2.480376775140429e-16
lipid metabolism variant WBPhenotype:0000725,1.0956532213138204,16,14.603160643122164,1.0540092234965227e-15,3.764318655344724e-14
developmental timing variant WBPhenotype:0000033,3.0237740337564176,22,7.2756759448289605,2.3565983972598224e-14,7.364369991436945e-13
body morphology variant WBPhenotype:0000072,1.9338422391857508,17,8.79078947368421,8.174392034904736e-13,2.043598008726184e-11
transgene subcellular localization variant WBPhenotype:0000679,1.719288736317509,16,9.306173920658553,1.4630804293955329e-12,3.3251827940807566e-11
movement variant WBPhenotype:0001206,2.819233027688694,19,6.739421613394216,5.2257698991867645e-12,1.0887020623305759e-10
protruding vulva WBPhenotype:0000697,1.135703208515892,13,11.44665252552035,9.106963980842513e-12,1.7513392270850987e-10
developmental growth variant WBPhenotype:0001015,2.6676152189951368,18,6.7475998306758855,1.7897882601066342e-11,3.1960504644761327e-10
hermaphrodite fertility reduced WBPhenotype:0001259,1.4789888131050786,14,9.465926906240457,2.4005010643382752e-11,3.750782913028555e-10
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,1.275878163723143,13,10.189060656124617,4.204243349929863e-11,6.182710808720386e-10
endocytic transport variant WBPhenotype:0001421,1.202929972747941,12,9.975643031478816,2.640080900621158e-10,3.6667790286404973e-09
oocyte physiology variant WBPhenotype:0001424,1.069906800969631,11,10.281269349845203,8.894325343286932e-10,1.1703059662219647e-08
transgene expression increased WBPhenotype:0001236,1.4017495520725116,12,8.560730397422127,1.6643044442836984e-09,2.0803805553546228e-08
