Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
acetylcholinesterase inhibitor response variant WBPhenotype:0001290,12.830811388650496,38,2.961620964486543,8.371111104048867e-10,2.0927777760122167e-07
protein degradation variant WBPhenotype:0001645,7.152310402457203,19,2.656484259054596,3.446221371355251e-05,0.003117228909784036
neurite morphology variant WBPhenotype:0001398,8.149299125223964,21,2.5769087227391307,2.4937831278272287e-05,0.003117228909784036
forward locomotion decreased WBPhenotype:0002347,4.638164927654064,14,3.018435139407829,6.0393262659928586e-05,0.0037745789162455367
thin WBPhenotype:0000164,15.778430221178313,31,1.9647074877189499,0.00014246954567933068,0.006800206069038149
Pausing increased WBPhenotype:0002310,2.9042714967553485,10,3.443204263503601,0.00013600412138076298,0.006800206069038149
path curvature increased WBPhenotype:0002336,4.161344234156918,12,2.8836835706842656,0.0002601103597064642,0.009289655703802293
endomitotic oocytes WBPhenotype:0000668,2.1673667886233945,8,3.69111497047586,0.0002667592935344076,0.009289655703802293
kinker WBPhenotype:0000002,2.6441874821205413,9,3.4036920834306086,0.00027474937756228945,0.009289655703802293
body posture wavelength decreased WBPhenotype:0002295,6.632142373187588,16,2.4124934447554636,0.00036870452339330203,0.009289655703802293
reversal variant WBPhenotype:0002320,13.61106343255492,26,1.9102107729373476,0.0006331560204863513,0.014389909556507983
sinusoidal movement variant WBPhenotype:0004018,15.171567520363764,28,1.8455574852379295,0.0007395559850794623,0.015407416355822129
short WBPhenotype:0000324,8.019257117906559,17,2.1198971114219467,0.001221737508659195,0.023439706061385214
egg laying defective WBPhenotype:0000006,12.093906680518542,23,1.9017841469745693,0.001218864715192031,0.023439706061385214
foraging behavior variant WBPhenotype:0000662,20.50328982037731,34,1.6582704677084994,0.00168000889022385,0.0280001481703975
muscle system morphology variant WBPhenotype:0000603,11.053570621979313,21,1.8998385877449278,0.0018309352482218648,0.028608363253466638
body posture amplitude increased WBPhenotype:0002293,3.3810921902524953,9,2.6618617575547066,0.001971440747481645,0.028991775698259482
actin organization biogenesis variant WBPhenotype:0001587,2.3407561317132664,7,2.9904866658947933,0.002166065730870924,0.03008424626209617
turning variant WBPhenotype:0002311,12.007212008973605,22,1.832232160434768,0.00239487800046451,0.03151155263769092
cholinergic agonist resistant WBPhenotype:0001578,2.9476188325278163,8,2.7140551253498972,0.002612299099467411,0.03265373874334264
mitochondria morphology variant WBPhenotype:0001401,4.811554270743936,11,2.286163551533472,0.0032056231708872947,0.03816218060580113
body morphology variant WBPhenotype:0000072,58.60559796437659,79,1.3479940951719347,0.003455245283366188,0.03926415094734305
cell fate transformation WBPhenotype:0000414,4.334733577246789,10,2.3069468565474125,0.0040864317776702274,0.04441773671380682
cadmium response variant WBPhenotype:0001653,4.378080913019257,10,2.2841057985617943,0.004410115267442044,0.04593870070252129
neuronal outgrowth variant WBPhenotype:0000572,9.796497884577745,18,1.83739130167493,0.004758265985238726,0.04609996463768969
velocity of movement variant WBPhenotype:0004025,12.70076938133309,22,1.7321785271004464,0.004776402793324556,0.04609996463768969
eating variant WBPhenotype:0002056,6.328711022780312,13,2.0541307626792027,0.004609996463768969,0.04609996463768969
pale WBPhenotype:0001261,2.1673667886233945,6,2.768336227856895,0.005561557614304642,0.04965676441343431
touch resistant WBPhenotype:0000456,2.1673667886233945,6,2.768336227856895,0.005561557614304642,0.04965676441343431
