Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
behavior variant WBPhenotype:0000517,4.005600975653824,52,12.981822282363554,7.396509487074065e-48,1.8491273717685164e-45
movement variant WBPhenotype:0001206,2.670852342020868,36,13.478843226788433,1.1905010057416594e-32,1.4881262571770742e-30
reversal variant WBPhenotype:0002320,0.42549347305659696,19,44.65403397027601,6.379088751941554e-28,5.315907293284628e-26
foraging behavior variant WBPhenotype:0000662,0.64095035909481,21,32.76384778012685,1.194316354493479e-27,7.464477215584244e-26
body morphology variant WBPhenotype:0000072,1.8320610687022902,28,15.283333333333331,6.733345777012533e-27,2.876550008890329e-25
sinusoidal movement variant WBPhenotype:0004018,0.47427616423506036,19,40.06104761904761,5.753100017780658e-27,2.876550008890329e-25
turning variant WBPhenotype:0002311,0.37535570712317623,17,45.29037304452468,2.411731914402566e-25,8.61332826572345e-24
velocity of movement variant WBPhenotype:0004025,0.3970369032024933,17,42.81717861205916,6.726800896976452e-25,2.1021252803051413e-23
organ system physiology variant WBPhenotype:0000575,5.0842404805998465,31,6.097272565742715,9.640983938203464e-18,2.678051093945407e-16
pattern protein expression variant WBPhenotype:0001408,0.40381227697727995,12,29.716778523489932,2.770945801257595e-16,6.297604093767262e-15
embryonic development variant WBPhenotype:0000749,4.6899137269072675,27,5.757035538861601,6.9475117309534185e-15,1.2406270948131104e-13
fertility reduced WBPhenotype:0001384,4.391797280816658,24,5.464733107065721,7.816219620849847e-13,9.30502335815458e-12
transgene expression reduced WBPhenotype:0001278,1.0339220380324314,13,12.573481869812145,2.50705850907127e-12,2.725063596816598e-11
developmental growth variant WBPhenotype:0001015,2.527214417995393,18,7.1224664879356565,6.5202696922977355e-12,6.791947596143474e-11
protein interaction variant WBPhenotype:0001369,0.7791679841004562,11,14.117623188405798,2.348000062336472e-11,2.1740741317930298e-10
developmental timing variant WBPhenotype:0000033,2.864628031979764,18,6.283538315988648,5.503417955208082e-11,4.913766031435787e-10
transgene expression increased WBPhenotype:0001236,1.3279732598581688,12,9.036326530612245,8.386863940866898e-10,5.8242110700464575e-09
transgene subcellular localization variant WBPhenotype:0000679,1.6287998554586927,12,7.367387687188021,9.507773156332555e-09,5.659388783531283e-08
