Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
organ system physiology variant WBPhenotype:0000575,8.586717256124185,75,8.73442058972057,3.526970008795594e-53,8.817425021988985e-51
behavior variant WBPhenotype:0000517,6.765014981104235,67,9.903895288797095,2.3638755887328202e-50,2.9548444859160254e-48
embryonic development variant WBPhenotype:0000749,7.9207431832211626,68,8.585052996548002,4.0810580708431613e-47,3.400881725702634e-45
fertility reduced WBPhenotype:0001384,7.41725762982369,59,7.954422368015069,1.7774570523458166e-38,1.1109106577161354e-36
movement variant WBPhenotype:0001206,4.51077284430191,48,10.641192021148763,8.79347332242948e-37,4.3967366612147395e-35
developmental growth variant WBPhenotype:0001015,4.268184350392219,39,9.137374770706927,2.220214338344866e-27,9.250893076436941e-26
developmental timing variant WBPhenotype:0000033,4.8380384540102686,40,8.267813573669272,2.0252909697403482e-26,7.233182034786958e-25
brood size variant WBPhenotype:0000673,2.716533417649096,31,11.411602669267946,7.501016231947204e-25,2.3440675724835013e-23
cell death variant WBPhenotype:0000729,1.7873737145610311,24,13.427522070220364,2.7142563142472847e-21,7.539600872909124e-20
transgene subcellular localization variant WBPhenotype:0000679,2.7508619781080146,27,9.815105306944567,4.0462833948751396e-20,1.0115708487187849e-18
body morphology variant WBPhenotype:0000072,3.094147582697201,28,9.049342105263158,7.442492673830547e-20,1.6914756076887606e-18
hermaphrodite fertility reduced WBPhenotype:0001259,2.3663821009681256,25,10.564650565000509,1.5634982196365544e-19,3.257287957576155e-18
transgene expression increased WBPhenotype:0001236,2.2427992833160184,24,10.700912996777658,5.913606807062669e-19,1.1372320782812824e-17
transgene expression reduced WBPhenotype:0001278,1.7461794420103285,20,11.453576602055598,1.0411436840787759e-16,1.8591851501406715e-15
shortened life span WBPhenotype:0001171,0.9795082584278122,15,15.31380656665027,5.153600921426713e-15,8.589334869044522e-14
protein expression reduced WBPhenotype:0000120,0.3844798771398889,11,28.610079887218042,6.8930641572368254e-15,1.0770412745682539e-13
endocytic transport variant WBPhenotype:0001421,1.9246879563967056,19,9.871730083234246,9.062995525936631e-15,1.3327934596965634e-13
oocyte physiology variant WBPhenotype:0001424,1.71185088155141,17,9.93077153110048,1.753465407309877e-13,2.435368621263718e-12
sick WBPhenotype:0000032,1.5150338015869431,16,10.56082048020353,3.046345748980754e-13,4.008349669711518e-12
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,2.041405061957029,18,8.817456337030919,3.062249147457229e-13,4.008349669711518e-12
exploded through vulva WBPhenotype:0000038,0.9268711323908035,13,14.025682261208578,7.974142448139524e-13,9.493026723975625e-12
gonad development variant WBPhenotype:0000691,1.1511510607224054,14,12.161740085800984,9.741872070212182e-13,1.1070309170695661e-11
progeny variant WBPhenotype:0000069,1.7988165680473371,16,8.894736842105264,4.5876468633760904e-12,4.778798816016761e-11
protruding vulva WBPhenotype:0000697,1.8171251336254273,16,8.805117327323346,5.375327287624112e-12,5.375327287624112e-11
foraging behavior variant WBPhenotype:0000662,1.082493939804568,12,11.085512406809837,9.188757785764487e-11,8.508109060893044e-10
extended life span WBPhenotype:0000061,1.0870710811990905,12,11.038836565096954,9.675941697189864e-11,8.639233658205235e-10
lipid metabolism variant WBPhenotype:0000725,1.7530451541021126,14,7.9861034767074335,3.453218517131149e-10,2.69782696650871e-09
germ cell compartment expansion variant WBPhenotype:0001980,1.0001053947031633,11,10.998840780440805,5.026368050567145e-10,3.5902628932622463e-09
