Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
behavior variant WBPhenotype:0000517,5.607841365915353,48,8.559443263096849,3.706652274313703e-33,9.266630685784257e-31
embryonic development variant WBPhenotype:0000749,6.565879217670174,49,7.462823846672446,4.076288430450969e-31,5.095360538063711e-29
organ system physiology variant WBPhenotype:0000575,7.117936672839785,50,7.024507564219718,1.4778077547895499e-30,1.2315064623246248e-28
fertility reduced WBPhenotype:0001384,6.148516193143322,44,7.156198116395586,4.882269181900282e-27,3.0514182386876766e-25
transgene expression reduced WBPhenotype:0001278,1.447490853245404,25,17.27126630468701,5.178568537687958e-25,2.5892842688439792e-23
movement variant WBPhenotype:0001206,3.7391932788292155,33,8.825433065159093,4.009246260011281e-23,1.6705192750047003e-21
developmental timing variant WBPhenotype:0000033,4.01047924477167,30,7.480402757129342,4.658073140539051e-19,1.6635975501925183e-17
pattern protein expression variant WBPhenotype:0001408,0.5653371877681919,12,21.22627037392138,2.493590395515029e-14,7.792469985984466e-13
transgene expression increased WBPhenotype:0001236,1.8591625638014364,17,9.143901846452867,5.932164312820369e-13,1.6478234202278804e-11
body morphology variant WBPhenotype:0000072,2.5648854961832064,18,7.017857142857142,1.3168366892761556e-11,3.292091723190389e-10
exploded through vulva WBPhenotype:0000038,0.7683273860607976,11,14.316813639035862,2.3417760529824066e-11,5.320486624317872e-10
lipid metabolism variant WBPhenotype:0000725,1.4531821672162248,14,9.63402959094865,2.341014114699864e-11,5.320486624317872e-10
cell death variant WBPhenotype:0000729,1.4816387370703286,14,9.448997012377292,3.066338476914632e-11,5.896804763297369e-10
developmental growth variant WBPhenotype:0001015,3.53810018519355,20,5.652751180901315,6.015947218242156e-11,1.0742762889718136e-09
brood size variant WBPhenotype:0000673,2.2518632277880664,16,7.10522726360974,1.2875079264824373e-10,2.1458465441373956e-09
transgene subcellular localization variant WBPhenotype:0000679,2.2803197976421696,16,7.016559702083829,1.559106384524986e-10,2.292803506654391e-09
gonad development variant WBPhenotype:0000691,0.9542436424409413,11,11.527454321688914,2.7881176884734276e-10,3.872385678435316e-09
dauer metabolism variant WBPhenotype:0001547,1.2634717015222006,11,8.706170456170456,6.4536490029354465e-09,6.722551044724423e-08
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,1.692217353990695,12,7.091287636130686,1.79752013386509e-08,1.7283847441010482e-07
