Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
turning variant WBPhenotype:0002311,3.29294361435271,16,4.8588745735766565,2.3881882783270994e-08,5.9465888130344776e-06
reversal variant WBPhenotype:0002320,3.7327952884720252,16,4.286332028282592,1.4912616705184327e-07,1.8566207797954487e-05
velocity of movement variant WBPhenotype:0004025,3.4831497437016035,15,4.306447067664464,3.209321076583276e-07,2.663736493564119e-05
sinusoidal movement variant WBPhenotype:0004018,4.160759079507034,16,3.845452162516383,6.958729292660079e-07,4.0399435436658604e-05
behavior variant WBPhenotype:0000517,35.14058239720798,59,1.6789704659160039,6.489869146451181e-07,4.0399435436658604e-05
body posture wavelength decreased WBPhenotype:0002295,1.8188461118987893,10,5.497991245427835,1.835741613989534e-06,7.618327698056567e-05
sluggish WBPhenotype:0000646,2.615334278547279,12,4.588323603002502,1.8755622525610672e-06,7.618327698056567e-05
nicotine response variant WBPhenotype:0001573,0.7727124004798778,6,7.764855328158081,1.0913244766857887e-05,0.00027986913930003844
coiling frequency increased WBPhenotype:0002300,1.3789944377794743,8,5.801328693451439,8.99177957590485e-06,0.00027986913930003844
acetylcholinesterase inhibitor response variant WBPhenotype:0001290,3.5188133929545207,13,3.694427225390528,9.964846086294467e-06,0.00027986913930003844
cholinergic agonist resistant WBPhenotype:0001578,0.8083760497327953,6,7.422288181327577,1.4758652275375458e-05,0.0003340822196880445
nose movement increased WBPhenotype:0002303,0.8678154651543243,6,6.913912278496921,2.3625190748687196e-05,0.0004902227080352593
protein degradation variant WBPhenotype:0001645,1.9615007089104592,9,4.588323603002502,2.4974361285967758e-05,0.0004902227080352593
egg laying defective WBPhenotype:0000006,3.316719380521322,12,3.618032948604123,2.4831663459872165e-05,0.0004902227080352593
forward locomotion decreased WBPhenotype:0002347,1.272003490020722,7,5.503129555003001,3.787707871779692e-05,0.000628759506715429
Pausing decreased WBPhenotype:0002309,1.331442905442251,7,5.257454128440368,5.260981920001257e-05,0.0008187403113001957
