Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
male WBbt:0007850,0.2640527792142667,25,94.67804154302671,0.0,0.0
posterior lateral ganglion WBbt:0005465,0.0677761584630091,3,44.26335260115607,6.312252951589362e-07,3.924730379950123e-05
nervous system WBbt:0005735,3.8702928870292883,13,3.3589189189189192,3.643652063743311e-06,3.924730379950123e-05
ventral nerve cord WBbt:0005829,0.5500446617460392,5,9.09017094017094,1.3884943128467247e-05,0.0001307099818645365
amphid sensillum WBbt:0005391,0.5324150251516149,4,7.512935982339956,0.0001620138225236189,0.0006587971751091369
thermosensory neuron WBbt:0005838,0.32791124065629257,3,9.148817204301077,0.0002985017731311486,0.0007408271278618507
AWB WBbt:0005671,0.3333960164856691,3,8.998307873090482,0.0003178421168499296,0.0007817198009011783
coelomic system WBbt:0005749,0.35180919248429005,3,8.527349665924277,0.00038938278860643744,0.0009407212503500657
tail WBbt:0005741,0.7235986397755944,4,5.527926367081754,0.0006618886741825505,0.0015313187123036974
labial sensillum WBbt:0005107,1.1733502577844641,5,4.261302170283805,0.0008703642283798224,0.0019317840190869232
sex organ WBbt:0008422,0.6272232930594079,3,4.782985633978764,0.0032777700067624814,0.006936676060822927
PVD WBbt:0006831,1.1329979784683373,4,3.5304564315352693,0.004734475311788518,0.009942398154755889
