Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
pharynx WBbt:0003681,155.3115195963205,329,2.1183232309819884,1.5717771514880165e-39,4.290951623562285e-37
PLM WBbt:0005490,8.60451632112579,23,2.6730148612224083,7.417261904416537e-06,0.0010124562499528574
ALM WBbt:0005406,8.420133828530236,22,2.6127850753935316,1.5926193326131386e-05,0.0014492835926779562
pm7 WBbt:0003721,1.1677557864385,7,5.994404036608604,1.683926800199977e-05,0.0014492835926779562
pm3 WBbt:0003740,1.1677557864385,7,5.994404036608604,1.683926800199977e-05,0.0014492835926779562
pm6 WBbt:0003724,1.3521382790340526,7,5.176985304343795,5.1820778966783406e-05,0.002357845442988645
ABprpaapa WBbt:0006047,1.0141037092755394,5,4.930462194613138,0.00045378052071011254,0.01769744030769439
ABaraapa WBbt:0005853,1.1062949555733157,5,4.519590345062044,0.0007377727089414727,0.02517649369262776
ABarapaa WBbt:0006515,1.137025371005908,5,4.3974392546549605,0.0008578518860781193,0.026021507211036285
ABpraaaa WBbt:0006442,1.1984862018710922,5,4.1719295492880395,0.0011426638069789766,0.026021507211036285
ABalpapa WBbt:0006573,1.2292166173036843,5,4.067631310555838,0.0013096999277650118,0.026021507211036285
ABaraapp WBbt:0006153,1.137025371005908,5,4.3974392546549605,0.0008578518860781193,0.026021507211036285
ABalaaaa WBbt:0006427,1.1984862018710922,5,4.1719295492880395,0.0011426638069789766,0.026021507211036285
pm5 WBbt:0003737,1.1677557864385,5,4.281717169006146,0.0009924373628868136,0.026021507211036285
