Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,198.36704332981057,247,1.2451665148294362,0.0,0.0
thermosensory neuron WBbt:0005838,16.806682383546054,86,5.117012271511422,3.3044174883786973e-40,4.494007784195028e-38
AWB WBbt:0005671,17.087797740021134,86,5.032831106057651,1.246886256133423e-39,1.1305102055609701e-37
ventral nerve cord WBbt:0005829,28.191854320786927,108,3.830893802553722,1.6613817728629462e-39,1.1305102055609701e-37
amphid sensillum WBbt:0005391,27.28826924640273,106,3.884453024222979,3.287537233908638e-39,1.788420255246299e-37
retrovesicular ganglion WBbt:0005656,21.52540443866352,84,3.9023657018550972,2.8486573060442008e-30,1.291391312073371e-28
pharyngeal interneuron WBbt:0003668,20.62181936427933,76,3.685416822709909,1.481900183828375e-25,5.758240714304543e-24
AVE WBbt:0006819,9.09608974880091,49,5.386930137365829,1.39905716192403e-23,4.756794350541702e-22
BAG WBbt:0006825,9.638240793431429,43,4.461395074224021,1.290844157355788e-17,3.9012178977863813e-16
nerve ring WBbt:0006749,17.650028452971302,55,3.11614228535371,4.064439160503711e-15,1.1055274516570094e-13
pharynx WBbt:0003681,101.48264368750509,159,1.5667703778944484,2.9614694704851876e-14,7.322906327017918e-13
lateral ganglion WBbt:0005105,10.62214454109422,38,3.5774320197760647,1.3484959914993622e-12,3.056590914065221e-11
tail WBbt:0005741,37.08714738639135,77,2.076190956337994,2.702728856964966e-11,5.654940377649775e-10
corpus WBbt:0003733,42.629135842614424,80,1.8766507558435563,1.5540017520545414e-09,3.0192034039916806e-08
dorsal nerve cord WBbt:0006750,12.007641655149989,32,2.6649696017765017,1.1914162680850223e-07,2.1604348327941737e-06
SMD WBbt:0005353,0.8634257377448987,8,9.265417568967141,1.4261402242212952e-07,2.4244383811762017e-06
AVA WBbt:0005842,11.585968620437363,31,2.675650264175303,1.68837146138564e-07,2.701394338217024e-06
labial sensillum WBbt:0005107,60.13860661734818,95,1.5796840888660588,2.2871140713003526e-07,3.4560834855205326e-06
PVC WBbt:0005840,0.943744411023494,8,8.476871392884831,3.2130242752560106e-07,4.599697909840184e-06
PVD WBbt:0006831,58.07040078042436,92,1.5842838823839043,3.497520417517083e-07,4.756627767823233e-06
posterior lateral ganglion WBbt:0005465,3.473782619299244,14,4.030188855865765,2.0619583765599e-06,2.6707270401156798e-05
preanal ganglion WBbt:0005448,3.554101292577839,14,3.9391111416089117,2.744778556497527e-06,3.393544397124215e-05
AIY WBbt:0005413,1.5662141289326073,9,5.746340703830582,3.372854374242725e-06,3.9887669121479185e-05
URX WBbt:0006846,0.9839037476627915,7,7.114517061885484,5.224274919393449e-06,5.920844908645909e-05
SDQL WBbt:0004993,0.7429477278270059,6,8.075938286464602,7.441394838296394e-06,8.096237584066477e-05
HSN WBbt:0006830,2.208763515161369,10,4.527419948472581,1.2667718867844172e-05,0.00013252382815590828
ASER WBbt:0003903,2.650516218193643,11,4.150134952766532,1.3632758876529917e-05,0.00013733742275615323
ASEL WBbt:0003904,2.650516218193643,11,4.150134952766532,1.3632758876529917e-05,0.00013733742275615323
DVA WBbt:0004823,0.84334606942525,6,7.114517061885483,1.7900883408341486e-05,0.00016789794093340977
ASG WBbt:0005664,1.2449394358182262,7,5.622763484393365,3.1280184579008916e-05,0.0002836070068496808
lateral nerve cord WBbt:0006769,8.312982684334607,21,2.526169101683976,3.128456657986344e-05,0.0002836070068496808
ALN WBbt:0006851,0.6626290545484107,5,7.545699914120966,4.3346376992406925e-05,0.00036844420443545885
PLM WBbt:0005490,5.6223071295016664,16,2.845806824754193,5.033716860599707e-05,0.0004149002988130668
AVD WBbt:0006818,0.6827087228680595,5,7.323767563705644,5.175775867419638e-05,0.0004149002988130668
AVM WBbt:0003832,1.4457361190147142,7,4.841824111560954,9.317747467352057e-05,0.0007241220888913599
SDQR WBbt:0004991,0.7630273961466547,5,6.552844662262945,9.934164677290107e-05,0.0007505813311730304
ALM WBbt:0005406,5.501829119583774,15,2.726366027364875,0.00013222012826201196,0.0009719966185747907
ASK WBbt:0005668,2.18868384684172,8,3.6551647290420832,0.0003412448224512212,0.002442594518598215
PVQ WBbt:0006976,1.044142752621738,5,4.788617253192153,0.0005795335286586129,0.004041874866542121
FLP WBbt:0006828,6.2849361840500775,15,2.386659078268293,0.00058735752553515,0.004041874866542121
PQR WBbt:0004096,1.144541094219982,5,4.368563108175297,0.0009503152252388131,0.006304530274755053
IL2 neuron WBbt:0005118,0.9035850743841964,4,4.426810616284301,0.00198875332622152,0.01287954535076794
ADE WBbt:0005415,0.6626290545484107,3,4.52741994847258,0.004108173457739124,0.025986585593140505
CAN WBbt:0006827,1.5260547922933094,5,3.2764223311314726,0.004175621528836777,0.025986585593140505
RIC WBbt:0006834,0.6827087228680595,3,4.394260538223387,0.004583686823364588,0.027705840354559287
osmosensory neuron WBbt:0008433,2.088285505243476,6,2.8731703519152916,0.004925744818093647,0.02912614327220591
nociceptor neuron WBbt:0008434,2.088285505243476,6,2.8731703519152916,0.004925744818093647,0.02912614327220591
ADL WBbt:0005661,2.1083651735631252,6,2.8458068247541926,0.005189645783804185,0.029407992774890385
CEP WBbt:0005244,0.7429477278270059,3,4.037969143232301,0.006228959494251758,0.034577081274213835
PVM WBbt:0004086,1.2047800991789286,4,3.3201079622132252,0.0069738616330262205,0.03728606800433067
BDU WBbt:0006826,0.7630273961466547,3,3.931706797357767,0.006854056618443139,0.03728606800433067
ray 1 WBbt:0006942,0.7831070644663036,3,3.8308938025537214,0.007519285035026205,0.03933164479859861
PHB WBbt:0007808,1.8071701487683929,5,2.7667566351776878,0.009438528310211192,0.0484392396297631
