Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,219.83263598326357,1141,5.190312143129045,0.0,0.0
pharynx WBbt:0003681,112.46423142619842,719,6.393143765640937,0.0,0.0
PVD WBbt:0006831,64.35428517700156,459,7.13239217462451,1.5558937734939498e-264,1.4158633338794944e-262
labial sensillum WBbt:0005107,66.64629464215756,462,6.932118319264502,8.215470351314638e-261,5.60705851477224e-259
hermaphrodite WBbt:0007849,50.06816792816511,292,5.8320488262910795,9.127190560914081e-138,4.9834460462590885e-136
sex organ WBbt:0008422,35.62628304577437,211,5.922593713436145,1.7954258330537226e-99,8.169187540394438e-98
corpus WBbt:0003733,47.24209800510867,232,4.910874194768233,1.5297224462591052e-92,5.965917540410511e-91
tail WBbt:0005741,41.10040273925376,207,5.036446998177478,2.8120290016051414e-84,9.596048967977546e-83
striated muscle WBbt:0005779,32.15489006942159,181,5.629003850090161,2.2418957186222306e-81,6.800417013154099e-80
excretory secretory system WBbt:0006850,20.984125491670977,139,6.62405493405822,1.3510093573296318e-71,3.688255545509895e-70
excretory cell WBbt:0005812,19.13716640809866,129,6.74080985915493,2.0311950677808244e-67,5.041056850037864e-66
reproductive tract WBbt:0005744,38.38559541159325,170,4.428744641763625,1.0506120074610276e-60,2.390142316973838e-59
coelomic system WBbt:0005749,19.982762133107673,119,5.955132689231156,3.084240916131351e-56,6.476905923875837e-55
retrovesicular ganglion WBbt:0005656,23.854700452885776,127,5.323898334034055,2.565666678630257e-54,5.003050023329002e-53
ventral nerve cord WBbt:0005829,31.242536787175027,144,4.609100758396533,1.457285222016415e-53,2.652259104069875e-52
anal depressor muscle WBbt:0004292,10.325168852741605,86,8.329161607576493,3.723877883277014e-53,6.3264413984048304e-52
pharyngeal interneuron WBbt:0003668,22.853337094322473,123,5.3821461387605085,3.7078044825815857e-53,6.3264413984048304e-52
nerve ring WBbt:0006749,19.55996427060317,111,5.674856991780031,2.144567377042596e-50,3.25259385518127e-49
midbody WBbt:0005740,16.177581370567125,95,5.872324040529283,1.2396978285514776e-44,1.7812500378660704e-43
male WBbt:0007850,14.998197859370347,84,5.6006728800100305,4.4573431581933396e-38,6.084273410933909e-37
somatic gonad WBbt:0005785,11.393289768542461,73,6.407280204665493,2.6637789858513107e-37,3.462912681606704e-36
dorsal nerve cord WBbt:0006750,13.307006409352327,76,5.711277026708747,3.2215002520486267e-35,3.997588949133068e-34
lateral nerve cord WBbt:0006769,9.212542898782381,60,6.512859767299448,1.952768398716177e-31,2.317851186302245e-30
Psub1 WBbt:0006874,5.1848369454499865,46,8.872024421205344,9.260261969048832e-31,1.0533547989793047e-29
spermatheca WBbt:0005319,12.238885493551471,65,5.310941101152369,1.5216932785022005e-28,1.661689060124403e-27
cephalic sheath cell WBbt:0008406,6.742513280992902,47,6.970694463812578,1.90040227671926e-26,1.9954223905552229e-25
AVA WBbt:0005842,12.839703508689452,56,4.361471428222716,1.1170263962287945e-20,1.1294378006313366e-19
intestinal muscle WBbt:0005796,4.450503815836899,32,7.190197183098591,3.458169715409881e-19,3.371715472524634e-18
hermaphrodite distal tip cell WBbt:0006863,4.316988701361791,31,7.180931465079135,1.2035349590156877e-18,1.1329829096940785e-17
posterior gonad arm WBbt:0005466,4.539513892153637,31,6.82892502071251,5.589946194908053e-18,5.086851037366328e-17
amphid sensillum WBbt:0005391,30.241173428611724,85,2.810737493393029,9.732826574596901e-18,8.571166628596626e-17
head muscle WBbt:0006761,3.9609483960948393,25,6.31161971830986,4.0119001543134167e-14,3.346530839685521e-13
pharyngeal-intestinal valve WBbt:0005767,3.6271606099070723,24,6.616745874017108,3.922673511719292e-14,3.346530839685521e-13
gonadal primordium WBbt:0008366,13.37376396658988,42,3.140477139040566,3.430430249395227e-11,2.754433700249697e-10
BAG WBbt:0006825,10.681209158008556,36,3.370404929577465,9.941293830686701e-11,7.754209187935626e-10
AVE WBbt:0006819,10.080391142870575,34,3.372884992071635,2.969096334921254e-10,2.2515647206486175e-09
anal sphincter muscle WBbt:0005798,2.8705749612147993,17,5.9221585325908945,6.910983113329839e-10,5.022361823739889e-09
FLP WBbt:0006828,6.965038471784745,27,3.8765040723574677,6.80686401019692e-10,5.022361823739889e-09
uterine muscle WBbt:0005342,2.937332518452353,17,5.787564020486555,1.0112863783484005e-09,7.079004648438803e-09
somatic cell WBbt:0008378,0.8901007631673797,9,10.111214788732394,1.332702985850126e-08,9.095697878427111e-08
hyp7 syncytium WBbt:0005734,3.3601303809568583,16,4.761719988807014,5.409700692425074e-08,3.6020689976391344e-07
lateral ganglion WBbt:0005105,11.771582592888596,32,2.7184110333075964,1.626341779672068e-07,1.0571221567868442e-06
Z4.a WBbt:0007025,13.774309310015202,35,2.540962251700835,2.5120782953084576e-07,1.594877615393509e-06
Z1.p WBbt:0007023,13.796561829094385,35,2.536863925488414,2.610884538673401e-07,1.6199351796769055e-06
male distal tip cell WBbt:0006864,13.841066867252755,35,2.5287068067569405,2.8194733789874757e-07,1.7104805165857352e-06
rectal valve cell WBbt:0005797,0.9346058013257488,8,8.559758551307846,3.003667782871726e-07,1.7826115320086548e-06
Eara WBbt:0006161,0.9568583204049332,8,8.36069439895185,3.7236516034332433e-07,2.1628869951856925e-06
Epla WBbt:0006661,0.9791108394841176,8,8.17067861715749,4.588631218944099e-07,2.609784005774456e-06
pm7 WBbt:0003721,0.8455957250090106,7,8.278187546330617,1.5924550303162664e-06,8.872249454619198e-06
AWB WBbt:0005671,18.936893736386004,41,2.1650858145346814,1.994177884017945e-06,1.0725917342185817e-05
anchor cell WBbt:0004522,1.4686662592261766,9,6.128008962868117,1.964453725675058e-06,1.0725917342185817e-05
Eala WBbt:0006104,0.8901007631673797,7,7.864278169014084,2.407444256885019e-06,1.263908234864635e-05
EMS WBbt:0006876,1.5354238164637297,9,5.861573790569505,2.9808413904358983e-06,1.5354145275264155e-05
vulA WBbt:0006762,1.223888549355147,8,6.536542893725993,3.3050462076147317e-06,1.6708844716274478e-05
uterine seam cell WBbt:0006789,0.9346058013257488,7,7.4897887323943655,3.552072740214033e-06,1.7631197419607837e-05
Ealp WBbt:0006546,0.9346058013257488,7,7.4897887323943655,3.552072740214033e-06,1.7631197419607837e-05
Earp WBbt:0006646,0.9568583204049332,7,7.315607599082869,4.278863043941885e-06,2.0493501947300607e-05
vulB2 WBbt:0006764,1.2683935875135162,8,6.307190511489992,4.493743788099652e-06,2.0831658299358117e-05
vulD WBbt:0006766,1.6021813737012836,9,5.617341549295774,4.425773558105388e-06,2.0831658299358117e-05
vulB1 WBbt:0006763,1.2906461065927006,8,6.198445847498785,5.214307764116644e-06,2.372510032673073e-05
thermosensory neuron WBbt:0005838,18.62535846927742,39,2.093919430561866,7.373249472478761e-06,3.299831321289675e-05
Epra WBbt:0006321,1.045868396721671,7,6.693002697033264,8.576391781210686e-06,3.7763789617266406e-05
Eplp WBbt:0006496,1.045868396721671,7,6.693002697033264,8.576391781210686e-06,3.7763789617266406e-05
cephalic sensillum WBbt:0006920,1.045868396721671,7,6.693002697033264,8.576391781210686e-06,3.7763789617266406e-05
Eprp WBbt:0006507,1.1126259539592247,7,6.291422535211267,1.3803820236305175e-05,5.797604499248174e-05
CEP WBbt:0005244,0.8233432059298262,6,7.287362009897221,1.5283735805447224e-05,6.308432852082847e-05
ALM WBbt:0005406,6.097190227696551,18,2.952179500359823,1.5251156345694793e-05,6.308432852082847e-05
excretory duct cell WBbt:0004540,0.8455957250090106,6,7.095589325426243,1.8375315335113997e-05,7.377148656597238e-05
PLM WBbt:0005490,6.2307053421716585,18,2.888918511066398,2.0604949708131972e-05,8.152393145391346e-05
hyp6 WBbt:0004679,1.2906461065927006,7,5.423640116561438,4.2119757456526e-05,0.0001642670540804514
pm6 WBbt:0003724,0.9791108394841176,6,6.128008962868118,4.967745807636279e-05,0.00019101332471615552
AB WBbt:0004015,2.5367871750270323,10,3.941994069681245,5.072108101466906e-05,0.00019231743218062018
hmc WBbt:0004697,1.357403663830254,7,5.156903717386285,6.101401328632685e-05,0.00022817569352283874
vulF WBbt:0006768,1.4686662592261766,7,4.766229193341869,0.00010790327591247145,0.0003980755989743879
pm5 WBbt:0003737,0.8455957250090106,5,5.912991104521869,0.00018028941406386342,0.0006562534671924629
hyp4 WBbt:0004687,1.2016360302759626,6,4.993192488262911,0.0001892855132099081,0.0006799334882408541
Psub2 WBbt:0006873,1.0013633585633022,5,4.993192488262911,0.0004660193750983559,0.0016522505117123527
vulE WBbt:0006767,1.4019087019886232,6,4.279879275653923,0.0004973329992178372,0.0017406654972624302
Psub3 WBbt:0006875,1.4019087019886232,6,4.279879275653923,0.0004973329992178372,0.0017406654972624302
hyp5 WBbt:0004685,1.1348784730384092,5,4.405758077879039,0.0009202789746289966,0.003140452000921451
AVM WBbt:0003832,1.6021813737012836,6,3.7448943661971827,0.0011143221476771898,0.0037556783495786765
Epr WBbt:0006547,0.8010906868506418,4,4.993192488262911,0.001151279350100718,0.0038329178363109267
oocyte WBbt:0006797,3.248867785560936,9,2.770195832529423,0.0016724392972736837,0.0055009147970568155
PVM WBbt:0004086,1.3351511447510696,5,3.744894366197183,0.002160570428729926,0.007021853893372259
