Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
striated muscle WBbt:0005779,74.8284692301439,283,3.7819830194521247,1.6134745181738094e-103,4.3886506894327616e-101
anal depressor muscle WBbt:0004292,24.027965206080804,95,3.953726384452986,3.7016112729459995e-33,5.034191331206559e-31
anal sphincter muscle WBbt:0005798,6.680188602552637,42,6.287247636084846,6.727175571697889e-24,6.099305851672753e-22
sex organ WBbt:0008422,82.90683684253312,173,2.086679538004603,2.9976995587484336e-23,2.038435699948935e-21
hermaphrodite WBbt:0007849,116.51491748638323,203,1.7422661782661781,6.673563789083209e-18,3.6304187012612657e-16
uterine muscle WBbt:0005342,6.835541825867815,29,4.242531278245564,4.043475941129879e-12,1.833042426645545e-10
intestinal muscle WBbt:0005796,10.356881554345176,34,3.282841444270016,1.7368254853353823e-10,6.748807600160342e-09
dorsal nerve cord WBbt:0006750,30.967075847492076,65,2.0990034809910583,3.421998405607615e-09,1.163479457906589e-07
ALM WBbt:0005406,14.18892772945289,38,2.6781445874250878,7.887420852184383e-09,2.383753857549058e-07
nerve ring WBbt:0006749,45.518494431347044,84,1.8454037430146646,1.0493066745144833e-08,2.8541141546793944e-07
PLM WBbt:0005490,14.499634176083246,37,2.551788517604844,4.54209297895781e-08,1.1231357184332038e-06
lateral nerve cord WBbt:0006769,21.438744817494513,47,2.1922925245906613,1.2047902793277136e-07,2.7308579664761513e-06
somatic gonad WBbt:0005785,26.51361677912365,50,1.885823439952904,4.957277687042368e-06,0.00010372150237504031
head muscle WBbt:0006761,9.217624583367206,23,2.49521986841409,1.5585692629508456e-05,0.00030280774251616427
spermatheca WBbt:0005319,28.48142427444923,48,1.6853089767375484,0.00013625690048851358,0.0024707917955250464
tail WBbt:0005741,95.6458011543777,127,1.3278157375148636,0.00023022105109093413,0.0039137578685458805
PVD WBbt:0006831,149.76050727583123,186,1.241982972569813,0.00028198499772141426,0.004511759963542628
labial sensillum WBbt:0005107,155.094301276319,189,1.2186134399823882,0.0006886544293138661,0.010406333598520643
ventral nerve cord WBbt:0005829,72.70530851150312,96,1.3203987709482217,0.0016483895894432847,0.023597998333082813
male WBbt:0007850,34.902690838143236,51,1.4612053906246363,0.002446708968005917,0.03327524196488047
