Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,161.46861924686192,799,4.948329921484284,0.0,0.0
striated muscle WBbt:0005779,23.617993198877972,384,16.25879035388336,0.0,0.0
pharynx WBbt:0003681,82.60576998417251,458,5.544406886925139,7.594476352672681e-225,6.91097348093214e-223
hermaphrodite WBbt:0007849,36.775421935969156,277,7.532204538191116,1.6534604263430695e-161,1.128486740979145e-159
sex organ WBbt:0008422,26.167755786438498,231,8.827658049289665,1.1703126270010439e-148,6.3899069434257e-147
PVD WBbt:0006831,47.26867566169903,279,5.902428957324666,9.23055103194791e-135,4.1999007195362986e-133
labial sensillum WBbt:0005107,48.95217275476784,283,5.7811529922834,1.6430478350784456e-134,6.407886556805938e-133
anal depressor muscle WBbt:0004292,7.583909234795418,127,16.7459810063808,1.1066497953496421e-117,3.776442426630654e-116
retrovesicular ganglion WBbt:0005656,17.52144547349286,159,9.074593773701007,6.744358650534222e-103,2.0457887906620475e-101
pharyngeal interneuron WBbt:0003668,16.78593703477348,155,9.233920017625735,1.9710190763885006e-101,5.380882078540607e-100
tail WBbt:0005741,30.188535251437795,185,6.128154230046288,6.43756708041888e-90,1.5976871026857765e-88
nerve ring WBbt:0006749,14.366931502985286,113,7.865284245040068,3.970256152153942e-66,9.032332746150219e-65
ventral nerve cord WBbt:0005829,22.947863288044754,136,5.926477698289779,6.95738064756405e-64,1.4610499359884507e-62
reproductive tract WBbt:0005744,28.19449015090969,147,5.2137846512985115,9.217666745606899e-62,1.7974450153933453e-60
dorsal nerve cord WBbt:0006750,9.774089918982027,88,9.003395787171684,8.765232126381745e-57,1.5952722470014775e-55
anal sphincter muscle WBbt:0005798,2.1084575243288985,49,23.239737786795693,7.811325580342614e-55,1.3328074271459586e-53
corpus WBbt:0003733,34.69965367558334,138,3.97698493737719,3.826471267035297e-44,6.1448626817684475e-43
ALM WBbt:0005406,4.478429160202467,55,12.28109188122415,7.785694382742658e-44,1.1808303147159697e-42
PLM WBbt:0005490,4.576496952031718,54,11.799417887960553,4.332639390035951e-42,6.22531870252534e-41
intestinal muscle WBbt:0005796,3.26892639430837,47,14.377809204218599,2.757088244551442e-41,3.763425453812718e-40
lateral nerve cord WBbt:0006769,6.766677636218326,61,9.014763711145386,5.855106783915332e-40,7.611638819089931e-39
somatic gonad WBbt:0005785,8.368451569429427,63,7.528274433724833,2.212845138156679e-36,2.745939648712606e-35
spermatheca WBbt:0005319,8.989547584348017,64,7.119379412533775,1.9040757165394508e-35,2.260055089631609e-34
male WBbt:0007850,11.016281948819206,70,6.354230976042061,2.3446610854558982e-35,2.667051984706084e-34
coelomic system WBbt:0005749,14.67747951044458,80,5.450527111488831,2.497261117436645e-35,2.7270091402408166e-34
uterine muscle WBbt:0005342,2.157491420243524,36,16.686045498126038,7.512581956768125e-35,7.88821105460653e-34
excretory cell WBbt:0005812,14.05638349552599,72,5.122227920354969,3.0221453444923246e-30,3.055724737208906e-29
excretory secretory system WBbt:0006850,15.412987949163965,74,4.801145647039446,3.1257206614820123e-29,3.047577644944962e-28
midbody WBbt:0005740,11.882547443310925,64,5.386050449647285,2.5554620860514395e-28,2.4056591361794584e-27
head muscle WBbt:0006761,2.909344490934449,32,10.999041227229148,6.277650090021796e-25,5.712661581919834e-24
amphid sensillum WBbt:0005391,22.212354849325372,63,2.8362593893061914,8.928261652985555e-14,7.862630423435666e-13
posterior lateral ganglion WBbt:0005465,2.8276213310767395,18,6.365774583100107,8.920506900234655e-11,7.610307449262691e-10
FLP WBbt:0006828,5.115869807092598,24,4.691284357300611,1.1212877669302409e-10,9.276107890059267e-10
lateral ganglion WBbt:0005105,8.646310312945637,30,3.469688099799365,1.5752021662476743e-09,1.2647946805459268e-08
AVM WBbt:0003832,1.176813501951013,11,9.347275487376159,2.133795694825713e-09,1.664360641964056e-08
Psub1 WBbt:0006874,3.8082992493692505,19,4.989103732629959,2.3210231661252103e-09,1.760109234311618e-08
gonadal primordium WBbt:0008366,9.823123814896652,32,3.2576195315254375,2.391398641332516e-09,1.7644644029291265e-08
AVE WBbt:0006819,7.404118283108457,27,3.6466192148222465,3.027817235641306e-09,2.1752476456054643e-08
hermaphrodite distal tip cell WBbt:0006863,3.1708586024791185,17,5.361323897164207,4.260081907325108e-09,2.982057335127576e-08
posterior gonad arm WBbt:0005466,3.334304922194537,17,5.098513902205178,9.418400930974634e-09,6.428058635390188e-08
AWB WBbt:0005671,13.909281807782113,37,2.6600942098461795,4.009491761731719e-08,2.669734758421364e-07
preanal ganglion WBbt:0005448,2.8929998589629076,15,5.1849293920730615,4.409472855690988e-08,2.8661573561991424e-07
