Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
thermosensory neuron WBbt:0005838,153.97400216256875,352,2.2861002185833392,7.947271022160878e-58,2.1696049890499198e-55
AWB WBbt:0005671,156.54943350101078,351,2.242103290637163,3.0967755695532865e-55,4.227098652440236e-53
amphid sensillum WBbt:0005391,250.00079921019227,450,1.7999942457050113,9.459489134113688e-40,8.608135112043456e-38
ventral nerve cord WBbt:0005829,258.2789713694702,451,1.7461739049395577,3.046639954348271e-36,2.079331768842695e-34
retrovesicular ganglion WBbt:0005656,197.20445677213107,332,1.6835319314493213,4.6306895332220114e-24,2.5283564851392182e-22
BAG WBbt:0006825,88.30050303229748,175,1.9818686642814551,2.270367413441526e-21,1.0330171731158943e-19
pharyngeal interneuron WBbt:0003668,188.92628461285318,310,1.640851619112981,1.0784072736742897e-20,4.20578836732973e-19
AVE WBbt:0006819,83.33359973673076,156,1.8719940155332115,1.2281883791986114e-16,4.1911928440152614e-15
posterior lateral ganglion WBbt:0005465,31.824972967890552,76,2.3880617299087525,2.574709467687641e-15,7.809952051985844e-14
lateral ganglion WBbt:0005105,97.31451271684452,168,1.7263612107767383,4.091908628648176e-14,1.117091055620952e-12
FLP WBbt:0006828,57.57928635231065,105,1.8235724450896456,4.694360224871419e-11,1.1650548558089976e-09
SMD WBbt:0005353,7.910253396643317,25,3.1604550128076356,1.1603975867815094e-09,2.6399045099279337e-08
PHA WBbt:0007807,16.372384937238493,39,2.382059800664452,8.05690995243849e-09,1.691951090012083e-07
PHB WBbt:0007808,16.55634431855578,39,2.355592469545958,1.192646135788534e-08,2.3256599647876412e-07
osmosensory neuron WBbt:0008433,19.13177565699779,43,2.2475697379543536,1.4357283550827062e-08,2.613025606250525e-07
nociceptor neuron WBbt:0008434,19.13177565699779,43,2.2475697379543536,1.4357283550827062e-08,2.613025606250525e-07
PDE WBbt:0006747,8.27817215927789,24,2.899190731748871,2.681542419814378e-08,4.306241650643089e-07
postdeirid sensillum WBbt:0005471,9.014009684547036,25,2.7734605214434356,5.042265906819196e-08,7.647436625342447e-07
ASK WBbt:0005668,20.051572563584223,43,2.144470208690392,7.628197262637177e-08,1.0789886459993224e-06
ASG WBbt:0005664,11.40548164167176,29,2.542637032884595,7.509444789006274e-08,1.0789886459993224e-06
AVM WBbt:0003832,13.245075454844624,32,2.4159922764573927,8.911751109596668e-08,1.1585276442475669e-06
preanal ganglion WBbt:0005448,32.5608104931597,61,1.8734177397953513,1.1114794895572265e-07,1.3792450029505582e-06
nerve ring WBbt:0006749,161.70029617789478,222,1.3729102867923408,1.5250842781947742e-07,1.8102087302051016e-06
