Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
PVD WBbt:0006831,98.797423722439,2180,22.065352697095435,0.0,0.0
labial sensillum WBbt:0005107,102.31614247880526,2180,21.30651085141903,0.0,0.0
nervous system WBbt:0005735,337.489539748954,2180,6.45945945945946,0.0,0.0
pharynx WBbt:0003681,172.65635528810745,959,5.554385753132227,0.0,0.0
hermaphrodite WBbt:0007849,76.8652155516901,511,6.648000611620795,4.490628775724057e-277,2.4518833115453352e-275
tail WBbt:0005741,63.097801388431826,452,7.163482562846768,5.303674160500252e-258,2.4131717430276148e-256
amphid sensillum WBbt:0005391,46.42659019322082,381,8.20650404034267,3.7493038074819156e-239,1.462228484917947e-237
sex organ WBbt:0008422,54.69387115478037,396,7.240299354188037,2.6974294428666655e-226,9.204977973782496e-225
AWB WBbt:0005671,29.072132637550343,304,10.456749210319215,6.964144384809261e-225,2.112457130058809e-223
thermosensory neuron WBbt:0005838,28.593860185228714,296,10.351872677649535,2.4892450570729145e-217,6.795639005809057e-216
ventral nerve cord WBbt:0005829,47.96389450425462,355,7.401400650827257,2.1364144699390204e-205,5.302192275394114e-204
corpus WBbt:0003733,72.52660116277247,373,5.142940576559915,4.474489027678743e-158,1.017946253796914e-156
retrovesicular ganglion WBbt:0005656,36.622004920627454,256,6.990332739969876,3.136986538002201e-140,6.587671729804622e-139
reproductive tract WBbt:0005744,58.92999858962907,318,5.39623294774631,4.79503233206778e-140,9.350313047532171e-139
nerve ring WBbt:0006749,30.0286775421936,230,7.659344960390769,3.396412599824442e-135,6.181470931680484e-134
pharyngeal interneuron WBbt:0003668,35.08470060959366,243,6.926095870219664,5.268606115993859e-132,8.989559185414521e-131
dorsal nerve cord WBbt:0006750,20.42906617773808,176,8.61517596882575,6.723473486548388e-113,1.079710742251594e-111
midbody WBbt:0005740,24.836005202701642,183,7.368334742500916,2.9813508608986015e-104,4.521715472362878e-103
excretory secretory system WBbt:0006850,32.21506589566389,183,5.680571959489041,9.499629834856769e-84,1.3649468131136306e-82
somatic gonad WBbt:0005785,17.49110682776237,134,7.661036052178899,6.372931211940704e-79,8.699051104299062e-78
