Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
BAG WBbt:0006825,17.715632875375988,454,25.62708333333333,0.0,0.0
nervous system WBbt:0005735,364.609869116332,454,1.2451665148294362,0.0,0.0
amphid sensillum WBbt:0005391,50.15738557840826,171,3.409268605770633,6.029523233327772e-53,5.466767731550514e-51
thermosensory neuron WBbt:0005838,30.891634826436878,132,4.273001436849667,5.758892409456514e-51,3.9160468384304296e-49
AWB WBbt:0005671,31.408340785302006,131,4.170866614555563,2.740663823859952e-49,1.4909211201798138e-47
PHA WBbt:0007807,3.2847735956426307,24,7.306439637677572,7.397492405066758e-16,3.35352989029693e-14
ASI WBbt:0005666,5.277782294122429,29,5.494732140106589,5.550355202442681e-15,2.156709450092013e-13
PHB WBbt:0007808,3.3216811641329973,23,6.924204601076847,1.0332666540269708e-14,3.513106623691701e-13
ASG WBbt:0005664,2.288269246402731,19,8.30321870115106,3.1937031864712575e-14,9.652080741335356e-13
osmosensory neuron WBbt:0008433,3.8383871229981303,24,6.252626228397153,3.917033320983923e-14,1.065433063307627e-12
nociceptor neuron WBbt:0008434,3.8383871229981303,24,6.252626228397153,3.917033320983923e-14,1.065433063307627e-12
ASK WBbt:0005668,4.022924965449963,24,5.965808511498202,1.249086306976689e-13,2.8312622958138283e-12
PQR WBbt:0004096,2.1037314039508983,17,8.080879511554215,9.504257690116843e-13,1.9885831474706012e-11
PDE WBbt:0006747,1.6608405820664986,15,9.031571218795888,2.2031131473444644e-12,4.2803341148406735e-11
lateral ganglion WBbt:0005105,19.52410373140395,54,2.765811980047134,2.403250449659106e-12,4.357894148715179e-11
postdeirid sensillum WBbt:0005471,1.808470856027965,15,8.294300098894185,9.953672173468786e-12,1.6921242694896938e-10
ASJ WBbt:0005667,3.1002357531907974,19,6.128566184182924,1.7542444097299944e-11,2.806791055567991e-10
ray 6 WBbt:0006951,1.4024876026339321,13,9.269244145606306,3.0642991663323744e-11,4.6304965180133655e-10
ray 4 WBbt:0006949,1.439395171124299,13,9.031571218795888,4.62086447326663e-11,6.615132298571175e-10
ray 1 WBbt:0006942,1.439395171124299,13,9.031571218795888,4.62086447326663e-11,6.615132298571175e-10
ray 8 WBbt:0006953,1.4763027396146655,13,8.80578193832599,6.871930578675893e-11,8.900786273332586e-10
ventral nerve cord WBbt:0005829,51.81822616047476,98,1.891226451799139,8.241504493912367e-11,1.0189496465200745e-09
ray 2 WBbt:0006945,1.513210308105032,13,8.591006769098527,1.0087166171418051e-10,1.1929170428807432e-09
ray 9 WBbt:0006954,1.513210308105032,13,8.591006769098527,1.0087166171418051e-10,1.1929170428807432e-09
ray 7 WBbt:0006952,1.5501178765953987,13,8.386458988881897,1.4626223131156373e-10,1.5913330766698134e-09
ASEL WBbt:0003904,4.871799040728396,22,4.515785609397945,4.5935042993604485e-10,4.805512190100161e-09
ASER WBbt:0003903,4.871799040728396,22,4.515785609397945,4.5935042993604485e-10,4.805512190100161e-09
ray 3 WBbt:0006948,1.439395171124299,12,8.336834971196204,6.721173201607858e-10,6.529139681561919e-09
ADL WBbt:0005661,3.875294691488497,19,4.902852947346339,1.2570367005409158e-09,1.1790137329211346e-08
ray 5 WBbt:0006950,1.513210308105032,12,7.9301600945524875,1.3627500817232379e-09,1.2355600740957357e-08
AQR WBbt:0003927,1.217949760182099,10,8.210519289814444,1.4240050287622015e-08,1.249449573623609e-07
tail WBbt:0005741,68.16827900170718,112,1.642992923397628,1.4269401248952333e-08,1.249449573623609e-07
URX WBbt:0006846,1.808470856027965,12,6.635440079115347,1.550133207508974e-08,1.2776855528558815e-07
ADF WBbt:0005660,3.063328184700431,15,4.896634998142349,4.8323349699120213e-08,3.865867975929617e-07
posterior lateral ganglion WBbt:0005465,6.385009348833428,22,3.445570522777622,9.417369460476644e-08,7.318641409284707e-07
AWA WBbt:0005670,1.6977481505568655,10,5.89015514269297,6.356320790874178e-07,4.802553486438268e-06
AWC WBbt:0005672,4.39200065035363,16,3.642986710102543,1.6439393213177806e-06,1.208517555130909e-05
ADE WBbt:0005415,1.217949760182099,8,6.568415431851555,2.0546714188208667e-06,1.4707121734717782e-05
CEP WBbt:0005244,1.3655800341435655,8,5.858316466245982,5.810952236458438e-06,4.0527666879915256e-05
cephalic sensillum WBbt:0006920,1.7346557190472318,8,4.611866154278752,4.585136529322435e-05,0.0003117892839939256
IL2 neuron WBbt:0005118,1.6608405820664986,7,4.214733235438081,0.00020958899652991954,0.0013904440745399539
AVE WBbt:0006819,16.719128526136085,31,1.8541636276998184,0.0003313307939986537,0.0021457613325627095
Psub3 WBbt:0006875,2.325176814893098,8,3.440598559541291,0.0004723500636876705,0.002987888774954567
RIC WBbt:0006834,1.2548573286724656,5,3.984516714174657,0.0013647040809892166,0.008436352500660611
BDU WBbt:0006826,1.4024876026339321,5,3.565093902156272,0.0024736593716726753,0.014951896646554837
male WBbt:0007850,24.875701162507113,38,1.5275951319625094,0.00351437204815894,0.020780634719548514
labial sensillum WBbt:0005107,110.53816762864808,134,1.2122509615879622,0.00437407455905459,0.02531379319282657
nerve ring WBbt:0006749,32.44175270303227,46,1.417925856875805,0.006374405417151329,0.03612163069719086
ABprpppa WBbt:0005943,1.217949760182099,4,3.2842077159257776,0.006767807961443525,0.037568240112502836
ABprpppp WBbt:0006179,1.2548573286724656,4,3.1876133713397254,0.007699377596093675,0.041884614122749596
