Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
ventral nerve cord WBbt:0005829,139.22730478115744,427,3.0669271424249303,2.0844682484108885e-104,5.6905983181617256e-102
BAG WBbt:0006825,47.59907855766066,179,3.7605769990518336,4.336217983601201e-59,5.91893754761564e-57
amphid sensillum WBbt:0005391,134.76489116637677,291,2.1593161058597965,2.0855937322128523e-37,1.8978902963136955e-35
AVE WBbt:0006819,44.92163038879225,137,3.0497557371421875,3.5800292847648614e-34,2.4433699868520178e-32
thermosensory neuron WBbt:0005838,83.00089323492078,198,2.385516496064598,7.75229211970924e-32,4.232751497361245e-30
AWB WBbt:0005671,84.38919969285256,197,2.3344219487447653,2.2824349754874913e-30,1.0385079138468086e-28
lateral ganglion WBbt:0005105,52.45815116042185,134,2.554417131290344,4.265883872521383e-25,1.663694710283339e-23
FLP WBbt:0006828,31.038565809474555,72,2.3196948094174483,3.3892627825585697e-12,1.1565859245481119e-10
ASER WBbt:0003903,13.089746603356682,41,3.1322225893575455,3.760365521698325e-12,1.1565859245481119e-10
osmosensory neuron WBbt:0008433,10.313133687493144,34,3.296767115627735,3.866488629182514e-11,1.0555513957668265e-09
nociceptor neuron WBbt:0008434,10.313133687493144,34,3.296767115627735,3.866488629182514e-11,1.0555513957668265e-09
PHB WBbt:0007808,8.924827229561375,30,3.361409608091024,2.5424691221217126e-10,5.784117252826896e-09
posterior lateral ganglion WBbt:0005465,17.155501230156865,44,2.5647749610867927,1.1519950293085992e-09,2.419189561548058e-08
ASEL WBbt:0003904,13.089746603356682,36,2.7502442248017474,3.702904866116575e-09,7.220664488927321e-08
ASJ WBbt:0005667,8.329838747590617,27,3.2413592649449154,4.2707357661768875e-09,7.507435381536965e-08
PHA WBbt:0007807,8.825662482566248,28,3.172566371681416,4.124964495349981e-09,7.507435381536965e-08
SMD WBbt:0005353,4.264084120790435,18,4.2213050892305874,6.287187953565246e-09,1.0096484184254777e-07
ASI WBbt:0005666,14.180558820303073,37,2.6092060594272986,1.1527569695240543e-08,1.7483480704448154e-07
ASK WBbt:0005668,10.808957422468776,30,2.7754758231944234,4.550989622257664e-08,6.539053509875485e-07
retrovesicular ganglion WBbt:0005656,106.30460877877547,159,1.4957018498688606,1.215782563582537e-07,1.659543199290163e-06
ADE WBbt:0005415,3.2724366508391705,14,4.27815768302494,1.5718876255140919e-07,2.0434539131683194e-06
ASG WBbt:0005664,6.148214313697836,20,3.2529770400880875,2.6238941701980057e-07,3.2560141293820705e-06
AIY WBbt:0005413,7.734850265619858,23,2.9735546533112904,2.933510121889282e-07,3.4819489707642347e-06
AWC WBbt:0005672,11.80060489242004,30,2.5422425607411108,3.967322347584339e-07,4.512829170377185e-06
preanal ganglion WBbt:0005448,17.55216021813737,39,2.2219487239923716,5.615897941609535e-07,6.132560552237612e-06
ADL WBbt:0005661,10.41229843448827,27,2.593087411955933,8.494887046030998e-07,8.919631398332548e-06
RIC WBbt:0006834,3.3716013978342967,13,3.8557345504573517,1.7747994777171593e-06,1.7945194719140167e-05
pharyngeal interneuron WBbt:0003668,101.8421951639948,147,1.4434095785473626,2.642738092447834e-06,2.5766696401366383e-05
PLM WBbt:0005490,27.76612915863539,52,1.8727853530792846,3.41816760524527e-06,3.217792262868823e-05
