Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
coelomic system WBbt:0005749,8.007177220942442,569,71.06124721603562,0.0,0.0
nervous system WBbt:0005735,88.0878661087866,375,4.257113000522492,8.858788308247588e-165,1.209224604075796e-162
pharynx WBbt:0003681,45.064892733455565,199,4.415854292098761,1.6810042720915978e-76,1.529713887603354e-74
PVD WBbt:0006831,25.787033989939356,120,4.653501447542095,1.6957178221420863e-46,1.1573274136119739e-44
labial sensillum WBbt:0005107,26.7054518671744,121,4.5309100404599345,1.0507460783164995e-45,5.737073587608087e-44
hermaphrodite WBbt:0007849,20.062526444454893,101,5.034261277094317,6.175142635867308e-42,2.809689899319625e-40
sex organ WBbt:0008422,14.275602150032125,73,5.113619673117307,7.618042106567439e-31,2.971036421561301e-29
ventral nerve cord WBbt:0005829,12.519016501339852,64,5.112222672855362,3.532854076004263e-27,1.2055864534364547e-25
excretory cell WBbt:0005812,7.668343440991647,49,6.389906813258675,2.157390623256528e-25,6.544084890544801e-24
excretory secretory system WBbt:0006850,8.408427749831539,51,6.0653431910646765,2.591987099911855e-25,7.076124782759364e-24
reproductive tract WBbt:0005744,15.381270274082084,67,4.355947123099258,1.9227661004287227e-24,4.771955867427648e-23
corpus WBbt:0003733,18.930108285145657,74,3.909116571618735,4.907695381467793e-24,1.116500699283923e-22
tail WBbt:0005741,16.469105041292526,65,3.946783983527175,1.8016426039436196e-21,3.783449468281601e-20
nerve ring WBbt:0006749,7.837760330967044,42,5.358673680548474,3.6556999721774933e-19,7.128614945746112e-18
striated muscle WBbt:0005779,12.88460031654992,53,4.1134376463290785,1.49594532095772e-18,2.7226204841430502e-17
dorsal nerve cord WBbt:0006750,5.332173695015123,33,6.188845654231151,2.441732739369585e-17,4.1662064865493544e-16
amphid sensillum WBbt:0005391,12.117765972450755,49,4.0436496390010745,5.578374152426337e-17,8.958212609484646e-16
AVA WBbt:0005842,5.14492344820021,32,6.219723251896818,6.102664110194347e-17,9.25570723379476e-16
AWB WBbt:0005671,7.588093335213828,37,4.876060212424544,8.539785606531321e-16,1.2270323529384478e-14
male WBbt:0007850,6.00984125491671,32,5.324599875881994,5.312689113634702e-15,7.251820640111368e-14
thermosensory neuron WBbt:0005838,7.46325983733722,35,4.689639750300786,1.5363509070664336e-14,1.9972561791863637e-13
gonadal primordium WBbt:0008366,5.3589237302743955,28,5.224929745093854,3.482490536816051e-13,4.321454166139918e-12
Z1.p WBbt:0007023,5.528340620249792,27,4.88392482567039,4.288819666251239e-12,4.900957966046264e-11
Z4.a WBbt:0007025,5.519423941830035,27,4.891814849621391,4.1290122058265226e-12,4.900957966046264e-11
male distal tip cell WBbt:0006864,5.546173977089308,27,4.868220887324182,4.626173244127461e-12,5.051781182587187e-11
pharyngeal interneuron WBbt:0003668,9.15742873709119,35,3.822033564753415,5.868517323704846e-12,6.161943189890088e-11
retrovesicular ganglion WBbt:0005656,9.558679265980286,35,3.6615937229494007,1.9482779880852742e-11,1.9699255212862217e-10
lateral nerve cord WBbt:0006769,3.6915048657797,21,5.6887369144953,4.004726402689201e-11,3.9046082426219705e-10
somatic gonad WBbt:0005785,4.565339350915957,23,5.0379606491652025,6.910938853380288e-11,6.505814851630409e-10
midbody WBbt:0005740,6.48242521116387,27,4.165107829320002,1.6807549006165427e-10,1.5294869595610537e-09
hmc WBbt:0004697,0.5439173836052216,9,16.54663055691607,1.7620323763992103e-10,1.551725286312853e-09
cephalic sheath cell WBbt:0008406,2.7017535611865924,16,5.922079729941359,2.9318154673621245e-09,2.5012050705933126e-08
AVE WBbt:0006819,4.039255324150251,19,4.703837335164516,7.312566636103794e-09,6.049486944413139e-08
