Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
coelomic system WBbt:0005749,3.222572203156097,229,71.06124721603564,0.0,0.0
nervous system WBbt:0005735,35.45188284518828,161,4.541366694205123,2.2255193841886135e-78,3.037833959417457e-76
striated muscle WBbt:0005779,5.185542130913764,69,13.30622686269473,4.1725782282142795e-58,3.7970461876749946e-56
ventral nerve cord WBbt:0005829,5.038409101593719,51,10.122242749972008,7.267573761281466e-37,4.9601190920746e-35
pharynx WBbt:0003681,18.1368373215489,74,4.080093937440706,2.8986660653308773e-27,1.582671671670659e-25
AVA WBbt:0005842,2.0706282418942847,25,12.073630357291517,9.765577120934426e-21,4.443337590025164e-19
cephalic sheath cell WBbt:0008406,1.087348972779841,19,17.473691037225993,2.0354329821067832e-19,7.938188630216455e-18
PVD WBbt:0006831,10.37826148276997,44,4.239631085904799,8.452376359643892e-17,2.8843734327284783e-15
labial sensillum WBbt:0005107,10.74788836130569,43,4.000785880397459,1.5350030581964754e-15,4.656175943195975e-14
corpus WBbt:0003733,7.6186200304013285,31,4.068978355174251,9.026063005338988e-12,2.464115200457544e-10
gonadal primordium WBbt:0008366,2.1567548932035794,17,7.882212324437436,9.947703430919778e-12,2.468839124219181e-10
reproductive tract WBbt:0005744,6.190353062855531,25,4.038541864438959,9.412625800104122e-10,2.1413723695236878e-08
Z1.p WBbt:0007023,2.2249384921567703,15,6.74175940273278,1.2396607231339761e-09,2.5441126382279597e-08
pharyngeal interneuron WBbt:0003668,3.685502953943554,19,5.155334356649928,1.3232375300245754e-09,2.5441126382279597e-08
Z4.a WBbt:0007025,2.22134988168555,15,6.752650774950442,1.2114822086799808e-09,2.5441126382279597e-08
male distal tip cell WBbt:0006864,2.232115713099212,15,6.720081719765792,1.2978333289306323e-09,2.5441126382279597e-08
retrovesicular ganglion WBbt:0005656,3.8469904251484808,19,4.938925731603988,2.7292832751863267e-09,4.3829078477992187e-08
male WBbt:0007850,2.418723457602683,15,6.201618441682972,4.041225200044922e-09,6.129191553401465e-08
excretory secretory system WBbt:0006850,3.3840596743610236,17,5.02355207527773,1.2361457389897219e-08,1.776146246022074e-07
excretory cell WBbt:0005812,3.086205005249714,16,5.18436071900071,1.922175747031501e-08,2.623769894697999e-07
hermaphrodite WBbt:0007849,8.074373560246345,26,3.2200640465793304,5.116646439534643e-08,6.651640371395037e-07
sex organ WBbt:0008422,5.745365364424177,15,2.61080001854736,0.0002483378150194097,0.0030816465227408566
anal depressor muscle WBbt:0004292,1.6651152586463573,7,4.203913190784521,0.0003015880681584981,0.003579719243794347
nerve ring WBbt:0006749,3.1543886042029055,10,3.1701864464879206,0.00037766984256531035,0.0042959944591804055
preanal ganglion WBbt:0005448,0.6351840534060458,4,6.297387314040412,0.0004721492562639483,0.005155869878402316
AVE WBbt:0006819,1.6256405434629306,6,3.690852829752162,0.0013458819839635156,0.014131760831616914
somatic gonad WBbt:0005785,1.8373685612649462,6,3.2655397106986896,0.0026729228312517266,0.026060997604704334
tail WBbt:0005741,6.6281635403444445,14,2.1121989393871328,0.0029779894232025354,0.028034176294285937
lateral nerve cord WBbt:0006769,1.4856847350853275,5,3.365451553699133,0.004019300635452771,0.036575635782620214
FLP WBbt:0006828,1.123235077492047,4,3.5611423469174217,0.005661229394354796,0.049855342730930945
