Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,71.98744769874476,465,6.4594594594594605,0.0,0.0
amphid sensillum WBbt:0005391,9.902919467820036,145,14.642146739775454,1.268727564206505e-126,1.7318131251418792e-124
BAG WBbt:0006825,3.4977199003337875,98,28.018252688172044,2.1744683808584135e-113,1.978766226581156e-111
thermosensory neuron WBbt:0005838,6.099149076207042,115,18.85508922033376,2.7424390301188494e-112,1.8717146380561147e-110
AWB WBbt:0005671,6.201165906633445,115,18.544899738448123,2.009339934031663e-111,1.097099603981288e-109
labial sensillum WBbt:0005107,21.82431479479103,162,7.422913457913728,1.1290768836826879e-95,5.13729982075623e-94
AVA WBbt:0005842,4.204550796859574,87,20.6918656007156,3.406356174499655e-88,1.3284789080548655e-86
ventral nerve cord WBbt:0005829,10.23083070847633,111,10.849558864074993,2.662998439981029e-81,9.087482176435261e-80
pharynx WBbt:0003681,36.828075783931176,179,4.860422278106131,1.0453647211079549e-76,3.170939654027463e-75
PVD WBbt:0006831,21.07376239951107,131,6.216260652300004,1.2212149483472132e-66,3.333916808987892e-65
tail WBbt:0005741,13.458934699826054,109,8.098709328117087,1.8210151925098417e-66,4.5194286141380616e-65
AVE WBbt:0006819,3.300973155940012,66,19.99410382396924,5.779921070339164e-66,1.3149320435021597e-64
nerve ring WBbt:0006749,6.405199567486249,63,9.835759110426071,2.0936904266154355e-43,4.3967498958924147e-42
pharyngeal interneuron WBbt:0003668,7.4836632034225,63,8.418337154882684,2.466733069951219e-39,4.810129486404878e-38
corpus WBbt:0003733,15.470123642517981,86,5.559102305015727,2.5028518869192506e-39,4.810129486404878e-38
retrovesicular ganglion WBbt:0005656,7.811574444078793,64,8.192970630717381,3.1355423119796485e-39,5.350019069815275e-38
CEP WBbt:0005244,0.2696159089840628,21,77.88857890148213,4.857782658128631e-38,7.801027445112448e-37
cephalic sensillum WBbt:0006920,0.34248507357435004,22,64.23637611530542,5.4708075416305305e-37,8.297391438139638e-36
lateral ganglion WBbt:0005105,3.854778806826195,46,11.933239831697056,6.682212813232798e-36,9.601284726381863e-35
posterior lateral ganglion WBbt:0005465,1.2606365474119692,30,23.79750139847101,1.2927488058600708e-33,1.7646021199989966e-32
PDE WBbt:0006747,0.32791124065629257,19,57.942508960573484,3.168485169749468e-31,4.1190307206743086e-30
sex organ WBbt:0008422,11.666353250904987,66,5.657294835888861,1.0060618263990897e-30,1.248431266395234e-29
postdeirid sensillum WBbt:0005471,0.35705890649240746,19,53.2125082290981,2.7521505487351435e-30,3.266683042629105e-29
hermaphrodite WBbt:0007849,16.39556203281463,74,4.5134164874551965,4.29332108910693e-28,4.883652738859133e-27
dorsal nerve cord WBbt:0006750,4.357576042499177,41,9.40890063653037,4.596093660593854e-28,5.0189342773684884e-27
male WBbt:0007850,4.91138169338536,38,7.73713027663444,4.4192339100787e-23,4.640195605582635e-22
FLP WBbt:0006828,2.2808048516759905,28,12.27636813356694,4.505857261940938e-23,4.640195605582635e-22
ADE WBbt:0005415,0.2404682431479479,13,54.06119257086999,7.062755897436062e-22,6.88618700000016e-21
