Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,100.16317991631799,458,4.572538535444254,7.769091944818022e-222,2.1209621009353202e-219
pharynx WBbt:0003681,51.24250544559886,276,5.386153498934842,4.65330063236297e-131,6.351755363175453e-129
hermaphrodite WBbt:0007849,22.812749753185088,125,5.4793920659453885,8.99931314704339e-56,8.189374963809486e-54
BAG WBbt:0006825,4.8667199473461515,60,12.328632148377126,3.733315587959565e-47,2.547987888782403e-45
cephalic sheath cell WBbt:0008406,3.0721169667622585,49,15.949913538494497,1.5074175430414114e-44,8.230499785006107e-43
gonadal primordium WBbt:0008366,6.093538934072995,62,10.174711390341187,1.6617762895630734e-43,7.561082117511984e-42
reproductive tract WBbt:0005744,17.489774810775234,94,5.374568913379477,4.0982757278923383e-41,1.5983275338780118e-39
pharyngeal interneuron WBbt:0003668,10.412752887342705,67,6.434417557478226,2.991469330497319e-34,1.0208389090322102e-32
retrovesicular ganglion WBbt:0005656,10.869007882406406,67,6.164316074188563,4.041536125456507e-33,1.225932624721807e-31
PVD WBbt:0006831,29.321987682760568,100,3.4104099995510717,2.2548973411823988e-27,6.155869741427949e-26
labial sensillum WBbt:0005107,30.36630467146193,98,3.2272613036152475,4.844921546284879e-25,1.2024214383052472e-23
sex organ WBbt:0008422,16.232538824377478,68,4.189116732490416,9.653934161110812e-24,2.1962700216527096e-22
excretory secretory system WBbt:0006850,9.561076896557129,51,5.334127164939413,9.420009148312639e-23,1.978201921145654e-21
Psub3 WBbt:0006875,0.6387569930891825,17,26.614190034591886,1.718062101598568e-21,3.350221098117208e-20
Psub1 WBbt:0006874,2.3623869744409447,26,11.005817540182154,1.9218955595008903e-20,3.49784991829162e-19
excretory cell WBbt:0005812,8.719539905661856,45,5.160822759785773,9.886578365460249e-20,1.686897433606655e-18
AB WBbt:0004015,1.1558459874947111,19,16.438176197836167,3.9038386578600533e-19,6.2691056093870265e-18
Z3 WBbt:0004575,0.46639399495400624,14,30.01753914387474,4.009600518297338e-19,6.2691056093870265e-18
Z2 WBbt:0004576,0.46639399495400624,14,30.01753914387474,4.009600518297338e-19,6.2691056093870265e-18
EMS WBbt:0006876,0.6995909924310093,15,21.44109938848196,1.2081808119166529e-17,1.6491668082662312e-16
striated muscle WBbt:0005779,14.650854841489979,55,3.754047159367429,2.227378784524716e-17,2.895592419882131e-16
midbody WBbt:0005740,7.371052920251359,37,5.019635647757399,3.4554459098931317e-16,4.287894242731023e-15
Z4.a WBbt:0007025,6.276040932098476,34,5.417428019965392,4.948199188714084e-16,5.873297297908456e-15
Z1.p WBbt:0007023,6.286179931988779,34,5.408690232836417,5.195128852039578e-16,5.90945906919502e-15
male distal tip cell WBbt:0006864,6.306457931769389,34,5.391298945914112,5.724916810972408e-16,6.251609157581869e-15
hyp7 syncytium WBbt:0005734,1.5309889834359771,18,11.757106154743747,1.8328069464522938e-15,1.9244472937749084e-14
