Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
BAG WBbt:0006825,18.95538526632504,49,2.5850173611111114,6.713656928673016e-10,1.8328283415277334e-07
gonadal primordium WBbt:0008366,23.733721968877816,55,2.317377783059979,4.011406211546519e-09,5.475569478760999e-07
hyp7 syncytium WBbt:0005734,5.963048281698087,22,3.689388205613371,3.145002348630232e-08,2.861952137253511e-06
ABalaapa WBbt:0006130,1.342673123031357,8,5.95826330532213,4.925597006693478e-06,0.0003361719957068299
cephalic sheath cell WBbt:0008406,11.965586949367685,28,2.34004400440044,1.2352806199118138e-05,0.0006744632184718503
ABalaaaa WBbt:0006427,1.5401250528889099,8,5.194383394383394,1.664890496494506e-05,0.0007575251759050002
MSapp WBbt:0006036,1.342673123031357,7,5.213480392156863,4.23096151166281e-05,0.0014984580160277744
ABprappp WBbt:0006702,1.6980865967749519,8,4.711184939091916,3.8422000410968574e-05,0.0014984580160277744
Eal WBbt:0006441,1.4216538949743782,7,4.923842592592592,6.572682352750684e-05,0.0019937136470010407
ABarapaa WBbt:0006515,1.4611442809458888,7,4.790765765765766,8.096288122292992e-05,0.002210286657385987
ABalaaap WBbt:0005982,1.4611442809458888,7,4.790765765765766,8.096288122292992e-05,0.002210286657385987
ABaraaaa WBbt:0006360,1.4611442809458888,7,4.790765765765766,8.096288122292992e-05,0.002210286657385987
male WBbt:0007850,26.61652014479808,46,1.728249964674297,0.00014803340618931837,0.0030482358056200536
ABalpapa WBbt:0006573,1.5796154388604202,7,4.4314583333333335,0.00014515408598190732,0.0030482358056200536
ABalpaaa WBbt:0006557,1.6191058248319308,7,4.323373983739837,0.0001741292747245501,0.0031691527999868118
MSapa WBbt:0005898,1.3031827370598468,6,4.604112554112554,0.00025676214550358136,0.004381004107654857
ABprpaap WBbt:0006253,1.3031827370598468,6,4.604112554112554,0.00025676214550358136,0.004381004107654857
ABalappa WBbt:0006157,1.342673123031357,6,4.468697478991597,0.000312360949654095,0.004737474403087107
ABaraaap WBbt:0005861,1.342673123031357,6,4.468697478991597,0.000312360949654095,0.004737474403087107
ABplpapp WBbt:0006420,1.3821635090028679,6,4.341020408163265,0.00037721366397700353,0.005148966513286098
hyp6 WBbt:0004679,2.2904423863476095,8,3.492775041050903,0.00042626507920888386,0.00554144602971549
ABaraapa WBbt:0005853,1.4216538949743782,6,4.220436507936508,0.0004524001426729005,0.00561387449771372
AB WBbt:0004015,4.501904000752198,12,2.6655388471177943,0.0005827774454591996,0.006398512718601992
Caap WBbt:0005921,1.4611442809458888,6,4.106370656370657,0.0005390688370983363,0.006398512718601992
ABalpaap WBbt:0005934,1.4611442809458888,6,4.106370656370657,0.0005390688370983363,0.006398512718601992
ABplpppa WBbt:0006423,1.4611442809458888,6,4.106370656370657,0.0005390688370983363,0.006398512718601992
ABaraapp WBbt:0006153,1.4611442809458888,6,4.106370656370657,0.0005390688370983363,0.006398512718601992
ABplpapa WBbt:0006087,1.500634666917399,6,3.9983082706766924,0.0006384360861966514,0.006398512718601992
excretory duct cell WBbt:0004540,1.500634666917399,6,3.9983082706766924,0.0006384360861966514,0.006398512718601992
ABprappa WBbt:0006269,1.500634666917399,6,3.9983082706766924,0.0006384360861966514,0.006398512718601992
ABplappp WBbt:0006470,1.500634666917399,6,3.9983082706766924,0.0006384360861966514,0.006398512718601992
Z4.a WBbt:0007025,24.444548916365004,40,1.6363566428186784,0.001024816916498571,0.008742969318878434
Z1.p WBbt:0007023,24.484039302336512,40,1.6337173579109063,0.0010564455113598332,0.008742969318878434
male distal tip cell WBbt:0006864,24.563020074279535,40,1.6284642474353086,0.0011222869467171263,0.009011304013346337
C WBbt:0003810,1.6980865967749519,6,3.533388704318937,0.0013729132573754399,0.010708723407528431
ABalaapp WBbt:0006553,1.3031827370598468,5,3.836760461760462,0.0016672998265136224,0.012643690351061635
ABprpaaa WBbt:0006167,1.3821635090028679,5,3.617517006802721,0.00228462943193343,0.012643690351061635
P8 WBbt:0006777,1.3031827370598468,5,3.836760461760462,0.0016672998265136224,0.012643690351061635
P1 WBbt:0006770,1.3031827370598468,5,3.836760461760462,0.0016672998265136224,0.012643690351061635
P6 WBbt:0006775,1.342673123031357,5,3.723914565826331,0.0019576438715380477,0.012643690351061635
P9 WBbt:0006778,1.3821635090028679,5,3.617517006802721,0.00228462943193343,0.012643690351061635
P2 WBbt:0006771,1.342673123031357,5,3.723914565826331,0.0019576438715380477,0.012643690351061635
P7 WBbt:0006776,1.3821635090028679,5,3.617517006802721,0.00228462943193343,0.012643690351061635
ABprpapa WBbt:0006259,1.342673123031357,5,3.723914565826331,0.0019576438715380477,0.012643690351061635
ABprpppa WBbt:0005943,1.3031827370598468,5,3.836760461760462,0.0016672998265136224,0.012643690351061635
ABprpppp WBbt:0006179,1.342673123031357,5,3.723914565826331,0.0019576438715380477,0.012643690351061635
MSpaap WBbt:0005878,1.3031827370598468,5,3.836760461760462,0.0016672998265136224,0.012643690351061635
P4 WBbt:0006773,1.342673123031357,5,3.723914565826331,0.0019576438715380477,0.012643690351061635
ABarappa WBbt:0006005,1.3031827370598468,5,3.836760461760462,0.0016672998265136224,0.012643690351061635
MSaaap WBbt:0006160,1.3821635090028679,5,3.617517006802721,0.00228462943193343,0.012643690351061635
P11 WBbt:0004410,2.2904423863476095,7,3.05617816091954,0.0019305630532005353,0.012643690351061635
ABpraapp WBbt:0006335,1.3031827370598468,5,3.836760461760462,0.0016672998265136224,0.012643690351061635
ABprapap WBbt:0006678,1.342673123031357,5,3.723914565826331,0.0019576438715380477,0.012643690351061635
P5 WBbt:0006774,1.3031827370598468,5,3.836760461760462,0.0016672998265136224,0.012643690351061635
ABpraaap WBbt:0006534,1.3031827370598468,5,3.836760461760462,0.0016672998265136224,0.012643690351061635
MSppaa WBbt:0006531,1.342673123031357,5,3.723914565826331,0.0019576438715380477,0.012643690351061635
Epl WBbt:0006000,1.4216538949743782,5,3.5170304232804233,0.0026510752896234673,0.012697255334512396
MSaapp WBbt:0006425,1.4216538949743782,5,3.5170304232804233,0.0026510752896234673,0.012697255334512396
ABprppaa WBbt:0005984,1.4611442809458888,5,3.421975546975547,0.0030598507320415426,0.014158292370293918
Psub3 WBbt:0006875,2.4878943162051623,7,2.8136243386243383,0.0032801565966938504,0.01492471251495702
ABplpppp WBbt:0006647,1.500634666917399,5,3.3319235588972433,0.0035138659782309287,0.015725990361590877
