Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,98.61506276150627,508,5.15134286562858,1.5992563469138666e-289,4.3659698270748556e-287
PVD WBbt:0006831,28.868788491373234,310,10.738240716011907,1.7002917208338697e-241,2.320898198938232e-239
labial sensillum WBbt:0005107,29.896964568348142,310,10.368945626279277,9.680044658329757e-237,8.808840639080079e-235
pharynx WBbt:0003681,50.450503815836896,255,5.054458939217829,2.366609592395404e-113,1.6152110468098632e-111
excretory cell WBbt:0005812,8.584771128140034,58,6.756149830236209,5.49738803779554e-31,3.001573868636365e-29
excretory secretory system WBbt:0006850,9.413301364925642,59,6.267726668120548,9.742743162895775e-30,4.432948139117578e-28
striated muscle WBbt:0005779,14.42441195367715,72,4.991537972655125,1.0985817355350069e-29,4.432948139117578e-28
coelomic system WBbt:0005749,8.96409822449971,46,5.131581431613249,4.959752111578225e-20,1.6925154080760694e-18
hermaphrodite WBbt:0007849,22.4601570212966,64,2.8494903192046053,3.3269363453407746e-14,1.009170691420035e-12
pharyngeal interneuron WBbt:0003668,10.251813893720715,37,3.6091174092286904,8.750318722447133e-12,2.3888370112280674e-10
retrovesicular ganglion WBbt:0005656,10.701017034146647,37,3.457615279177113,3.030515289292778e-11,7.521187945244803e-10
gonadal primordium WBbt:0008366,5.9993574976885595,25,4.167112896611351,7.080917950131833e-10,1.610908833654992e-08
FLP WBbt:0006828,3.1244573989625937,16,5.120889151925208,2.4714991520558207e-08,5.190148219317224e-07
male WBbt:0007850,6.728064814379515,23,3.4185164136414667,1.2414942663789815e-07,2.420913819439014e-06
reproductive tract WBbt:0005744,17.219453716327394,38,2.206806361340523,2.6853483409533e-06,4.8873339805350055e-05
rectal valve cell WBbt:0005797,0.4192562643975366,5,11.925880242206771,3.735421345787093e-06,6.373562671249227e-05
PLM WBbt:0005490,2.7950417626502437,11,3.935540479928235,2.9990206486721926e-05,0.0004816074335808874
Z1.p WBbt:0007023,6.1890210458683965,17,2.7467995138502053,6.730872340589165e-05,0.0010002963231277465
Z4.a WBbt:0007025,6.179038753858932,17,2.7512369928709646,6.595360372270855e-05,0.0010002963231277465
male distal tip cell WBbt:0006864,6.208985629887327,17,2.7379673610725517,7.009301145447654e-05,0.0010002963231277465
corpus WBbt:0003733,21.192405936094524,39,1.840281849904352,0.000118691371187868,0.0014780654628168137
ALM WBbt:0005406,2.735148010593453,10,3.656109271333463,0.00011369734329360106,0.0014780654628168137
tail WBbt:0005741,18.437293341482142,35,1.898326362322031,0.00013530679140440373,0.0016060327849305312
cephalic sheath cell WBbt:0008406,3.0246344788679425,10,3.3061846216018775,0.0002710694077502351,0.0030834145131589242
Ear WBbt:0006370,0.33939792832181526,3,8.839181826576786,0.0003596149409051708,0.003926995154684465
Eal WBbt:0006441,0.3593625123407456,3,8.34811616954474,0.0004496199396455194,0.004721009366277953
Epr WBbt:0006547,0.3593625123407456,3,8.34811616954474,0.0004496199396455194,0.004721009366277953
Epl WBbt:0006000,0.3593625123407456,3,8.34811616954474,0.0004496199396455194,0.004721009366277953
Eala WBbt:0006104,0.39929168037860624,3,7.513304552590267,0.0006759337813128182,0.0063631007689103234
AVA WBbt:0005842,5.7597824894613945,14,2.4306473422591277,0.0008245319174267629,0.007415774469764864
Ealp WBbt:0006546,0.4192562643975366,3,7.1555281453240625,0.0008149202714027323,0.007415774469764864
Eara WBbt:0006161,0.4292385564070017,3,6.989120514037458,0.0008914609530379813,0.007605276255605278
Earp WBbt:0006646,0.4292385564070017,3,6.989120514037458,0.0008914609530379813,0.007605276255605278
Epla WBbt:0006661,0.43922084841646686,3,6.830276865991152,0.0009729254375830136,0.007812018954710668
Epra WBbt:0006321,0.4691677244448623,3,6.394301746885334,0.001248552987260682,0.00973871330063332
Eplp WBbt:0006496,0.4691677244448623,3,6.394301746885334,0.001248552987260682,0.00973871330063332
Eprp WBbt:0006507,0.49911460047325784,3,6.010643642072213,0.001574573378236899,0.011617798169153336
hyp5 WBbt:0004685,0.5090968924827229,3,5.892787884384523,0.0016952282325371673,0.012178876512701229
AVE WBbt:0006819,4.5219782802877155,11,2.4325636520527723,0.0022636715542304012,0.01584570087961281
Psub1 WBbt:0006874,2.3258740382053813,7,3.009621280007546,0.0025468723904016337,0.01738240406449115
lateral ganglion WBbt:0005105,5.280632473007067,12,2.272455063165298,0.0028941624019663587,0.019270886237483315
dorsal nerve cord WBbt:0006750,5.969410621660164,12,2.010248709723148,0.007863565902254939,0.044724031069074965
nerve ring WBbt:0006749,8.774434676319872,16,1.8234792998322984,0.00808378117534624,0.045038209405500476
