Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,44.43096234309623,287,6.45945945945946,0.0,0.0
FLP WBbt:0006828,1.407722564367762,286,203.165032115862,0.0,0.0
ALM WBbt:0005406,1.2323194333443028,77,62.483799181057506,2.894957018383954e-119,2.634410886729398e-117
PLM WBbt:0005490,1.2593045304248351,77,61.1448606271777,2.0565212228675355e-118,1.403575734607093e-116
pharynx WBbt:0003681,22.73044677416827,105,4.619354869844702,2.000311021670631e-43,1.0921698178321646e-41
tail WBbt:0005741,8.306912384623823,65,7.824808664205444,1.7565171814188075e-39,7.992153175455574e-38
PVD WBbt:0006831,13.006816792816512,75,5.766207150808912,1.4130652683750393e-36,5.510954546662653e-35
labial sensillum WBbt:0005107,13.470060959365647,76,5.6421422463688025,1.934820804556144e-36,6.602575995547841e-35
AVM WBbt:0003832,0.3238211649663862,21,64.85060975609755,1.4963360869596123e-34,4.538886130444157e-33
posterior lateral ganglion WBbt:0005465,0.7780702991553444,26,33.416003705866956,1.971519954472795e-33,5.38224947571073e-32
ventral nerve cord WBbt:0005829,6.31451271684453,49,7.759902022097144,1.0498568069644518e-29,2.6055537118299576e-28
pharyngeal interneuron WBbt:0003668,4.618949116951091,42,9.092977414681645,2.302688434030358e-28,5.238616187419065e-27
retrovesicular ganglion WBbt:0005656,4.821337345055083,39,8.089041941858651,1.4247411467050081e-24,2.991956408080517e-23
corpus WBbt:0003733,9.548226850328302,51,5.341305857039461,2.187474515802822e-23,4.265575305815503e-22
amphid sensillum WBbt:0005391,6.112124488740538,41,6.7079785556606755,1.1494110716552284e-22,2.0919281504125155e-21
PVM WBbt:0004086,0.2698509708053218,13,48.174738675958196,1.4507083759704462e-20,2.4752711664995737e-19
thermosensory neuron WBbt:0005838,3.764421042734239,31,8.234998064266357,3.990027799525505e-20,6.407515231002722e-19
AWB WBbt:0005671,3.827386269255481,31,8.09952218541826,6.486551015970339e-20,9.837935707555015e-19
nerve ring WBbt:0006749,3.9533167222979646,28,7.08266045117789,1.1935567135572631e-16,1.7149525410585939e-15
AVE WBbt:0006819,2.0373748295801795,20,9.816553983893671,3.1933859720660614e-15,4.358971851870174e-14
sex organ WBbt:0008422,7.200523404322003,33,4.583000171930871,9.885064725032416e-14,1.285058414254214e-12
hermaphrodite WBbt:0007849,10.119411405199568,38,3.7551591173054586,7.561855274572641e-13,9.38357495435605e-12
BDU WBbt:0006826,0.17090561484337047,7,40.958279845956355,6.6047176677164885e-12,7.839512709941745e-11
lateral nerve cord WBbt:0006769,1.8619716985567205,15,8.055976367217088,9.883401760209883e-11,1.1242369502238743e-09
dorsal nerve cord WBbt:0006750,2.689514675693041,17,6.320842995816483,3.725425852376839e-10,4.068165030795508e-09
BAG WBbt:0006825,2.158807766442574,15,6.948279616724739,8.427284225510606e-10,8.848648436786137e-09
male WBbt:0007850,3.031325905379781,16,5.278218343862116,1.5710133912128798e-08,1.5884690955596895e-07
lateral ganglion WBbt:0005105,2.3791860592669205,14,5.884365346489004,2.4463858393224624e-08,2.385226193339401e-07
spermatheca WBbt:0005319,2.4736338990487834,14,5.6596895787139685,4.0645844295293005e-08,3.8263156871086176e-07
PVC WBbt:0005840,0.21138326046416875,5,23.65371784416932,7.223503624098413e-08,6.573388297929555e-07
preanal ganglion WBbt:0005448,0.7960603638756993,8,10.049489163172503,1.3127120412488258e-07,1.1560335072933209e-06
reproductive tract WBbt:0005744,7.758215410653002,24,3.093494925011362,3.7199335748912737e-07,3.173568331079118e-06
PDE WBbt:0006747,0.20238822810399135,4,19.763995354239256,1.873808120601552e-06,1.5501503543158294e-05
ASEL WBbt:0003904,0.593672135771708,6,10.106588533417801,2.523779550974216e-06,2.0264465218116496e-05
postdeirid sensillum WBbt:0005471,0.22037829282434612,4,18.150607978382993,2.881901761070924e-06,2.2478833736353208e-05
