Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
male distal tip cell WBbt:0006864,72.40907243313552,132,1.8229759830426269,7.724412125202413e-13,2.1010400980550562e-10
AB WBbt:0004015,13.27111616941712,41,3.0894161031069296,2.1834641210291494e-12,2.1010400980550562e-10
Z1.p WBbt:0007023,72.17624583367206,131,1.8150015768606957,1.3214350422685147e-12,2.1010400980550562e-10
Z4.a WBbt:0007025,72.05983253394032,131,1.8179337280349457,1.1682655418940124e-12,2.1010400980550562e-10
AVA WBbt:0005842,67.1704739452077,124,1.8460492046125694,1.5408983555512274e-12,2.1010400980550562e-10
cephalic sheath cell WBbt:0008406,35.27322981871393,76,2.154608477607537,1.3918858682373848e-11,6.309882602676144e-10
EMS WBbt:0006876,8.03251768148931,28,3.4858311067929724,1.407014149939012e-10,5.467254982620161e-09
oocyte WBbt:0006797,16.996341760832454,40,2.3534476161322413,4.420775421447775e-08,1.5030636432922435e-06
Psub3 WBbt:0006875,7.334037883098935,23,3.13606233927463,5.428993151112092e-08,1.6407623745583213e-06
Psub2 WBbt:0006873,5.238598487927811,18,3.4360335195530727,1.9619727095282688e-07,5.336565769916891e-06
Z2 WBbt:0004576,5.3550117876595404,17,3.1745961865435994,1.5802927567369965e-06,3.9076329984769364e-05
Z3 WBbt:0004575,5.3550117876595404,17,3.1745961865435994,1.5802927567369965e-06,3.9076329984769364e-05
reproductive tract WBbt:0005744,200.81294203723274,258,1.2847777507894098,2.896831999259394e-06,6.0610638753735015e-05
Psub1 WBbt:0006874,27.124298837492887,48,1.7696309971947155,2.476298243456179e-05,0.00048110937301434334
ABprpaaa WBbt:0006167,4.074465490610519,11,2.6997406225059857,0.00037884070979016124,0.006869644870861591
ABarpppaa WBbt:0006041,3.841638891147061,10,2.603055696631116,0.0008663000902160747,0.01472710153367327
ABplpppp WBbt:0006647,4.423705389805707,11,2.4866032049397235,0.000882182766603642,0.01472710153367327
ABprpaap WBbt:0006253,3.841638891147061,10,2.603055696631116,0.0008663000902160747,0.01472710153367327
ABarpppap WBbt:0006251,3.95805219087879,10,2.5264952349654948,0.0011476033889169113,0.016428848515021046
Cpaaa WBbt:0006212,4.6565319892691655,11,2.362273044692737,0.001460054005583591,0.019856734475936836
ABalpapa WBbt:0006573,4.6565319892691655,11,2.362273044692737,0.001460054005583591,0.019856734475936836
ABarppapp WBbt:0006240,4.074465490610519,10,2.4543096568236233,0.0014999529501377093,0.019856734475936836
ABarpaapa WBbt:0005844,4.190878790342248,10,2.386134388578523,0.001936095408004349,0.022896432651181863
Epra WBbt:0006321,5.471425087391269,12,2.19321288482111,0.0021348603367166434,0.02419508381612196
C WBbt:0003810,5.005771888464352,11,2.1974632973885933,0.00288197734672929,0.025230502981283542
ABprppap WBbt:0006346,4.423705389805707,10,2.2605483681270213,0.0031169158745016925,0.025230502981283542
ABalaaap WBbt:0005982,4.307292090073978,10,2.321644269968292,0.0024700194485592552,0.025230502981283542
ABaraaaa WBbt:0006360,4.307292090073978,10,2.321644269968292,0.0024700194485592552,0.025230502981283542
ABplaaapa WBbt:0006680,4.889358588732623,11,2.2497838520883215,0.002318980053426796,0.025230502981283542
Caaaa WBbt:0005899,4.307292090073978,10,2.321644269968292,0.0024700194485592552,0.025230502981283542
ABplpppa WBbt:0006423,4.307292090073978,10,2.321644269968292,0.0024700194485592552,0.025230502981283542
ABalppaa WBbt:0005944,4.889358588732623,11,2.2497838520883215,0.002318980053426796,0.025230502981283542
Caap WBbt:0005921,4.307292090073978,10,2.321644269968292,0.0024700194485592552,0.025230502981283542
ABprppaa WBbt:0005984,4.307292090073978,10,2.321644269968292,0.0024700194485592552,0.025230502981283542
