Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,194.44351464435144,965,4.962880874505079,0.0,0.0
pharynx WBbt:0003681,99.47540469810227,514,5.167106397404843,3.1676556792372876e-235,4.323850002158897e-233
corpus WBbt:0003733,41.78596837634964,249,5.958938123854299,4.5302597825030775e-119,4.122536402077801e-117
reproductive tract WBbt:0005744,33.95232946264868,216,6.361860980337856,2.3896637762315593e-108,1.6309455272780392e-106
hermaphrodite WBbt:0007849,44.285647125193925,237,5.35162101910828,6.383627548502755e-103,3.485460641482504e-101
sex organ WBbt:0008422,31.511698243304654,181,5.743898618299869,6.734459200282744e-83,3.0641789361286482e-81
striated muscle WBbt:0005779,28.44122670929121,168,5.90691821127102,1.033601313789013e-78,4.031045123777151e-77
labial sensillum WBbt:0005107,58.94911695109147,235,3.986488893378561,6.610631645251405e-76,2.255878048942042e-74
PVD WBbt:0006831,56.92181843824926,225,3.9527900930306314,7.914188854156051e-72,2.4006372857606684e-70
male WBbt:0007850,13.266011627724758,111,8.36724730197131,4.2681662655781094e-68,1.1652093905028239e-66
pharyngeal interneuron WBbt:0003668,20.21393759892185,123,6.084910443503123,4.595949078554015e-59,1.1406309985865872e-57
retrovesicular ganglion WBbt:0005656,21.099650541425728,125,5.924268733957601,1.1194401598589745e-58,2.5467263636791668e-57
tail WBbt:0005741,36.35359566232586,158,4.346200069660217,2.1719701255056015e-55,4.561137263561763e-54
ventral nerve cord WBbt:0005829,27.63424380612101,137,4.957617113070935,9.23077349875047e-55,1.8000008322563417e-53
amphid sensillum WBbt:0005391,26.74853086361713,130,4.860080004499374,5.291059160620125e-51,9.629727672328628e-50
coelomic system WBbt:0005749,17.67489383041073,105,5.940629743378775,1.4909993528966546e-49,2.544017645879917e-48
male distal tip cell WBbt:0006864,12.242521116386943,87,7.10637941098163,1.1770388506502187e-47,1.8901859189853512e-46
Z4.a WBbt:0007025,12.183473586886684,86,7.058742269738534,6.915070851738237e-47,1.0487857458469659e-45
Z1.p WBbt:0007023,12.203156096720104,86,7.047357201561537,7.896916210909735e-47,1.1346621713570304e-45
gonadal primordium WBbt:0008366,11.829188409885134,83,7.016542227921616,4.1892591891927543e-45,5.71833879324811e-44
excretory secretory system WBbt:0006850,18.56060677291461,101,5.4416324442253,3.2051328071718555e-44,4.166672649323412e-43
excretory cell WBbt:0005812,16.92695845674079,94,5.553271737520368,5.3513825317704696e-42,6.640579232606082e-41
spermatheca WBbt:0005319,10.825380408380738,76,7.020538506079907,1.7972319789145607e-41,2.133236218450761e-40
AWB WBbt:0005671,16.749815868240013,91,5.432895544395129,6.309532594061661e-40,7.177093325745139e-39
thermosensory neuron WBbt:0005838,16.47426073057214,89,5.402366847019611,6.895668562139914e-39,7.530070069856787e-38
nerve ring WBbt:0006749,17.30092614357576,90,5.20203365144236,5.43849429860653e-38,5.710419013536856e-37
AVA WBbt:0005842,11.356808173883064,67,5.899544922672732,4.798501180960518e-32,4.8518178607489675e-31
AVE WBbt:0006819,8.916176954539043,59,6.617185852279918,3.304329694599469e-31,3.221721452234482e-30
