Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
linker cell WBbt:0005062,0.14096414925615802,14,99.31603229527106,3.315663999711528e-28,9.018606079215356e-26
reproductive tract WBbt:0005744,7.151857572555077,28,3.9150667803353225,9.885657805116388e-13,1.3444494614958287e-10
male WBbt:0007850,2.7944069587838385,18,6.441438296386805,7.83529820026768e-12,7.104003701576031e-10
spermatheca WBbt:0005319,2.2803024144378505,13,5.700998217468806,3.0322917583684134e-08,2.061958395690521e-06
ABplppppp WBbt:0006574,0.14925615803593204,4,26.799564270152505,3.4279457335801487e-07,1.1850318083021751e-05
tail WBbt:0005741,7.657670108121291,22,2.872936505408877,2.76981906334627e-07,1.1850318083021751e-05
ABplpppap WBbt:0006665,0.14925615803593204,4,26.799564270152505,3.4279457335801487e-07,1.1850318083021751e-05
ABplppppa WBbt:0006352,0.14096414925615802,4,28.3760092272203,2.545990441627776e-07,1.1850318083021751e-05
ABplpppaa WBbt:0006222,0.13681814486627103,4,29.235888294711824,2.1783672946731161e-07,1.1850318083021751e-05
ABprpppp WBbt:0006179,0.14096414925615802,4,28.3760092272203,2.545990441627776e-07,1.1850318083021751e-05
oocyte WBbt:0006797,0.6053166409235022,6,9.912167606768733,2.1488957468658404e-06,5.313633119522805e-05
ABplappaa WBbt:0006371,0.13681814486627103,3,21.92691622103387,9.813583040252529e-06,0.00022244121557905735
ABprpppa WBbt:0005943,0.13681814486627103,3,21.92691622103387,9.813583040252529e-06,0.00022244121557905735
ABplapppp WBbt:0006656,0.13681814486627103,3,21.92691622103387,9.813583040252529e-06,0.00022244121557905735
ABprapapp WBbt:0006290,0.14511015364604504,3,20.67394957983193,1.2480631333390523e-05,0.00022631544817881482
ABprpppap WBbt:0006237,0.14925615803593204,3,20.09967320261438,1.3997860928250748e-05,0.00022631544817881482
ABpraapaa WBbt:0006108,0.14925615803593204,3,20.09967320261438,1.3997860928250748e-05,0.00022631544817881482
ABprappap WBbt:0006220,0.14925615803593204,3,20.09967320261438,1.3997860928250748e-05,0.00022631544817881482
ABprappa WBbt:0006269,0.15754816681570605,3,19.041795665634673,1.743410220971419e-05,0.00022631544817881482
ABplapapp WBbt:0006413,0.14511015364604504,3,20.67394957983193,1.2480631333390523e-05,0.00022631544817881482
ABplappp WBbt:0006470,0.15754816681570605,3,19.041795665634673,1.743410220971419e-05,0.00022631544817881482
ABplappap WBbt:0006067,0.14925615803593204,3,20.09967320261438,1.3997860928250748e-05,0.00022631544817881482
ABprpppaa WBbt:0006552,0.15754816681570605,3,19.041795665634673,1.743410220971419e-05,0.00022631544817881482
ABprapapa WBbt:0006510,0.14925615803593204,3,20.09967320261438,1.3997860928250748e-05,0.00022631544817881482
ABprappaa WBbt:0006350,0.14511015364604504,3,20.67394957983193,1.2480631333390523e-05,0.00022631544817881482
ABplaaapa WBbt:0006680,0.17413218437525405,3,17.22829131652661,2.6115202140275215e-05,0.0002732051916213407
DVA WBbt:0004823,0.17413218437525405,3,17.22829131652661,2.6115202140275215e-05,0.0002732051916213407
ABprappp WBbt:0006702,0.17827818876514104,3,16.82763337893297,2.8705851637595887e-05,0.0002788568444795029
SMD WBbt:0005353,0.17827818876514104,3,16.82763337893297,2.8705851637595887e-05,0.0002788568444795029
hermaphrodite WBbt:0007849,9.328509877245754,21,2.2511633986928103,3.4642647099510374e-05,0.0003140933337022274
sex organ WBbt:0008422,6.637753028209089,17,2.561107641057672,4.120929252818221e-05,0.0003596090206993804
PVC WBbt:0005840,0.19486220632468904,3,15.395494367959952,4.0984851623826444e-05,0.0003596090206993804
AVA WBbt:0005842,2.3922445329647997,9,3.7621572025690693,0.00010678814806567435,0.0008743593762333799
anal depressor muscle WBbt:0004292,1.9237460369075683,8,4.158553076402975,0.00010608036549890271,0.0008743593762333799
anal sphincter muscle WBbt:0005798,0.5348345662954231,4,7.478948168414653,0.00018729109860955695,0.001455519394908557
nerve ring WBbt:0006749,3.644337858710674,11,3.0183809587543777,0.00019365258337127763,0.0014631528521385421
ABplppap WBbt:0006028,0.15754816681570605,2,12.694530443756449,0.0005113249888523445,0.002466837951316813
Epl WBbt:0006000,0.14925615803593204,2,13.399782135076252,0.00043530493345528715,0.002466837951316813
ABplaaapp WBbt:0006136,0.14096414925615802,2,14.18800461361015,0.00036696326395034985,0.002466837951316813
ABplpaapa WBbt:0006115,0.13681814486627103,2,14.617944147355912,0.00033556251543647825,0.002466837951316813
ABprpaapa WBbt:0006047,0.13681814486627103,2,14.617944147355912,0.00033556251543647825,0.002466837951316813
Capa WBbt:0006444,0.16998617998536703,2,11.76566236250598,0.0006404962116470172,0.002466837951316813
ABplaaaaa WBbt:0006348,0.14925615803593204,2,13.399782135076252,0.00043530493345528715,0.002466837951316813
ABplpaaa WBbt:0006315,0.14925615803593204,2,13.399782135076252,0.00043530493345528715,0.002466837951316813
ABprapaap WBbt:0006624,0.13681814486627103,2,14.617944147355912,0.00033556251543647825,0.002466837951316813
ABplaapaa WBbt:0005866,0.14925615803593204,2,13.399782135076252,0.00043530493345528715,0.002466837951316813
ABplpppp WBbt:0006647,0.15754816681570605,2,12.694530443756449,0.0005113249888523445,0.002466837951316813
ABpraaap WBbt:0006534,0.13681814486627103,2,14.617944147355912,0.00033556251543647825,0.002466837951316813
ABpraapap WBbt:0006062,0.14096414925615802,2,14.18800461361015,0.00036696326395034985,0.002466837951316813
ABplaaaap WBbt:0006625,0.14096414925615802,2,14.18800461361015,0.00036696326395034985,0.002466837951316813
Caaaa WBbt:0005899,0.15340216242581906,2,13.037625861155272,0.00047233360307904256,0.002466837951316813
ABprppap WBbt:0006346,0.15754816681570605,2,12.694530443756449,0.0005113249888523445,0.002466837951316813
ABplpapp WBbt:0006420,0.14511015364604504,2,13.782633053221288,0.00040019601075249174,0.002466837951316813
ABprpapa WBbt:0006259,0.14096414925615802,2,14.18800461361015,0.00036696326395034985,0.002466837951316813
ABprppaa WBbt:0005984,0.15340216242581906,2,13.037625861155272,0.00047233360307904256,0.002466837951316813
ABplpappa WBbt:0006232,0.15340216242581906,2,13.037625861155272,0.00047233360307904256,0.002466837951316813
ABplaapap WBbt:0005887,0.14925615803593204,2,13.399782135076252,0.00043530493345528715,0.002466837951316813
ABarpaapa WBbt:0005844,0.14925615803593204,2,13.399782135076252,0.00043530493345528715,0.002466837951316813
pm5 WBbt:0003737,0.15754816681570605,2,12.694530443756449,0.0005113249888523445,0.002466837951316813
ABarpaapp WBbt:0006620,0.14096414925615802,2,14.18800461361015,0.00036696326395034985,0.002466837951316813
ABprpappp WBbt:0005847,0.15340216242581906,2,13.037625861155272,0.00047233360307904256,0.002466837951316813
Cpaaa WBbt:0006212,0.16584017559548003,2,12.059803921568628,0.0005953648064689029,0.002466837951316813
