Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
PVD WBbt:0006831,264.7257946508414,372,1.40522762615803,8.318405725794825e-15,2.2626063574161925e-12
labial sensillum WBbt:0005107,274.15413381025934,380,1.3860815984011243,3.2115062646913784e-14,4.3676485199802745e-12
intestinal muscle WBbt:0005796,18.307454678481424,46,2.512637655417407,9.718902341494366e-10,8.811804789621559e-08
linker cell WBbt:0005062,3.1122672953418418,15,4.819637446452827,9.848833002493143e-09,6.697206441695337e-07
reproductive tract WBbt:0005744,157.90179660190228,221,1.3996040878317502,2.0163402221678292e-08,1.0124171955277223e-06
sex organ WBbt:0008422,146.5511747012438,208,1.4192994387388875,1.861061021190666e-08,1.0124171955277223e-06
midbody WBbt:0005740,66.54759775627998,108,1.6228985514328085,1.0758122006180088e-07,4.18029883668712e-06
anal sphincter muscle WBbt:0005798,11.808308267620518,30,2.540584080300715,4.0804298356429945e-07,1.387346144118618e-05
AWB WBbt:0005671,77.89821965693845,118,1.5147971355400502,1.1871854828284714e-06,3.5879383481038245e-05
uterine muscle WBbt:0005342,12.08292008779774,29,2.4000820819204476,2.1914642730496327e-06,5.960782822695001e-05
anal depressor muscle WBbt:0004292,42.473294854076904,72,1.6951828259937527,2.6026345105419045e-06,6.435605335158163e-05
nerve ring WBbt:0006749,80.46126331192585,119,1.4789725527757405,3.608277027061522e-06,8.178761261339451e-05
pharyngeal interneuron WBbt:0003668,94.00877977400212,135,1.4360360843374536,4.023190845176488e-06,8.417753152984652e-05
thermosensory neuron WBbt:0005838,76.61669782944476,113,1.474874318540164,7.192278063864708e-06,0.0001397356880979429
HSN WBbt:0006830,10.069100073164783,24,2.383529791700307,1.5103177747472652e-05,0.0002738709564875041
hermaphrodite WBbt:0007849,205.95886513291603,258,1.2526773238602722,1.7115502841104927e-05,0.00029096354829878375
hermaphrodite distal tip cell WBbt:0006863,17.758231038126983,35,1.9709170313673068,3.028282186609116e-05,0.00048452514985745856
male WBbt:0007850,61.6961222664824,92,1.4911796174584018,3.1638262738987065e-05,0.00048452514985745856
spermatheca WBbt:0005319,50.345500365823916,78,1.5492943646051995,3.170140777221983e-05,0.00048452514985745856
retrovesicular ganglion WBbt:0005656,98.12795707666044,135,1.3757547188568702,3.58839988628831e-05,0.00048802238453521016
excretory secretory system WBbt:0006850,86.31964880903992,121,1.401766592768252,3.917937072766443e-05,0.0005074661351392725
somatic gonad WBbt:0005785,46.86708397691245,72,1.5362594360568382,8.043321449422358e-05,0.0009944470155649461
posterior gonad arm WBbt:0005466,18.673603772051052,35,1.8743034513983214,9.019630748124798e-05,0.0010666693754304108
pharynx WBbt:0003681,462.6293797252256,521,1.126171451345012,9.787897859078695e-05,0.0011092950906955855
ABplppppa WBbt:0006352,3.1122672953418418,10,3.213091630968551,0.00014243533336612475,0.0015496964270234374
ABplpppap WBbt:0006665,3.295341842126656,10,3.034586540359187,0.0002521353871310688,0.002637724049986566
ABplppppp WBbt:0006574,3.295341842126656,10,3.034586540359187,0.0002521353871310688,0.002637724049986566
ABplpppaa WBbt:0006222,3.020730021949435,9,2.9794122396253835,0.000516945860249425,0.005021759785280128
coelomic system WBbt:0005749,82.2004715063816,110,1.3381918373967014,0.0005314907093258721,0.005021759785280128
excretory cell WBbt:0005812,78.72205511747012,106,1.3465095625593788,0.0005294469306050814,0.005021759785280128
ventral nerve cord WBbt:0005829,128.5183318429396,162,1.2605205629184315,0.0005816332117235375,0.005103362373832328
ABprpppp WBbt:0006179,3.1122672953418418,9,2.891782467871696,0.0006729919131317785,0.005720431261620117
anchor cell WBbt:0004522,6.04146004389887,14,2.3173206308197427,0.0007445573996124926,0.006136957960442363
ABprpappp WBbt:0005847,3.3868791155190636,9,2.657313619125342,0.0013880887383455704,0.011104709906764564
ABplpappa WBbt:0006232,3.3868791155190636,9,2.657313619125342,0.0013880887383455704,0.011104709906764564
ABprpappa WBbt:0006088,3.4784163889114703,9,2.587384313358886,0.0017317648614230054,0.013084445619640485
P11 WBbt:0004410,5.309161856759613,12,2.2602437679916703,0.001881135689058848,0.01382888938983802
dorsal nerve cord WBbt:0006750,54.73928948865946,75,1.370131046650469,0.0018993086822074107,0.01382888938983802
tail WBbt:0005741,169.06934395577596,202,1.194776032565891,0.002061984166690025,0.014381017777940687
ABplpappp WBbt:0006390,3.569953662303878,9,2.521041125836863,0.002141116216353177,0.014559590271201602
ABplapppp WBbt:0006656,3.020730021949435,8,2.648366435222563,0.002230798122181286,0.014799441200812433
amphid sensillum WBbt:0005391,124.39915454028129,153,1.2299118958276969,0.0023154175412878823,0.014799441200812433
P5 WBbt:0006774,3.020730021949435,8,2.648366435222563,0.002230798122181286,0.014799441200812433
P1 WBbt:0006770,3.020730021949435,8,2.648366435222563,0.002230798122181286,0.014799441200812433
ABprpppa WBbt:0005943,3.020730021949435,8,2.648366435222563,0.002230798122181286,0.014799441200812433
P8 WBbt:0006777,3.020730021949435,8,2.648366435222563,0.002230798122181286,0.014799441200812433
P10 WBbt:0006779,3.661490935696285,9,2.458015097690941,0.002624839855337121,0.015190562567057381
P4 WBbt:0006773,3.1122672953418418,8,2.570473304774841,0.0027916083575380605,0.01581911402604901
P2 WBbt:0006771,3.1122672953418418,8,2.570473304774841,0.0027916083575380605,0.01581911402604901
P6 WBbt:0006775,3.1122672953418418,8,2.570473304774841,0.0027916083575380605,0.01581911402604901
ABplaaapp WBbt:0006136,3.1122672953418418,8,2.570473304774841,0.0027916083575380605,0.01581911402604901
ABprappaa WBbt:0006350,3.2038045687342493,8,2.497031210352702,0.003458197142250362,0.01808903120561728
ABprppppp WBbt:0005983,3.2038045687342493,8,2.497031210352702,0.003458197142250362,0.01808903120561728
ABplaaapa WBbt:0006680,3.8445654824810993,9,2.3409667597056583,0.0038529338285047156,0.01808903120561728
ABprapapp WBbt:0006290,3.2038045687342493,8,2.497031210352702,0.003458197142250362,0.01808903120561728
P7 WBbt:0006776,3.2038045687342493,8,2.497031210352702,0.003458197142250362,0.01808903120561728
P9 WBbt:0006778,3.2038045687342493,8,2.497031210352702,0.003458197142250362,0.01808903120561728
ABplapapp WBbt:0006413,3.2038045687342493,8,2.497031210352702,0.003458197142250362,0.01808903120561728
ABprappap WBbt:0006220,3.295341842126656,8,2.4276692322873497,0.004243604992393234,0.019563738270016267
ABprapapa WBbt:0006510,3.295341842126656,8,2.4276692322873497,0.004243604992393234,0.019563738270016267
ABprpppap WBbt:0006237,3.295341842126656,8,2.4276692322873497,0.004243604992393234,0.019563738270016267
Epr WBbt:0006547,3.295341842126656,8,2.4276692322873497,0.004243604992393234,0.019563738270016267
ABplpppa WBbt:0006423,3.3868791155190636,8,2.3620565503336373,0.005161449502633682,0.0222178590748378
SDQL WBbt:0004993,3.3868791155190636,8,2.3620565503336373,0.005161449502633682,0.0222178590748378
vulD WBbt:0006766,6.590683684253312,13,1.9724812512334717,0.005146048241598461,0.0222178590748378
excretory gland cell WBbt:0005776,4.027640029265913,9,2.234559179719038,0.0054960454774780915,0.02265036924051577
ABprappa WBbt:0006269,3.4784163889114703,8,2.299897167430121,0.00622583439128315,0.025275029170582344
ABplappp WBbt:0006470,3.4784163889114703,8,2.299897167430121,0.00622583439128315,0.025275029170582344
ABprpppaa WBbt:0006552,3.4784163889114703,8,2.299897167430121,0.00622583439128315,0.025275029170582344
ABpraapa WBbt:0006302,3.569953662303878,8,2.2409254451883225,0.007451249843886639,0.028953427964816654
ABprpaapa WBbt:0006047,3.020730021949435,7,2.3173206308197427,0.008384662134988587,0.03212152254530839
ABplappaa WBbt:0006371,3.020730021949435,7,2.3173206308197427,0.008384662134988587,0.03212152254530839
ABpraaap WBbt:0006534,3.020730021949435,7,2.3173206308197427,0.008384662134988587,0.03212152254530839
Eplp WBbt:0006496,4.3022518494431345,9,2.091927742715695,0.008930138569275454,0.03212152254530839
ABarppaa WBbt:0006465,3.020730021949435,7,2.3173206308197427,0.008384662134988587,0.03212152254530839
ABprapaap WBbt:0006624,3.020730021949435,7,2.3173206308197427,0.008384662134988587,0.03212152254530839
ABpraapp WBbt:0006335,3.020730021949435,7,2.3173206308197427,0.008384662134988587,0.03212152254530839
ABarpaapp WBbt:0006620,3.1122672953418418,7,2.2491641416779857,0.010105601759043995,0.03524004715974316
P12 WBbt:0004409,4.393789122835542,9,2.0483459147424514,0.010379422507790814,0.03524004715974316
RIC WBbt:0006834,3.1122672953418418,7,2.2491641416779857,0.010105601759043995,0.03524004715974316
ABprpapa WBbt:0006259,3.1122672953418418,7,2.2491641416779857,0.010105601759043995,0.03524004715974316
corpus WBbt:0003733,194.33363141208034,222,1.1423653146750175,0.01072314646496701,0.03556946144476862
ABplpapp WBbt:0006420,3.2038045687342493,7,2.1849023090586144,0.012075203126715535,0.039327577345894704
