Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nerve ring WBbt:0006749,10.004064710186164,32,3.1986998212254183,6.599139265372797e-10,1.7949658801814005e-07
tail WBbt:0005741,21.02105519876433,49,2.330996210070384,9.653483244126135e-10,1.7949658801814005e-07
AWB WBbt:0005671,9.685391431590928,29,2.99420010072184,1.9878535094001952e-08,1.8023205151895104e-06
thermosensory neuron WBbt:0005838,9.52605479229331,28,2.939307048984468,5.251034354079941e-08,3.5707033607743595e-06
hermaphrodite WBbt:0007849,25.60767417283148,51,1.991590476190476,9.670603824542827e-08,5.064999364162341e-06
sex organ WBbt:0008422,18.221282822534754,41,2.2501159989292407,9.310660595886657e-08,5.064999364162341e-06
ventral nerve cord WBbt:0005829,15.979188683846841,37,2.315511803011803,2.1467181183015611e-07,8.341533259686066e-06
amphid sensillum WBbt:0005391,15.467035200390212,36,2.327530747398297,2.8229832118394186e-07,9.598142920254023e-06
HSN WBbt:0006830,1.2519307373384279,8,6.390129870129869,4.3417182047986875e-06,0.00013121637241169366
pharynx WBbt:0003681,57.52052678644013,83,1.4429631409350443,4.428394592300718e-06,0.00013121637241169366
dorsal nerve cord WBbt:0006750,6.805950735712544,19,2.791674629718108,1.3719935008539733e-05,0.00033925657475661884
anal depressor muscle WBbt:0004292,5.280871473863913,16,3.029802955665025,2.0386073446123682e-05,0.0004353287526624171
uterine muscle WBbt:0005342,1.5023168848061133,8,5.325108225108226,1.92056802645184e-05,0.0004353287526624171
male WBbt:0007850,7.670921063328184,20,2.6072488342518017,2.3740134323491684e-05,0.0004612368954278384
PVQ WBbt:0006976,0.5918218031054385,5,8.448489010989011,2.5840620829191068e-05,0.00046857659103599804
ABarppaa WBbt:0006465,0.3755792212015283,4,10.650216450216451,3.264585445396423e-05,0.000554979525717392
ABarpapa WBbt:0006603,0.3869604097227867,4,10.336974789915967,3.792624663510962e-05,0.000606819946161754
intestinal muscle WBbt:0005796,2.276237704251687,9,3.9538928571428573,9.456969896559841e-05,0.001429053228813487
ABarpaaa WBbt:0006398,0.5121534834566295,4,7.810158730158731,0.0001506180897567588,0.002156216863886231
posterior lateral ganglion WBbt:0005465,1.968945614177709,8,4.063088356729975,0.0001581855266456366,0.002156216863886231
Cppa WBbt:0006168,0.5349158604991464,4,7.4778115501519755,0.00018568762544236822,0.0024050968628725787
excretory secretory system WBbt:0006850,10.732460775546704,22,2.0498560824117558,0.0003891904693554586,0.004811809439303852
MSpppp WBbt:0006409,0.3755792212015283,3,7.987662337662338,0.000508968290221026,0.006019103258266046
RIC WBbt:0006834,0.3869604097227867,3,7.752731092436975,0.0005717738960335571,0.00648010415504698
ABalappa WBbt:0006157,0.3869604097227867,3,7.752731092436975,0.0005717738960335571,0.00648010415504698
spermathecal-uterine junction WBbt:0006756,0.682871311275506,4,5.857619047619048,0.0005873750364399244,0.00648010415504698
Ear WBbt:0006370,0.3869604097227867,3,7.752731092436975,0.0005717738960335571,0.00648010415504698
PVM WBbt:0004086,0.682871311275506,4,5.857619047619048,0.0005873750364399244,0.00648010415504698
Eal WBbt:0006441,0.4097227867653036,3,7.32202380952381,0.0007135738023023638,0.00661995866036702
Epr WBbt:0006547,0.4097227867653036,3,7.32202380952381,0.0007135738023023638,0.00661995866036702
excretory cell WBbt:0005812,9.787822128282253,20,2.0433554817275748,0.0007058044159950133,0.00661995866036702
Epl WBbt:0006000,0.4097227867653036,3,7.32202380952381,0.0007135738023023638,0.00661995866036702
labial sensillum WBbt:0005107,34.08665962116901,50,1.4668495110899118,0.0008879477514855016,0.0073188420728501945
Capp WBbt:0006098,0.44386635232907895,3,6.758791208791209,0.0009704453762808521,0.007763563010246817
Cppp WBbt:0006268,0.44386635232907895,3,6.758791208791209,0.0009704453762808521,0.007763563010246817
Capa WBbt:0006444,0.4666287293715958,3,6.429094076655053,0.0011740302471184214,0.00887045075600585
PVD WBbt:0006831,32.91439720347939,48,1.4583283935981033,0.001335976413575008,0.009821232013308168
Cpapa WBbt:0005962,0.5121534834566295,3,5.857619047619048,0.001667719148933503,0.011937358118681915
hermaphrodite distal tip cell WBbt:0006863,2.2079505731241365,7,3.170360824742268,0.001679575507352108,0.011937358118681915
AIY WBbt:0005413,0.8877327046581579,4,4.505860805860806,0.0019285783293100443,0.013114332639308302
Cpapp WBbt:0005897,0.5349158604991464,3,5.608358662613981,0.001961756456102398,0.013114332639308302
retrovesicular ganglion WBbt:0005656,12.200634094789041,22,1.8031849680170575,0.0022063025647251276,0.014288435657267493
posterior gonad arm WBbt:0005466,2.3217624583367207,7,3.0149509803921566,0.002300896084243097,0.014484622240211856
URX WBbt:0006846,0.5576782375416632,3,5.379446064139942,0.0022898483688570215,0.014484622240211856
lateral nerve cord WBbt:0006769,4.711812047800992,11,2.3345583160800554,0.0027016359114066485,0.016329888175613518
nervous system WBbt:0005735,112.43476140151206,124,1.1028617702775008,0.0031292796947675586,0.018105540858841456
reproductive tract WBbt:0005744,19.632550199170797,31,1.579010351966874,0.0030909749516410505,0.018105540858841456
FLP WBbt:0006828,3.56231200715389,9,2.526449109995436,0.003061966468774658,0.018105540858841456
anal sphincter muscle WBbt:0005798,1.468173319242338,5,3.4055924695459576,0.0035358850672636863,0.019627770169300462
hmc WBbt:0004697,0.6942524997967645,3,4.321194379391101,0.005078368057224209,0.027626322231299696
AVE WBbt:0006819,5.15567840013007,11,2.1335698517817723,0.005541261928810207,0.029553396953654436
vulE WBbt:0006767,0.7170148768392813,3,4.184013605442177,0.005696441109781866,0.029553396953654436
somatic gonad WBbt:0005785,5.827168522884318,12,2.0593191964285715,0.005585020676677667,0.029553396953654436
ABarpppap WBbt:0006251,0.3869604097227867,2,5.1684873949579835,0.0066712378327895535,0.030892399185164846
ABprpppp WBbt:0006179,0.3869604097227867,2,5.1684873949579835,0.0066712378327895535,0.030892399185164846
ABarappa WBbt:0006005,0.3755792212015283,2,5.325108225108226,0.006133049838231256,0.030892399185164846
MSappp WBbt:0006125,0.3869604097227867,2,5.1684873949579835,0.0066712378327895535,0.030892399185164846
ABaraapa WBbt:0005853,0.4097227867653036,2,4.881349206349206,0.007829685659498377,0.030892399185164846
ABprpppa WBbt:0005943,0.3755792212015283,2,5.325108225108226,0.006133049838231256,0.030892399185164846
ABprpapa WBbt:0006259,0.3869604097227867,2,5.1684873949579835,0.0066712378327895535,0.030892399185164846
ABarappp WBbt:0006524,0.3869604097227867,2,5.1684873949579835,0.0066712378327895535,0.030892399185164846
P1 WBbt:0006770,0.3755792212015283,2,5.325108225108226,0.006133049838231256,0.030892399185164846
Ea WBbt:0006733,0.3983415982440452,2,5.020816326530612,0.007236676338016617,0.030892399185164846
ABprapap WBbt:0006678,0.3869604097227867,2,5.1684873949579835,0.0066712378327895535,0.030892399185164846
P2 WBbt:0006771,0.3869604097227867,2,5.1684873949579835,0.0066712378327895535,0.030892399185164846
ABaraaap WBbt:0005861,0.3869604097227867,2,5.1684873949579835,0.0066712378327895535,0.030892399185164846
vulF WBbt:0006768,0.7511584424030566,3,3.993831168831169,0.006714585743333381,0.030892399185164846
MSppaa WBbt:0006531,0.3869604097227867,2,5.1684873949579835,0.0066712378327895535,0.030892399185164846
ALN WBbt:0006851,0.3755792212015283,2,5.325108225108226,0.006133049838231256,0.030892399185164846
ABalppap WBbt:0006112,0.3983415982440452,2,5.020816326530612,0.007236676338016617,0.030892399185164846
ABarpppaa WBbt:0006041,0.3755792212015283,2,5.325108225108226,0.006133049838231256,0.030892399185164846
ABaraaaa WBbt:0006360,0.42110397528656207,2,4.749420849420849,0.008450564328753964,0.031924354130848306
pm5 WBbt:0003737,0.4324851638078205,2,4.624436090225564,0.009099589670934384,0.031924354130848306
BDU WBbt:0006826,0.4324851638078205,2,4.624436090225564,0.009099589670934384,0.031924354130848306
ABalpppa WBbt:0006649,0.44386635232907895,2,4.505860805860806,0.009777018362416375,0.031924354130848306
AVM WBbt:0003832,0.8194455735306072,3,3.661011904761905,0.009097437894209581,0.031924354130848306
ABalaaap WBbt:0005982,0.42110397528656207,2,4.749420849420849,0.008450564328753964,0.031924354130848306
Caaaa WBbt:0005899,0.42110397528656207,2,4.749420849420849,0.008450564328753964,0.031924354130848306
Ep WBbt:0006612,0.4324851638078205,2,4.624436090225564,0.009099589670934384,0.031924354130848306
ABaraapp WBbt:0006153,0.42110397528656207,2,4.749420849420849,0.008450564328753964,0.031924354130848306
Caap WBbt:0005921,0.42110397528656207,2,4.749420849420849,0.008450564328753964,0.031924354130848306
ABalaaaa WBbt:0006427,0.44386635232907895,2,4.505860805860806,0.009777018362416375,0.031924354130848306
ABprappa WBbt:0006269,0.4324851638078205,2,4.624436090225564,0.009099589670934384,0.031924354130848306
excretory duct cell WBbt:0004540,0.4324851638078205,2,4.624436090225564,0.009099589670934384,0.031924354130848306
ABarapaa WBbt:0006515,0.42110397528656207,2,4.749420849420849,0.008450564328753964,0.031924354130848306
Caapa WBbt:0006123,0.4324851638078205,2,4.624436090225564,0.009099589670934384,0.031924354130848306
vulD WBbt:0006766,0.8194455735306072,3,3.661011904761905,0.009097437894209581,0.031924354130848306
Cpaap WBbt:0006594,0.45524754085033736,2,4.3932142857142855,0.010483086973156091,0.032402268826118824
Cpaaa WBbt:0006212,0.45524754085033736,2,4.3932142857142855,0.010483086973156091,0.032402268826118824
pharyngeal-intestinal valve WBbt:0005767,1.8551337289651249,5,2.6952234881682733,0.01079806415299015,0.03263414944014801
CAN WBbt:0006827,0.864970327615641,3,3.468327067669173,0.01095801180352222,0.03275361769844004
amphid sheath cell WBbt:0006754,0.4666287293715958,2,4.286062717770035,0.011218012503817092,0.033166297837372266
ABalppaa WBbt:0005944,0.47800991789285424,2,4.184013605442177,0.011981992908816666,0.035044108292453045
ABplaaapa WBbt:0006680,0.47800991789285424,2,4.184013605442177,0.011981992908816666,0.035044108292453045
pharyngeal interneuron WBbt:0003668,11.688480611332412,19,1.625532062873835,0.012274132695603715,0.03514277992846537
corpus WBbt:0003733,24.162263230631655,34,1.4071529506762668,0.012603219420577998,0.03570912169163767
ABprappp WBbt:0006702,0.48939110641411265,2,4.0867109634551495,0.012775207607171006,0.035823262568562
Epla WBbt:0006661,0.5007722949353711,2,3.9938311688311687,0.013597817989090627,0.03774088258196582
Caaap WBbt:0006267,0.5007722949353711,2,3.9938311688311687,0.013597817989090627,0.03774088258196582
ADF WBbt:0005660,0.9446386472644501,3,3.1758175559380377,0.014771893669314012,0.04017955078053412
Z2 WBbt:0004576,0.5235346719778879,2,3.820186335403727,0.015331784155946574,0.04128955733086603
Z3 WBbt:0004575,0.5235346719778879,2,3.820186335403727,0.015331784155946574,0.04128955733086603
preanal ganglion WBbt:0005448,2.0144703682627427,5,2.4820419693301052,0.01569444921630775,0.04144553579452143
Eplp WBbt:0006496,0.5349158604991464,2,3.7389057750759878,0.016243376953740913,0.04248267818670701
cephalic sensillum WBbt:0006920,0.5349158604991464,2,3.7389057750759878,0.016243376953740913,0.04248267818670701
PVC WBbt:0005840,0.5349158604991464,2,3.7389057750759878,0.016243376953740913,0.04248267818670701
Epra WBbt:0006321,0.5349158604991464,2,3.7389057750759878,0.016243376953740913,0.04248267818670701
lateral ganglion WBbt:0005105,6.020648727745712,11,1.8270456386713474,0.01752904741544491,0.044147230527787185
postdeirid sensillum WBbt:0005471,0.5576782375416632,2,3.586297376093295,0.0181562529206963,0.04530734673788435
