GenePublicName,SequenceNameGene,SequenceNameTranscript,DC,OP50,Ratio_DCvsOP50,log2_Ratio_DCvsOP50,Infection_upregulated,Infection_downregulated
2L52.1,2L52.1,2L52.1,"0,080068","0,07456",1.073868970660,0.10281797199,,
2RSSE.1,2RSSE.1,2RSSE.1,"0,639852","0,586729",1.090540948206,0.12504394207,,
2RSSE.2,2RSSE.2,2RSSE.2,"0,080266","0,081083",0.989921488245,-0.01461398688,,
3R5.1,3R5.1,3R5.1,"0,270145","0,209694",1.288281972779,0.36544839796,,
nas-6,4R79.1,4R79.1a,"0,000617","0,000749",0.824236379271,-0.27886995372,,
nas-6,4R79.1,4R79.1b,0,0,,,,
4R79.2,4R79.2,4R79.2,"0,001306","0,001168",1.118778048029,0.16192385153,,
6R55.1,6R55.1,6R55.1a,"1,6612","1,38576",1.198764576839,0.26154835836,,
6R55.1,6R55.1,6R55.1b,"1,66481","1,38919",1.198403386146,0.26111360532,,
6R55.2,6R55.2,6R55.2,"0,013733","0,004444",3.090470864380,1.62782666400,1,
sri-20,AC3.1,AC3.1,0,"0,004061",0.000000000000,,,
spe-10,AC3.10,AC3.10,"0,046984","0,061875",0.759345903899,-0.39717087043,,
ugt-49,AC3.2,AC3.2,"0,178761","0,188618",0.947740936708,-0.07743533999,,
abu-1,AC3.3,AC3.3,"0,079414","0,084692",0.937688035177,-0.09282007083,,
pqn-2,AC3.4,AC3.4,"0,091448","0,071218",1.284072032857,0.36072613590,,
AC3.5,AC3.5,AC3.5.1,"0,226926","0,447873",0.506674883282,-0.98086778105,,1
AC3.5,AC3.5,AC3.5.2,"0,227023","0,451649",0.502653609329,-0.99236354824,,1
col-151,AC3.6,AC3.6,"0,00153","0,004382",0.349158065525,-1.51804779564,,1
ugt-1,AC3.7,AC3.7,"0,074427","0,066522",1.118838091688,0.16200127740,,
ugt-2,AC3.8,AC3.8,"0,051497","0,067732",0.760306089606,-0.39534774863,,
tag-49,AC7.1,AC7.1a,"0,018012","0,017117",1.052269978793,0.07350490149,,
tag-49,AC7.1,AC7.1b,"0,017936","0,01613",1.111967364551,0.15311444661,,
soc-2,AC7.2,AC7.2a.1,"0,257737","0,293097",0.879357345862,-0.18547854006,,
soc-2,AC7.2,AC7.2a.2,"0,208308","0,265451",0.784732398823,-0.34972732969,,
soc-2,AC7.2,AC7.2b,"0,190503","0,244839",0.778074571453,-0.36201966370,,
AC7.3,AC7.3,AC7.3,"0,180497","0,139279",1.295938368311,0.37399710877,,
AC8.10,AC8.10,AC8.10,nan,nan,,,,
AC8.11,AC8.11,AC8.11,nan,nan,,,,
AC8.12,AC8.12,AC8.12,nan,nan,,,,
AC8.3,AC8.3,AC8.3,nan,nan,,,,
AC8.4,AC8.4,AC8.4,nan,nan,,,,
AC8.7,AC8.7,AC8.7,nan,nan,,,,
AH10.1,AH10.1,AH10.1,"0,235093","0,254476",0.923831716940,-0.11429801732,,
AH10.2,AH10.2,AH10.2,0,"0,001435",0.000000000000,,,
AH10.3,AH10.3,AH10.3,"0,013667","0,018557",0.736468572168,-0.44130413344,,
AH10.4,AH10.4,AH10.4,"0,010772","0,010352",1.040550983347,0.05734765380,,
gcy-1,AH6.1,AH6.1,"0,000223",0,,,,
