GenePublicName,SequenceNameGene,SequenceNameTranscript,EF,OP50,Ratio_EFvsOP50,log2_Ratio_EFvsOP50,Infection_upregulated,Infection_downregulated
2L52.1,2L52.1,2L52.1,"0,065336","0,082443",0.792503911794,-0.33551003849,,
2RSSE.1,2RSSE.1,2RSSE.1,"0,803577","0,545563",1.472931632094,0.55869046749,,
2RSSE.2,2RSSE.2,2RSSE.2,"0,157082","0,103366",1.519667975930,0.60375615143,,
3R5.1,3R5.1,3R5.1,"0,179279","0,266413",0.672936380732,-0.57145797570,,
nas-6,4R79.1,4R79.1a,"0,022576","0,007624",2.961122770199,1.56614430689,,
nas-6,4R79.1,4R79.1b,"0,036276","0,005189",6.991019464251,2.80550285171,1,
4R79.2,4R79.2,4R79.2,"0,019526","0,00687",2.842154294032,1.50698487731,,
6R55.1,6R55.1,6R55.1a,"1,18305","1,01709",1.163171400761,0.21806370284,,
6R55.1,6R55.1,6R55.1b,"1,20363","0,955516",1.259664934967,0.33304003456,,
6R55.2,6R55.2,6R55.2,"0,029982","0,041001",0.731260213166,-0.45154322572,,
sri-20,AC3.1,AC3.1,"0,004567","0,000021",217.473333333333,7.76469469774,1,
spe-10,AC3.10,AC3.10,"0,015716","0,003352",4.688484486874,2.22912165907,1,
ugt-49,AC3.2,AC3.2,"0,339245","0,190666",1.779263214207,0.83127995059,,
abu-1,AC3.3,AC3.3,"0,026041","0,007244",3.594864715627,1.84593747921,1,
pqn-2,AC3.4,AC3.4,"0,013949",0,,,,
AC3.5,AC3.5,AC3.5.1,"0,322698","0,194448",1.659559368057,0.73080024043,,
AC3.5,AC3.5,AC3.5.2,"0,324668","0,182211",1.781824368452,0.83335513975,,
col-151,AC3.6,AC3.6,"0,0091","0,002194",4.147739288970,2.05232521471,1,
ugt-1,AC3.7,AC3.7,"0,145246","0,066653",2.179136723028,1.12375671662,,
ugt-2,AC3.8,AC3.8,"0,313216","0,050191",6.240481361200,2.64165731605,1,
tag-49,AC7.1,AC7.1a,"0,045547","0,012049",3.780122831770,1.91843311432,1,
tag-49,AC7.1,AC7.1b,"0,040745","0,011211",3.634385871020,1.86171160192,1,
soc-2,AC7.2,AC7.2a.1,"0,665048","0,348719",1.907117191779,0.93139349955,,
