GenePublicName,SequenceNameGene,SequenceNameTranscript,Db10,OP50,Ratio_Db10vsOP50,log2_Ratio_Db10vsOP50,Infection_upregulated,Infection_downregulated
2L52.1,2L52.1,2L52.1,"0,097496","0,082443","1,182579",0.241936563354,,
2RSSE.1,2RSSE.1,2RSSE.1,"0,457994","0,545563","0,839489",-0.252416673536,,
2RSSE.2,2RSSE.2,2RSSE.2,"0,030032","0,103366","0,290541",-1.783186329457,,1
3R5.1,3R5.1,3R5.1,"0,266785","0,266413","1,001396",0.002012597810,,
nas-6,4R79.1,4R79.1a,"0,003499","0,007624","0,458954",-1.123578532310,,
nas-6,4R79.1,4R79.1b,"0,006366","0,005189","1,226827",0.294931822889,,
4R79.2,4R79.2,4R79.2,"0,001589","0,00687","0,23125",-2.112474729258,,1
6R55.1,6R55.1,6R55.1a,"2,1174","1,01709","2,081822",1.057846720561,,
6R55.1,6R55.1,6R55.1b,"1,93668","0,955516","2,026842",1.019233629653,,
6R55.2,6R55.2,6R55.2,"0,019587","0,041001","0,477725",-1.065747717906,,
sri-20,AC3.1,AC3.1,0,"0,000021",0,,,
spe-10,AC3.10,AC3.10,0,"0,003352",0,,,
ugt-49,AC3.2,AC3.2,"0,430047","0,190666","2,255499",1.173446646423,,
abu-1,AC3.3,AC3.3,0,"0,007244",0,,,
pqn-2,AC3.4,AC3.4,0,0,,,,
AC3.5,AC3.5,AC3.5.1,"0,484609","0,194448","2,492229",1.317436637377,,
AC3.5,AC3.5,AC3.5.2,"0,448019","0,182211","2,458792",1.297949696194,,
col-151,AC3.6,AC3.6,"0,002237","0,002194","1,019389",0.027704690639,,
ugt-1,AC3.7,AC3.7,"0,104308","0,066653","1,564938",0.646105501334,,
ugt-2,AC3.8,AC3.8,"0,410814","0,050191","8,184948",3.032973251106,1,
tag-49,AC7.1,AC7.1a,"0,019023","0,012049","1,578736",0.658769940461,,
tag-49,AC7.1,AC7.1b,"0,021068","0,011211","1,879284",0.910183105306,,
soc-2,AC7.2,AC7.2a.1,"0,53481","0,348719","1,533642",0.616961752005,,
soc-2,AC7.2,AC7.2a.2,"0,555203","0,298924","1,857338",0.893236382075,,
soc-2,AC7.2,AC7.2b,"0,523218","0,272344","1,921166",0.941982181695,,
AC7.3,AC7.3,AC7.3,0,0,,,,
AC8.10,AC8.10,AC8.10,nan,nan,,,,
AC8.11,AC8.11,AC8.11,nan,nan,,,,
AC8.12,AC8.12,AC8.12,nan,nan,,,,
AC8.3,AC8.3,AC8.3,nan,nan,,,,
AC8.4,AC8.4,AC8.4,nan,nan,,,,
AC8.7,AC8.7,AC8.7,nan,nan,,,,
AH10.1,AH10.1,AH10.1,"0,003431","0,00065","5,277912",2.399967296435,1,
AH10.2,AH10.2,AH10.2,0,"0,005138",0,,,
AH10.3,AH10.3,AH10.3,"0,021016","0,006977","3,012221",1.590827621241,1,
AH10.4,AH10.4,AH10.4,"0,007757","0,058191","0,133311",-2.907132267268,,1
gcy-1,AH6.1,AH6.1,0,0,,,,
sra-6,AH6.10,AH6.10,"0,002428","0,000375","6,482017",2.696442804331,1,
sra-7,AH6.11,AH6.11,0,0,,,,
sra-8,AH6.12,AH6.12,0,0,,,,
sra-9,AH6.14,AH6.14,0,0,,,,
AH6.2,AH6.2,AH6.2,"0,005261",0,,,,
AH6.3,AH6.3,AH6.3,0,0,,,,
sra-1,AH6.4,AH6.4,0,0,,,,
mex-6,AH6.5,AH6.5,"4,32174","3,39756","1,272013",0.347113415072,,
sra-2,AH6.6,AH6.6,0,0,,,,
sra-3,AH6.7,AH6.7,"0,002419","0,000749","3,228435",1.690834980741,1,
sra-4,AH6.8,AH6.8,0,0,,,,
AH9.1,AH9.1,AH9.1,"0,037052","0,019237","1,926034",0.945633171093,,
crn-4,AH9.2,AH9.2,"0,530544","0,382421","1,38733",0.472310997998,,
AH9.3,AH9.3,AH9.3,"0,575661","0,425061","1,354302",0.437549485826,,
AH9.4,AH9.4,AH9.4,"0,018722","0,020632","0,907424",-0.140151277580,,
AH9.6,AH9.6,AH9.6,"0,096656","0,114943","0,840901",-0.249992134141,,
B0001.1,B0001.1,B0001.1,"2,58872","1,92265","1,346433",0.429142441520,,
B0001.2,B0001.2,B0001.2,"0,554361","0,304875","1,818322",0.862607703750,,
B0001.3,B0001.3,B0001.3,"0,508513","0,415656","1,223399",0.290895001937,,
B0001.4,B0001.4,B0001.4,"0,938448","0,819719","1,144841",0.195147245100,,
B0001.5,B0001.5,B0001.5,"0,402653","0,475407","0,846965",-0.239625742059,,
B0001.6,B0001.6,B0001.6.1,"1,5393","1,40522","1,095416",0.131478858103,,
B0001.6,B0001.6,B0001.6.2,"1,57515","1,40025","1,124906",0.169804451220,,
B0001.6,B0001.6,B0001.6.3,"1,52853","1,34134","1,139554",0.188469291155,,
B0001.7,B0001.7,B0001.7,"0,450806","0,360367","1,250964",0.323040272502,,
B0001.8,B0001.8,B0001.8.1,"0,701638","0,452605","1,550221",0.632473901226,,
B0001.8,B0001.8,B0001.8.2,"0,719716","0,451013","1,595777",0.674259057906,,
B0001.8,B0001.8,B0001.8.3,"0,718676","0,450563","1,595062",0.673612502582,,
amx-2,B0019.1,B0019.1,"0,342081","0,283053","1,20854",0.273265223907,,
B0019.2,B0019.2,B0019.2,"0,422869","0,366317","1,15438",0.207118210009,,
col-149,B0024.1,B0024.1,"1,32578","0,068379","19,38873",4.277146402060,1,
B0024.10,B0024.10,B0024.10.1,"0,867938","0,695898","1,24722",0.318715967906,,
B0024.10,B0024.10,B0024.10.2,"0,87247","0,675303","1,291968",0.369570337204,,
B0024.11,B0024.11,B0024.11,"0,590602","0,448906","1,315647",0.395772452854,,
gna-1,B0024.12,B0024.12,"0,138547","0,071798","1,929688",0.948367605400,,
B0024.13,B0024.13,B0024.13a,"2,22217","1,27197","1,74703",0.804904382427,,
B0024.13,B0024.13,B0024.13b,"1,72463","1,0057","1,714855",0.778086594110,,
crm-1,B0024.14,B0024.14a,"0,491015","0,613798","0,799962",-0.321996624529,,
crm-1,B0024.14,B0024.14b,"0,454237","0,581463","0,781197",-0.356241685977,,
crm-1,B0024.14,B0024.14c.1,"0,520716","0,629957","0,82659",-0.274756184644,,
crm-1,B0024.14,B0024.14c.2,"0,362179","0,552662","0,655335",-0.609695509935,,
crm-1,B0024.14,B0024.14d,"0,48414","0,608112","0,796136",-0.328913194563,,
crm-1,B0024.14,B0024.14e,"0,556378","0,656593","0,847371",-0.238934339412,,
B0024.15,B0024.15,B0024.15,"0,00516","0,000351","14,684454",3.876217719002,1,
col-150,B0024.2,B0024.2,"0,04166","0,056688","0,734906",-0.444368364675,,
B0024.3,B0024.3,B0024.3,"0,027371","0,017719","1,544711",0.627336949543,,
B0024.4,B0024.4,B0024.4,"5,35325","0,115402","46,387844",5.535674889495,1,
gcy-6,B0024.6,B0024.6,0,"0,000143",0,,,
B0024.8,B0024.8,B0024.8,"0,031471","0,021476","1,465376",0.551270892453,,
