#WBPaper00037950_BAG-neuron_embryo_enriched_WBbt_0006825_454
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
ASI WBbt:0005666,5.674034249303067,29,5.111001930163186,1.4021139564584222e-14,5.608455825833689e-13
osmosensory neuron WBbt:0008433,4.204500199123855,24,5.7081695477148955,1.5348153067574217e-13,3.0696306135148432e-12
ASK WBbt:0005668,4.286140979689367,24,5.599442508710801,2.4695395334940054e-13,3.0696306135148432e-12
nociceptor neuron WBbt:0008434,4.204500199123855,24,5.7081695477148955,1.5348153067574217e-13,3.0696306135148432e-12
nervous system WBbt:0005735,120.50179211469533,163,1.3526769779892922,3.994649372575748e-11,2.870224945691724e-10
lateral ganglion WBbt:0005105,20.736758263639985,52,2.5076243518340693,3.587781182114655e-11,2.870224945691724e-10
tail WBbt:0005741,67.59856630824373,110,1.627253446447508,1.5067514350069874e-10,8.610008200039929e-10
ADL WBbt:0005661,4.286140979689367,19,4.432891986062718,4.861533128426445e-09,2.4307665642132224e-08
ASEL WBbt:0003904,5.347471127041019,21,3.927089927387824,9.374876506677156e-09,4.166611780745403e-08
ASER WBbt:0003903,5.347471127041019,21,3.927089927387824,9.374876506677156e-09,4.166611780745403e-08
posterior lateral ganglion WBbt:0005465,6.531262445240939,22,3.3684146341463417,8.824847360565663e-08,3.2090354038420594e-07
AWC WBbt:0005672,4.65352449223417,16,3.4382541720154043,2.7910408592349256e-06,9.303469530783086e-06
