#WBPaper00037950_GABAergic-motor-neurons_embryo_enriched_WBbt_0005190_361
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,92.87455197132617,138,1.4858752701451063,3.2615283028847915e-16,1.3046113211539167e-14
dorsal nerve cord WBbt:0006750,8.242931103146157,31,3.7607981447482848,1.2311744515004069e-11,2.462348903000814e-10
ventral nerve cord WBbt:0005829,14.094782954998008,39,2.766981238698011,4.871011437219655e-10,6.494681916292873e-09
nerve ring WBbt:0006749,19.852250099561928,46,2.3171176954402295,4.68134750022451e-09,4.68134750022451e-08
retrovesicular ganglion WBbt:0005656,3.743926722421346,14,3.739389426656739,3.6711017499724194e-06,2.9368813999779355e-05
preanal ganglion WBbt:0005448,5.442851453604141,15,2.755908392478233,9.019268323902896e-05,0.0005384573928111931
lateral ganglion WBbt:0005105,15.98247710075667,31,1.9396242400079737,8.076860892167896e-05,0.0005384573928111931
anal sphincter muscle WBbt:0005798,3.869772998805257,12,3.100957085520222,0.00011055065313907175,0.0005527532656953587
HSN WBbt:0006830,3.3978494623655915,11,3.2373417721518987,0.00012640725568027107,0.0005618100252456493
muscle cell WBbt:0003675,42.8821186778176,63,1.4691438283013085,0.00014931607702600014,0.0005972643081040006
uterine muscle WBbt:0005342,4.152927120669056,11,2.6487341772151898,0.0008235138870716631,0.0029945959529878658
tail WBbt:0005741,52.10035842293907,69,1.3243670886075949,0.0016714410175147393,0.005571470058382465
somatic gonad WBbt:0005785,15.164476304261251,25,1.6485897368559272,0.004035089087933579,0.012415658732103322
posterior lateral ganglion WBbt:0005465,5.033851055356431,11,2.185205696202532,0.004250040509949817,0.012415658732103322
