#WBPaper00024970_GABAergic_neuron_specific_WBbt_0005190_247
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nerve ring WBbt:0006749,16.711071286340104,48,2.8723472707124387,3.3618559218406994e-13,1.5599011477340844e-10
nervous system WBbt:0005735,78.17921146953405,113,1.4453970291582614,8.755954125328137e-12,2.031381357076128e-09
RMEV WBbt:0005021,0.7415372361608921,10,13.485499462943071,4.34727818993822e-11,6.723790267104446e-09
RMED WBbt:0005027,0.7945041816009558,10,12.586466165413533,1.0570595848875703e-10,1.2261891184695816e-08
retrovesicular ganglion WBbt:0005656,3.1515332536837914,18,5.711505654893537,1.5831705040848804e-10,1.469182227790769e-08
lateral ganglion WBbt:0005105,13.453604141776184,38,2.8245219347581556,3.0367829874822304e-10,2.3484455103195913e-08
RMER WBbt:0005023,0.7150537634408602,8,11.18796992481203,1.530077527669926e-08,1.0142228183412083e-06
RMEL WBbt:0005025,0.7150537634408602,8,11.18796992481203,1.530077527669926e-08,1.0142228183412083e-06
dorsal nerve cord WBbt:0006750,6.9386698526483475,22,3.170636514951501,2.4968296076012894e-07,1.2872543754744425e-05
SMDVL WBbt:0004970,0.7680207088809239,7,9.114337568058076,5.266858378359252e-07,2.443822287558693e-05
SMDVR WBbt:0004969,0.7945041816009558,7,8.810526315789474,7.023314510242042e-07,2.962561757047552e-05
tail WBbt:0005741,43.85663082437276,70,1.5961098398169338,7.033328322735104e-07,2.962561757047552e-05
SMDDR WBbt:0004971,0.8474711270410195,7,8.259868421052632,1.2069864990520304e-06,4.3080133504626314e-05
SMDDL WBbt:0004972,0.9004380724810833,7,7.773993808049535,1.9923925009051365e-06,6.603358002999881e-05
DVB WBbt:0004822,0.6620868180007965,6,9.062255639097744,2.5194566362926986e-06,7.793519194932081e-05
RMDVL WBbt:0005031,0.6885702907208284,6,8.713707345286291,3.372148960117348e-06,9.77923198434031e-05
AS neuron WBbt:0005334,0.7150537634408602,6,8.390977443609023,4.452692415262567e-06,0.00012153231062834301
BAG WBbt:0006825,1.0328554360812425,7,6.777327935222672,6.038080999656874e-06,0.00015564831021337721
ventral nerve cord WBbt:0005829,11.864595778574273,27,2.2756780343716434,1.1212312789252233e-05,0.00027381648074805456
PVC WBbt:0005840,1.13878932696137,7,6.1468788249693995,1.301607771680165e-05,0.0003019730030297983
posterior lateral ganglion WBbt:0005465,4.237355635205097,14,3.3039473684210527,1.7108524945049875e-05,0.0003780169321191972
AIY WBbt:0005413,2.0392273994424532,9,4.413436187872278,2.9328802941210883e-05,0.0006185711165782659
RIS WBbt:0005045,0.6620868180007965,5,7.55187969924812,3.6069878228084246e-05,0.0006919683824024488
NSM WBbt:0003666,1.2976901632815612,7,5.3941997851772285,3.5410520318008e-05,0.0006919683824024488
RMDVR WBbt:0005029,0.6620868180007965,5,7.55187969924812,3.6069878228084246e-05,0.0006919683824024488
SDQL WBbt:0004993,0.953405017921147,6,6.293233082706767,3.430015688632828e-05,0.0006919683824024488
RIM WBbt:0005835,0.6885702907208284,5,7.261422787738576,4.587919700819731e-05,0.000788442496733465
HSN WBbt:0006830,2.860215053763441,10,3.496240601503759,0.00011475552332043098,0.001901662957881428
ALN WBbt:0006851,0.8209876543209876,5,6.090225563909774,0.00013157852552779945,0.0021052564084447912
ASER WBbt:0003903,3.4693349263241737,11,3.170636514951501,0.00015616950633582337,0.002415421697994068
ASEL WBbt:0003904,3.4693349263241737,11,3.170636514951501,0.00015616950633582337,0.002415421697994068
preanal ganglion WBbt:0005448,4.581640780565511,13,2.837411447694381,0.00016687092809279623,0.002419628457345545
ASG WBbt:0005664,1.6154918359219435,7,4.33304572907679,0.00017700649974613234,0.0024888186630971335
AUA WBbt:0006817,0.8739545997610514,5,5.721120984278879,0.00018950033207228045,0.0025861221788687685
PLM WBbt:0005490,2.198128235762644,8,3.639460096023191,0.000305471144130267,0.004049674596469825
AVA WBbt:0005842,1.3506571087216248,6,4.442282176028306,0.0003417021859591969,0.004404161507918538
SDQR WBbt:0004991,0.9798884906411789,5,5.102621418410892,0.00036463574464909996,0.004572729338302227
AVM WBbt:0003832,1.8008761449621666,7,3.8869969040247674,0.0003802871917089624,0.004643506761919962
M4 neuron WBbt:0004467,0.6620868180007965,4,6.041503759398497,0.00041901648717748897,0.004985221796162946
AIA WBbt:0006812,0.6885702907208284,4,5.809138230190861,0.0005078586991161542,0.005891160909747389
uv1 WBbt:0006791,0.7150537634408602,4,5.593984962406015,0.0006101640077359609,0.006905270721694777
AVD WBbt:0006818,0.7680207088809239,4,5.208192896033187,0.0008602080628799405,0.009503250980387914
URX WBbt:0006846,1.1652727996814018,5,4.290840738209159,0.0009512019899334841,0.010264133100677595
OLL WBbt:0006847,0.8209876543209876,4,4.87218045112782,0.0011795951250334739,0.01243936677308027
ASK WBbt:0005668,2.780764635603345,8,2.876906552094522,0.0017086821330324078,0.017618411327267495
ALM WBbt:0005406,2.27757865392274,7,3.0734394124846998,0.001831355940629341,0.01847280774895683
DVA WBbt:0004823,0.926921545201115,4,4.3153598281417835,0.002070538401334811,0.02044105996211388
outer labial lateral sensillum WBbt:0005503,0.9798884906411789,4,4.082097134728714,0.002664998688257574,0.025761653986489882
PQR WBbt:0004096,1.4830744723217841,5,3.371374865735768,0.0033756075006000676,0.03196493633221288
SIA WBbt:0005361,0.7150537634408602,3,4.195488721804511,0.00514128578082564,0.047711132046061935
RID WBbt:0003938,0.7150537634408602,3,4.195488721804511,0.00514128578082564,0.047711132046061935
AIM WBbt:0006814,0.7150537634408602,3,4.195488721804511,0.00514128578082564,0.047711132046061935
