#WBPaper00037950_GABAergic-motor-neurons_embryo_enriched_WBbt_0005190_361
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
RMER WBbt:0005023,0.8494623655913979,14,16.481012658227847,1.8904589489244876e-16,8.771729523009623e-14
nervous system WBbt:0005735,92.87455197132617,138,1.4858752701451063,3.2615283028847915e-16,8.771729523009623e-14
RMEL WBbt:0005025,0.8494623655913979,14,16.481012658227847,1.8904589489244876e-16,8.771729523009623e-14
RMED WBbt:0005027,0.943847072879331,13,13.773417721518987,4.928766772704992e-14,5.717369456337791e-12
RMEV WBbt:0005021,0.8809239346873755,12,13.622061482820977,4.502063461433734e-13,4.177914892210505e-11
dorsal nerve cord WBbt:0006750,8.242931103146157,31,3.7607981447482848,1.2311744515004069e-11,9.52108242493648e-10
RIS WBbt:0005045,0.7865392273994425,10,12.713924050632912,6.442556755860151e-11,4.270494763884443e-09
ventral nerve cord WBbt:0005829,14.094782954998008,39,2.766981238698011,4.871011437219655e-10,2.8251866335873995e-08
nerve ring WBbt:0006749,19.852250099561928,46,2.3171176954402295,4.68134750022451e-09,2.4134947112268585e-07
DVB WBbt:0004822,0.7865392273994425,8,10.171139240506328,3.1941833078388365e-08,1.48210105483722e-06
AS neuron WBbt:0005334,0.8494623655913979,8,9.417721518987342,6.941707250184947e-08,2.928138330987105e-06
retrovesicular ganglion WBbt:0005656,3.743926722421346,14,3.739389426656739,3.6711017499724194e-06,0.00013246614304437184
ALN WBbt:0006851,0.9753086419753085,7,7.177215189873419,3.4258485270096166e-06,0.00013246614304437184
PVC WBbt:0005840,1.352847471127041,8,5.913453046806005,5.419413753908294e-06,0.00017961485584381778
PLM WBbt:0005490,2.611310234966149,11,4.212444715571146,8.674926933815672e-06,0.00026834440648603147
SDQL WBbt:0004993,1.1326164874551972,7,6.180379746835443,1.1491667274760233e-05,0.00033325835096804674
SDQR WBbt:0004991,1.1640780565511748,7,6.013342456380431,1.4273939598411437e-05,0.00038100921797697157
SIA WBbt:0005361,0.8494623655913979,6,7.063291139240506,1.3959389451742493e-05,0.00038100921797697157
NSM WBbt:0003666,1.5416168857029073,8,5.189356755360372,1.6791715792615087e-05,0.00041007137514596846
AVM WBbt:0003832,2.1393866985264838,9,4.20681310498883,4.314164910428332e-05,0.001000886259219373
SMDDR WBbt:0004971,1.0067702110712864,6,5.959651898734177,4.633590856694086e-05,0.001023802932145741
SMDDL WBbt:0004972,1.0696933492632419,6,5.609084139985107,7.023478959464452e-05,0.0014813155623597753
lateral ganglion WBbt:0005105,15.98247710075667,31,1.9396242400079737,8.076860892167896e-05,0.001629418893028654
preanal ganglion WBbt:0005448,5.442851453604141,15,2.755908392478233,9.019268323902896e-05,0.001743725209287893
diagonal muscle WBbt:0005815,0.7865392273994425,5,6.356962025316456,9.508547084221552e-05,0.0017647863388315199
anal sphincter muscle WBbt:0005798,3.869772998805257,12,3.100957085520222,0.00011055065313907175,0.001972903963712665
BDU WBbt:0006826,1.1640780565511748,6,5.154293534040369,0.00012414912885720227,0.0021335257699904393
CEP WBbt:0005244,1.1640780565511748,6,5.154293534040369,0.00012414912885720227,0.0021335257699904393
HSN WBbt:0006830,3.3978494623655915,11,3.2373417721518987,0.00012640725568027107,0.0021335257699904393
RID WBbt:0003938,0.8494623655913979,5,5.886075949367089,0.00015084443558406092,0.002309421991335469
muscle cell WBbt:0003675,42.8821186778176,63,1.4691438283013085,0.00014931607702600014,0.002309421991335469
AVA WBbt:0005842,1.6045400238948624,7,4.362620997766196,0.00016185392580925583,0.0023468819242342094
SMDVL WBbt:0004970,0.9123855037833533,5,5.480139676996944,0.0002297644953594994,0.0032306280559638704
DVC WBbt:0004821,0.943847072879331,5,5.2974683544303796,0.0002798175132517489,0.0038186860632003377
SMDVR WBbt:0004969,0.943847072879331,5,5.2974683544303796,0.0002798175132517489,0.0038186860632003377
ALM WBbt:0005406,2.705694942254082,9,3.3263173388283778,0.00032285349164632197,0.004161222781219261
OLL WBbt:0006847,0.9753086419753085,5,5.126582278481013,0.00033805227445040515,0.004239358252567243
CAN WBbt:0006827,2.3281561131023496,8,3.4361956893602463,0.0004608520221524529,0.00562724574417732
AUA WBbt:0006817,1.038231780167264,5,4.815880322209436,0.0004827267633910634,0.005743210723421883
RIC WBbt:0006834,1.0696933492632419,5,4.674236783320922,0.0005711179006284701,0.006624967647290253
cephalic sensillum WBbt:0006920,1.4786937475109518,6,4.057635335308376,0.0005822795857225422,0.006624967647290253
uterine muscle WBbt:0005342,4.152927120669056,11,2.6487341772151898,0.0008235138870716631,0.009097867704791707
PVQ WBbt:0006976,1.573078454798885,6,3.8141772151898734,0.0008544558705935965,0.009220174975707646
outer labial lateral sensillum WBbt:0005503,1.1640780565511748,5,4.295244611700308,0.0009131891658078122,0.009629994839427837
lateral nerve cord WBbt:0006769,2.611310234966149,8,3.063596156779015,0.0010765066021109163,0.011099979186210338
AIA WBbt:0006812,0.8180007964954202,4,4.889970788704965,0.001113711942369513,0.011233963940422914
male gonadal cell WBbt:0008209,0.8809239346873755,4,4.540687160940326,0.0015815682456071217,0.015613780126844775
tail WBbt:0005741,52.10035842293907,69,1.3243670886075949,0.0016714410175147393,0.016157263169309145
AVD WBbt:0006818,0.9123855037833533,4,4.384111741597556,0.0018631940268946695,0.017643306703655645
IL2 neuron WBbt:0005118,1.352847471127041,5,3.695908154253753,0.0020497255254052424,0.01902145287576065
somatic gonad WBbt:0005785,15.164476304261251,25,1.6485897368559272,0.004035089087933579,0.036711398760807465
posterior lateral ganglion WBbt:0005465,5.033851055356431,11,2.185205696202532,0.004250040509949817,0.03792343839647529
DVA WBbt:0004823,1.1011549183592193,4,3.632549728752261,0.00437584976253222,0.03830932622292359
