#WBPaper00037950_GABAergic-motor-neurons_larva_enriched_WBbt_0005190_132
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
RMEL WBbt:0005025,0.2741935483870968,6,21.882352941176467,5.535805445182794e-09,2.5686137265648163e-06
RMER WBbt:0005023,0.2741935483870968,6,21.882352941176467,5.535805445182794e-09,2.5686137265648163e-06
RMEV WBbt:0005021,0.2843488649940263,5,17.584033613445378,2.577206591199741e-07,3.986079527722266e-05
RMED WBbt:0005027,0.3046594982078853,5,16.411764705882355,3.999659468602731e-07,4.6396049835791677e-05
DVB WBbt:0004822,0.25388291517323774,4,15.75529411764706,4.030035360774259e-06,0.00037398728147985125
RIS WBbt:0005045,0.25388291517323774,4,15.75529411764706,4.030035360774259e-06,0.00037398728147985125
AS neuron WBbt:0005334,0.2741935483870968,4,14.588235294117645,6.030444252241554e-06,0.0003997323047200116
nervous system WBbt:0005735,29.978494623655912,43,1.434361549497848,1.926081631789784e-05,0.0011171273464380747
nerve ring WBbt:0006749,6.408004778972521,17,2.652931854199683,2.378501421614591e-05,0.0012262496218101893
dorsal nerve cord WBbt:0006750,2.6606929510155317,10,3.7584193982936687,4.6597450188434824e-05,0.0021621216887433756
retrovesicular ganglion WBbt:0005656,1.2084826762246117,6,4.964903608502224,0.00017148986317116588,0.007233754228310996
