#WBPaper00037950_dopaminergic-neurons_larva_enriched_WBbt_0006746_1230
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
CEP WBbt:0005244,2.9912385503783354,23,7.689122620157103,4.24360036226988e-18,1.9690305680932245e-15
cephalic sensillum WBbt:0006920,3.7996814018319394,24,6.316319044125354,6.805797187542326e-16,1.5789449475098196e-13
nervous system WBbt:0005735,238.65232974910393,303,1.2696293403820738,1.2125281081175598e-12,1.8753768072218256e-10
ADE WBbt:0005415,2.6678614097968936,16,5.997313031795791,6.789523897923503e-11,7.875847721591264e-09
PDE WBbt:0006747,3.6379928315412187,18,4.947783251231527,3.9799703625608337e-10,3.693412496456454e-08
postdeirid sensillum WBbt:0005471,3.9613699721226605,18,4.5438825776616065,2.2680762427609677e-09,1.7539789610684816e-07
nerve ring WBbt:0006749,51.01274392672242,87,1.7054561919855105,5.592429483495729e-08,3.706981829060026e-06
posterior lateral ganglion WBbt:0005465,12.935085623257665,33,2.5512007389162563,9.39765981876288e-08,5.45064269488247e-06
OLQ WBbt:0006848,2.8295499800876143,13,4.594370161857847,1.9564933255784292e-07,1.0086810034093236e-05
outer labial quadrant sensillum WBbt:0005502,3.7188371166865792,15,4.03351895480831,2.5617531851451303e-07,1.1412065116275026e-05
tail WBbt:0005741,133.87813620071685,180,1.3445063182694366,2.459496792300652e-07,1.1412065116275026e-05
lateral ganglion WBbt:0005105,41.068896853843086,71,1.7288022186881815,6.427902564369248e-07,2.4854556582227758e-05
retrovesicular ganglion WBbt:0005656,9.620469932297889,25,2.5986256571594155,1.8540274971153719e-06,6.617451989704097e-05
PHA WBbt:0007807,7.033452807646356,18,2.559198233395618,4.660350713892725e-05,0.001544573379461589
CAN WBbt:0006827,5.982477100756671,16,2.6744774330981227,5.933428335285084e-05,0.001835407165048186
ventral nerve cord WBbt:0005829,36.218239745121465,58,1.6014030612244898,7.430709228388619e-05,0.0021549056762326995
lateral nerve cord WBbt:0006769,6.710075667064913,17,2.533503472016144,8.126708923863424e-05,0.0022181134945133112
AIY WBbt:0005413,6.225009956192752,16,2.5702770136267676,0.0001010834136110052,0.0026057057730836893
