#WBPaper00024505_pharyngeal_enriched_WBbt_0003681_329
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
pharynx WBbt:0003681,46.621863799283155,82,1.7588314433980397,4.159056136464348e-11,1.077195539344266e-08
pm3 WBbt:0003740,0.9761051373954599,7,7.171358629130967,3.901536871631342e-06,0.0005052490248762589
pm7 WBbt:0003721,0.9761051373954599,7,7.171358629130967,3.901536871631342e-06,0.0005052490248762589
pm6 WBbt:0003724,1.130227001194743,7,6.193446088794927,1.24207240923789e-05,0.0008042418849815338
pm4 WBbt:0003739,1.027479091995221,6,5.839534883720931,5.767427493050702e-05,0.0029875274414002634
ABprpaapa WBbt:0006047,0.8476702508960574,5,5.898520084566596,0.00016016944527183217,0.006913981054234088
ABaraapa WBbt:0005853,0.9247311827956989,5,5.406976744186046,0.0002644313775188383,0.009783960968197019
pm5 WBbt:0003737,0.9761051373954599,5,5.122399020807834,0.00035934354112371336,0.010005131593063023
ABarapaa WBbt:0006515,0.9504181600955794,5,5.260842237586424,0.00030903881368534434,0.010005131593063023
ABaraapp WBbt:0006153,0.9504181600955794,5,5.260842237586424,0.00030903881368534434,0.010005131593063023
ABalaaaa WBbt:0006427,1.0017921146953406,5,4.991055456171735,0.0004158406266109778,0.010005131593063023
ABalpapa WBbt:0006573,1.027479091995221,5,4.866279069767442,0.00047904645337444867,0.010005131593063023
ABpraaaa WBbt:0006442,1.0017921146953406,5,4.991055456171735,0.0004158406266109778,0.010005131593063023
ABarappa WBbt:0006005,0.8476702508960574,4,4.718816067653276,0.0013779470205633017,0.02549201988042108
ABpraapa WBbt:0006302,1.0017921146953406,4,3.9928443649373877,0.0029557973587051316,0.02549201988042108
ABaraaap WBbt:0005861,0.873357228195938,4,4.580027359781122,0.0015826901417596898,0.02549201988042108
ABplpaaa WBbt:0006315,0.9247311827956989,4,4.325581395348838,0.0020580819962396093,0.02549201988042108
ABprpapaa WBbt:0006446,0.9247311827956989,4,4.325581395348838,0.0020580819962396093,0.02549201988042108
MSaaap WBbt:0006160,0.8990442054958183,4,4.449169435215947,0.0018089638547522803,0.02549201988042108
ABprpappp WBbt:0005847,0.9504181600955794,4,4.208673790069139,0.002331369993494305,0.02549201988042108
MSppaa WBbt:0006531,0.873357228195938,4,4.580027359781122,0.0015826901417596898,0.02549201988042108
ABaraaaa WBbt:0006360,0.9504181600955794,4,4.208673790069139,0.002331369993494305,0.02549201988042108
ABalaapp WBbt:0006553,0.8476702508960574,4,4.718816067653276,0.0013779470205633017,0.02549201988042108
MSappa WBbt:0006717,0.873357228195938,4,4.580027359781122,0.0015826901417596898,0.02549201988042108
ABplpaap WBbt:0006077,0.9247311827956989,4,4.325581395348838,0.0020580819962396093,0.02549201988042108
MSpppp WBbt:0006409,0.8476702508960574,4,4.718816067653276,0.0013779470205633017,0.02549201988042108
MSaapp WBbt:0006425,0.9247311827956989,4,4.325581395348838,0.0020580819962396093,0.02549201988042108
MSappp WBbt:0006125,0.873357228195938,4,4.580027359781122,0.0015826901417596898,0.02549201988042108
ABprpappa WBbt:0006088,0.9761051373954599,4,4.097919216646267,0.0026301618802266774,0.02549201988042108
ABplpapa WBbt:0006087,0.9761051373954599,4,4.097919216646267,0.0026301618802266774,0.02549201988042108
NSM WBbt:0003666,1.2586618876941458,5,3.9724727100142383,0.001444878644503889,0.02549201988042108
ABalpaaa WBbt:0006557,1.0531660692951017,4,3.7980714690867834,0.003692969005436722,0.02988996788775347
muscle cell WBbt:0003675,35.011350059737154,48,1.3709839785698443,0.004252660735804467,0.03337694335070779
ABprappp WBbt:0006702,1.1045400238948626,4,3.621416982152515,0.004553607953726493,0.03468777823574005
ABarpaaa WBbt:0006398,1.1559139784946235,4,3.46046511627907,0.005548350340946484,0.04105779252300398
