#WBPaper00037950_all-neurons_larva_enriched_WBbt_0003679_1013
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,219.25448028673836,358,1.632805858889688,1.0452588259060422e-67,2.7072203590966495e-65
lateral ganglion WBbt:0005105,37.73078454798885,130,3.4454624137130314,2.8689861710899936e-43,3.7153370915615416e-41
tail WBbt:0005741,122.99641577060932,220,1.788670008159459,2.2667093291798447e-27,1.956925720858599e-25
ASER WBbt:0003903,9.72978892871366,40,4.111086097865461,2.329453520845127e-16,1.5083211547472198e-14
nociceptor neuron WBbt:0008434,7.650139386698527,34,4.444363465993389,2.399251834125714e-15,1.2428124500771198e-13
osmosensory neuron WBbt:0008433,7.650139386698527,34,4.444363465993389,2.399251834125714e-15,1.2428124500771198e-13
PHB WBbt:0007808,6.461768219832735,29,4.487935656836462,1.6818990197018022e-13,6.223026372896668e-12
ASI WBbt:0005666,10.323974512146556,37,3.5838910640924255,4.000140787875321e-13,1.2950455800746352e-11
posterior lateral ganglion WBbt:0005465,11.883711668657904,40,3.365951742627346,4.758342302268853e-13,1.3693451736529256e-11
PHA WBbt:0007807,6.461768219832735,28,4.333179254876583,1.1712756950048128e-12,3.033604050062465e-11
ASEL WBbt:0003904,9.72978892871366,35,3.597200335632278,1.460923765707787e-12,3.439811411984699e-11
ASK WBbt:0005668,7.79868578255675,30,3.8468019915741096,7.269643457442261e-12,1.569031379564621e-10
ASJ WBbt:0005667,6.090402230187177,26,4.269011966259073,1.0115324732153674e-11,2.0057548837882034e-10
retrovesicular ganglion WBbt:0005656,8.838510553564317,32,3.6205195214815147,1.0067495555693685e-11,2.0057548837882034e-10
FLP WBbt:0006828,2.451015531660693,15,6.119912259322446,2.2717113963282279e-10,3.92248834432674e-09
AWC WBbt:0005672,8.467144563918758,29,3.4250035275857202,3.817361199143919e-10,6.1793534411142195e-09
preanal ganglion WBbt:0005448,12.84926324173636,37,2.8795425312650127,5.175455417154982e-10,7.88495854731259e-09
ASG WBbt:0005664,4.530665073675826,20,4.414362941150618,8.573497037403755e-10,1.233630962604207e-08
ADL WBbt:0005661,7.79868578255675,27,3.4621217924166987,1.0851679974601714e-09,1.4792553228536021e-08
nerve ring WBbt:0006749,46.86638789326961,86,1.835003802636778,1.5761441305650325e-09,2.041106649081717e-08
ADE WBbt:0005415,2.451015531660693,14,5.71191810870095,2.6403889556416136e-09,3.25647971195799e-08
AIY WBbt:0005413,5.719036240541617,22,3.8468019915741096,3.201222014191166e-09,3.768711371252327e-08
SMDDL WBbt:0004972,2.525288729589805,14,5.543920517268569,4.408849838953198e-09,4.964748296908166e-08
OLQ WBbt:0006848,2.599561927518917,14,5.385522788203753,7.1994584220616135e-09,7.76941554714149e-08
AVA WBbt:0005842,3.787933094384707,17,4.487935656836462,9.040106828767677e-09,9.365550674603313e-08
RIC WBbt:0006834,2.525288729589805,13,5.147926194606528,4.318198524982528e-08,4.301590069117211e-07
DVA WBbt:0004823,2.599561927518917,13,5.000842589046342,6.717033646775003e-08,6.443376720424911e-07
ventral nerve cord WBbt:0005829,33.274392672242136,63,1.893347855227882,9.851376185682293e-08,9.112522971756121e-07
PVD WBbt:0006831,4.456391875746714,17,3.814745308310992,1.6039484016128993e-07,1.4324918483370377e-06
postdeirid sensillum WBbt:0005471,3.6393866985264838,15,4.121573562400831,2.150065227348855e-07,1.856222979611178e-06
outer labial quadrant sensillum WBbt:0005502,3.416567104739148,14,4.097680382328942,5.300982724103903e-07,4.4288855662674545e-06
ray 5 WBbt:0006950,3.0452011150935885,13,4.269011966259073,6.745646982858649e-07,5.459758026751219e-06
ADF WBbt:0005660,6.016129032258064,19,3.1581769436997322,1.0868640551019223e-06,8.530236068830238e-06
CEP WBbt:0005244,2.748108323377141,12,4.366640098543583,1.1731251507147952e-06,8.936453353974469e-06
thermosensory neuron WBbt:0005838,4.085025886101155,15,3.6719473555934683,1.2611094997447765e-06,9.332210298111346e-06
NSM WBbt:0003666,3.6393866985264838,14,3.846801991574109,1.3266442528233636e-06,9.5444683744792e-06
AUA WBbt:0006817,2.451015531660693,11,4.487935656836461,2.0047558879824464e-06,1.4033291215877125e-05
ray 2 WBbt:0006945,2.8966547192353644,12,4.14270983707981,2.3314620605238455e-06,1.5890754570412527e-05
PDE WBbt:0006747,3.3422939068100357,13,3.8895442359249333,2.424898727819002e-06,1.610381462833645e-05
AWA WBbt:0005670,3.416567104739148,13,3.8049889264483037,3.253873927073685e-06,2.1068833677802108e-05
PVT WBbt:0004070,6.536041417761848,19,2.9069583231781624,4.37536574073911e-06,2.7639505532961698e-05
AWB WBbt:0005671,5.496216646754282,17,3.0930367364683717,4.769266840813001e-06,2.9410478851680175e-05
lateral nerve cord WBbt:0006769,6.164675428116288,18,2.9198617526405894,6.8067846250607655e-06,4.099900506722647e-05
PQR WBbt:0004096,4.159299084030267,14,3.3659517426273458,8.442592412989896e-06,4.686955722922731e-05
outer labial lateral sensillum WBbt:0005503,2.748108323377141,11,4.002753423664951,7.962395822725875e-06,4.686955722922731e-05
ray 1 WBbt:0006942,2.748108323377141,11,4.002753423664951,7.962395822725875e-06,4.686955722922731e-05
IL2 neuron WBbt:0005118,3.1937475109518125,12,3.757341480142153,7.979057875366572e-06,4.686955722922731e-05
BAG WBbt:0006825,2.8966547192353644,11,3.797484017323159,1.4663439949514026e-05,7.912147806091943e-05
cephalic sensillum WBbt:0006920,3.4908403026682597,12,3.437567737151332,2.3330141214174772e-05,0.00012331646070349523
ray 7 WBbt:0006952,3.1194743130227,11,3.5262351589429337,3.378762803091969e-05,0.00017501991320016398
ray 6 WBbt:0006951,2.673835125448029,10,3.7399463806970505,3.608865019410289e-05,0.00018327373333867935
ray 4 WBbt:0006949,2.748108323377141,10,3.6388667487863193,4.798821935097447e-05,0.00023870568425259688
BDU WBbt:0006826,2.748108323377141,10,3.6388667487863193,4.798821935097447e-05,0.00023870568425259688
PVQ WBbt:0006976,3.7136598964555954,12,3.2313136729222522,4.792546556422794e-05,0.00023870568425259688
ray 3 WBbt:0006948,2.748108323377141,10,3.6388667487863193,4.798821935097447e-05,0.00023870568425259688
URX WBbt:0006846,3.268020708880924,11,3.3659517426273458,5.6229315883795344e-05,0.0002600605859625535
ray 9 WBbt:0006954,3.0452011150935885,10,3.283855358660825,0.00013522936391983394,0.0006144632500918771
CAN WBbt:0006827,5.496216646754282,14,2.5472067241504237,0.00027460381858398884,0.0012262480864353984
dorsal nerve cord WBbt:0006750,19.45957785742732,34,1.7472115915928208,0.00039539029934978077,0.001735696398840563
AQR WBbt:0003927,2.451015531660693,8,3.2639532049719713,0.0004842701491418273,0.002090432810462221
ray 8 WBbt:0006953,2.970927917164476,9,3.0293565683646118,0.0005086819038113489,0.0021598133292973663
PVC WBbt:0005840,3.1937475109518125,9,2.8180061101066145,0.0009411060422015639,0.003931394595648468
PLM WBbt:0005490,6.164675428116288,14,2.271003585387125,0.0009883651223838196,0.004063278836466813
head muscle WBbt:0006761,12.84926324173636,23,1.7899858978133862,0.0019429046971001934,0.007862692446077344
ALM WBbt:0005406,6.387495021903625,12,1.8786707400710765,0.01019681979073828,0.04063040501232638
